Category	Type	Budgeted_USD	Actual_USD	Difference_USD	Notes
Dining hall pay	Income	650.00	581.86	-68.14	Two pay periods, fewer hours
Phone share	Expense	80.00	80.00	0.00	Sent to Denise
Groceries	Expense	55.00	61.58	-6.58	Beyond meal plan
MARTA	Expense	30.00	30.00	0.00	Breeze reload
Supplies and toiletries	Expense	50.00	43.20	6.80	
Discretionary	Expense	35.00	28.75	6.25	Sneaker care, coffee
Support to Aunt Keisha	Expense	50.00	50.00	0.00	For Mabel
Spotify	Expense	5.99	5.99	0.00	Student plan
Total expenses		305.99	299.52	6.47	
Net to savings		344.01	282.34	-61.67	
