Recipe	Ingredient	Quantity	Store	Cost_USD
Oxtail stew	Oxtail	2 lb	Walmart	11.96
Oxtail stew	Yellow onion	1 large	Aldi	0.63
Oxtail stew	Garlic	4 cloves	Walmart	0.33
Oxtail stew	Brown rice	2 cups dry	Aldi	0.85
Oxtail stew	Beef bouillon	2 cubes	Aldi	0.30
Collard greens	Collards	2 bunches	Aldi	2.90
Collard greens	Turkey bacon	6 oz	Walmart	1.32
Collard greens	Onion	half	Aldi	0.32
Cornbread	Cornmeal	2 cups	Aldi	0.60
Cornbread	Egg	1	Walmart	0.18
Cornbread	Vegetable oil	quarter cup	Aldi	0.40
Baked chicken	Chicken thighs	3 lb	Aldi	3.87
Baked chicken	Garlic	3 cloves	Walmart	0.25
Baked chicken	Bell pepper	1	Walmart	0.68
