Date	Location	Type	kWh	Cost	Odometer	Rate_per_kWh	Note
2025-10-05	Home, East Sacramento	Level 2 overnight	41	6.15	16420	0.150	Off peak
2025-10-19	Home, East Sacramento	Level 2 overnight	39	5.85	16735	0.150	Off peak
2025-10-26	Supercharger, Vacaville	DC fast	28	11.20	16880	0.400	Return from Bay trip
2025-11-02	Home, East Sacramento	Level 2 overnight	44	6.60	17020	0.150	Off peak
2025-11-16	Home, East Sacramento	Level 2 overnight	40	6.00	17190	0.150	Off peak
2025-11-22	Supercharger, Livermore	DC fast	31	12.40	17395	0.400	San Jose visit, Helen
2025-11-30	Home, East Sacramento	Level 2 overnight	37	5.55	17510	0.150	Off peak
2025-12-05	Home, East Sacramento	Level 2 overnight	42	6.30	17240	0.150	Off peak
2025-12-14	Supercharger, Livermore	DC fast	30	12.00	17402	0.400	San Jose visit, Helen
2025-12-19	Home, East Sacramento	Level 2 overnight	38	5.70	17585	0.150	Off peak
2025-12-28	Home, East Sacramento	Level 2 overnight	36	5.40	17640	0.150	Holiday week
2026-01-04	Home, East Sacramento	Level 2 overnight	43	6.45	17705	0.150	Off peak
2026-01-17	Supercharger, Livermore	DC fast	29	11.60	17790	0.400	San Jose visit, Helen
2026-01-25	Home, East Sacramento	Level 2 overnight	40	6.00	17835	0.150	Off peak
2026-02-01	Home, East Sacramento	Level 2 overnight	41	6.15	17880	0.150	Off peak
2026-02-14	Supercharger, Livermore	DC fast	30	12.00	17930	0.400	San Jose visit, Helen
2026-02-22	Home, East Sacramento	Level 2 overnight	38	5.70	17958	0.150	Off peak
2026-03-01	Home, East Sacramento	Level 2 overnight	42	6.30	17976	0.150	Off peak
2026-03-15	Home, East Sacramento	Level 2 overnight	39	5.85	17992	0.150	Off peak
2026-03-29	Home, East Sacramento	Level 2 overnight	40	6.00	18000	0.150	Odometer at renewal
