Date	Activity	Distance_mi	Duration	Pace_or_Avg	Location	Note
2026-01-05	Indoor bike	0.0	0:45:00	182 W avg	Home	Endurance ride
2026-01-06	Yoga	0.0	1:00:00		Flow Studio Sacramento	Slow flow
2026-01-07	Indoor bike	0.0	0:40:00	176 W avg	Home	Recovery
2026-01-08	Yoga	0.0	1:00:00		Flow Studio Sacramento	Slow flow
2026-01-09	Indoor bike	0.0	0:45:00	188 W avg	Home	Intervals
2026-01-10	Walk	2.8	0:45:00	16:04 /mi	East Sacramento	Morning, after the tablet
2026-01-11	Run	3.1	0:29:40	9:34 /mi	American River Parkway	Easy
2026-01-18	Run	4.0	0:37:20	9:20 /mi	American River Parkway	Base
2026-01-25	Run	4.5	0:41:15	9:10 /mi	American River Parkway	Base
2026-02-01	Run	5.0	0:45:50	9:10 /mi	American River Parkway	Base
2026-02-02	Indoor bike	0.0	0:45:00	180 W avg	Home	Standing rotation
2026-02-03	Yoga	0.0	1:00:00		Flow Studio Sacramento	Hips and lower back
2026-02-04	Indoor bike	0.0	0:45:00	180 W avg	Home	Standing rotation
2026-02-05	Walk	2.8	0:45:00	16:04 /mi	East Sacramento	Daily walk
2026-02-06	Indoor bike	0.0	0:45:00	180 W avg	Home	Standing rotation
2026-02-08	Run	4.2	0:38:10	9:05 /mi	American River Parkway	Steady
2026-02-09	Indoor bike	0.0	0:45:00	180 W avg	Home	Standing rotation
2026-02-10	Walk	2.8	0:45:00	16:04 /mi	East Sacramento	Daily walk
2026-02-11	Indoor bike	0.0	0:45:00	180 W avg	Home	Standing rotation
2026-02-12	Walk	2.8	0:45:00	16:04 /mi	East Sacramento	Daily walk
2026-02-13	Indoor bike	0.0	0:45:00	180 W avg	Home	Standing rotation
2026-02-15	Run	5.5	0:50:05	9:06 /mi	American River Parkway	Long
2026-02-22	Run	6.0	0:54:30	9:05 /mi	American River Parkway	Long
2026-03-01	Run	5.0	0:44:20	8:52 /mi	American River Parkway	Tempo
2026-03-02	Indoor bike	0.0	0:45:00	180 W avg	Home	Standing rotation
2026-03-03	Walk	2.8	0:45:00	16:04 /mi	East Sacramento	Daily walk
2026-03-04	Indoor bike	0.0	0:45:00	180 W avg	Home	Standing rotation
2026-03-05	Walk	2.8	0:45:00	16:04 /mi	East Sacramento	Daily walk
2026-03-06	Indoor bike	0.0	0:45:00	180 W avg	Home	Standing rotation
2026-03-08	Run	6.2	0:56:10	9:03 /mi	American River Parkway	Long
2026-03-09	Indoor bike	0.0	0:45:00	180 W avg	Home	Standing rotation
2026-03-10	Walk	2.8	0:45:00	16:04 /mi	East Sacramento	Daily walk
2026-03-11	Indoor bike	0.0	0:45:00	180 W avg	Home	Standing rotation
2026-03-12	Walk	2.8	0:45:00	16:04 /mi	East Sacramento	Daily walk
2026-03-13	Indoor bike	0.0	0:45:00	180 W avg	Home	Standing rotation
2026-03-15	Run	4.0	0:35:20	8:50 /mi	American River Parkway	Tempo
2026-03-22	Run	6.5	0:58:45	9:02 /mi	American River Parkway	Long
2026-03-29	Run	5.0	0:43:50	8:46 /mi	American River Parkway	Race pace work
