Date	Symbol	Action	Shares	Price	Amount	Account	Note	Status
2026-01-02	KTI	Buy	8	295.00	-2360.00	Vanguard 7745	Keystone Technologies Inc	Settled
2026-01-02	KXUS	Buy	15	63.50	-952.50	Vanguard 7745	Kestrel Cross-Border ETF	Settled
2026-01-15	VTSAX	Dividend	0	0.00	142.18	Vanguard 7745	Total Stock Market Index Admiral	Reinvested
2026-01-31	VTSAX	Buy	4.118	121.40	-500.00	Vanguard 7745	Standing monthly transfer	Settled
2026-02-02	VTIAX	Buy	14.620	34.19	-500.00	Vanguard 7745	Total International Stock Index	Settled
2026-02-17	VFIAX	Dividend	0	0.00	88.44	Vanguard 7745	500 Index Fund Admiral	Reinvested
2026-02-27	ORVN	Sell	12	76.10	913.20	Vanguard 7745	Trim, position over target	Settled
2026-03-02	VTSAX	Buy	4.117	121.44	-500.00	Vanguard 7745	Standing monthly transfer	Settled
2026-03-20	VBTLX	Dividend	0	0.00	69.38	Vanguard 7745	Total Bond Market Index Admiral	Reinvested
2025-12-01	VTSAX	Buy	4.201	119.02	-500.00	Vanguard 7745	Standing monthly transfer	Settled
2025-12-15	KTI	Buy	6	288.40	-1730.40	Vanguard 7745	Keystone Technologies Inc	Settled
2025-11-03	VTSAX	Buy	4.310	116.01	-500.00	Vanguard 7745	Standing monthly transfer	Settled
2025-11-19	VTIAX	Buy	15.100	33.11	-500.00	Vanguard 7745	Rebalance toward international	Settled
2025-10-01	VTSAX	Buy	4.402	113.58	-500.00	Vanguard 7745	Standing monthly transfer	Settled
2025-10-16	VBTLX	Buy	50.660	9.87	-500.00	Vanguard 7745	Rebalance toward fixed income	Settled
2025-09-02	VTSAX	Buy	4.480	111.61	-500.00	Vanguard 7745	Standing monthly transfer	Settled
2025-09-18	ORVN	Buy	40	71.20	-2848.00	Vanguard 7745	Orveon Data Systems, initial	Settled
2025-08-01	VTSAX	Buy	4.512	110.81	-500.00	Vanguard 7745	Standing monthly transfer	Settled
2025-08-14	KXUS	Buy	20	61.05	-1221.00	Vanguard 7745	Kestrel Cross-Border ETF	Settled
2025-07-01	VTSAX	Buy	4.601	108.67	-500.00	Vanguard 7745	Standing monthly transfer	Settled
2025-07-15	VFIAX	Dividend	0	0.00	84.10	Vanguard 7745	500 Index Fund Admiral	Reinvested
2025-06-02	VTSAX	Buy	4.688	106.66	-500.00	Vanguard 7745	Standing monthly transfer	Settled
2025-05-01	VTSAX	Buy	4.740	105.49	-500.00	Vanguard 7745	Standing monthly transfer	Settled
2025-04-01	VTSAX	Buy	4.801	104.15	-500.00	Vanguard 7745	Standing monthly transfer	Settled
