Track	Title	Artist	Album	Year	Length
1	Born to Run	Bruce Springsteen	Born to Run	1975	4:31
2	Thunder Road	Bruce Springsteen	Born to Run	1975	4:49
3	The Rising	Bruce Springsteen	The Rising	2002	4:50
4	Free Fallin'	Tom Petty	Full Moon Fever	1989	4:16
5	Runnin' Down a Dream	Tom Petty	Full Moon Fever	1989	4:23
6	I Won't Back Down	Tom Petty	Full Moon Fever	1989	2:58
7	Hotel California	Eagles	Hotel California	1976	6:30
8	Take It Easy	Eagles	Eagles	1972	3:32
9	Already Gone	Eagles	On the Border	1974	4:13
10	Old Time Rock and Roll	Bob Seger	Stranger in Town	1978	3:12
11	Night Moves	Bob Seger	Night Moves	1976	5:25
12	Mary Jane's Last Dance	Tom Petty	Greatest Hits	1993	4:33
13	Chicken Fried	Zac Brown Band	The Foundation	2008	3:54
14	Friends in Low Places	Garth Brooks	No Fences	1990	4:18
15	Glory Days	Bruce Springsteen	Born in the U.S.A.	1984	4:15
