module_id,module_name,cohort,assigned,completed,avg_score
CL-DOT-01,DOT Recert Winter HOS Module,Southeast Long,58,44,88
CL-DOT-01,DOT Recert Winter HOS Module,Southeast Short,44,34,86
CL-DOT-01,DOT Recert Winter HOS Module,Midwest Long,52,41,89
CL-DOT-01,DOT Recert Winter HOS Module,Midwest Short,41,32,84
CL-DOT-02,DOT Recert Fuel Handling Module,Southeast Long,58,49,91
CL-DOT-02,DOT Recert Fuel Handling Module,Southeast Short,44,38,88
CL-DOT-02,DOT Recert Fuel Handling Module,Midwest Long,52,44,92
CL-DOT-02,DOT Recert Fuel Handling Module,Midwest Short,41,34,87
CL-DOT-03,DOT Recert Adverse Conditions Module,Southeast Long,58,29,72
CL-DOT-03,DOT Recert Adverse Conditions Module,Southeast Short,44,22,68
CL-DOT-03,DOT Recert Adverse Conditions Module,Midwest Long,52,46,90
CL-DOT-03,DOT Recert Adverse Conditions Module,Midwest Short,41,37,88
CL-DOT-04,DOT Recert Vehicle Inspection Module,Southeast Long,58,51,93
CL-DOT-04,DOT Recert Vehicle Inspection Module,Southeast Short,44,41,91
CL-DOT-04,DOT Recert Vehicle Inspection Module,Midwest Long,52,45,90
CL-DOT-04,DOT Recert Vehicle Inspection Module,Midwest Short,41,35,89
