id,title,status,department,location,opened_at,closed_at
3001,Mathematics Teacher (LTO),open,Mathematics,"Toronto, ON",2026-10-01,
3002,Science Teacher,open,Science,"Toronto, ON",2026-09-20,
3003,Education Assistant,open,Special Education,"Toronto, ON",2026-10-10,
3004,Main Office Clerk,open,Office Administration,"Toronto, ON",2026-11-01,
3005,French Teacher,frozen,French,"Toronto, ON",2026-09-05,
3006,Guidance Counsellor,closed,Guidance,"Toronto, ON",2026-06-01,2026-09-15
3106,Counsellor (Guidance),frozen,Guidance,"Toronto, ON",2026-01-17,2026-06-07
3107,Coach (Special Education),closed,Special Education,"Toronto, ON",2026-01-19,
3108,Teacher (Physical Education),open,Physical Education,"Toronto, ON",2026-01-21,
3109,Long Term Occasional (Social Studies),closed,Social Studies,"Toronto, ON",2026-01-23,2026-06-10
3110,Education Assistant (Office Administration),open,Office Administration,"Toronto, ON",2026-01-25,
3111,Clerk (Custodial),open,Custodial,"Toronto, ON",2026-01-27,
3112,Coordinator (Mathematics),closed,Mathematics,"Toronto, ON",2026-01-29,2026-06-13
3113,Technician (Science),closed,Science,"Toronto, ON",2026-01-31,
3114,Counsellor (English),open,English,"Toronto, ON",2026-02-02,
3115,Coach (French),open,French,"Toronto, ON",2026-02-04,2026-06-16
3116,Teacher (Arts),open,Arts,"Toronto, ON",2026-02-06,
3117,Long Term Occasional (Technology),open,Technology,"Toronto, ON",2026-02-08,
3118,Education Assistant (Guidance),frozen,Guidance,"Toronto, ON",2026-02-10,2026-06-19
3119,Clerk (Special Education),open,Special Education,"Toronto, ON",2026-02-12,
3120,Coordinator (Physical Education),open,Physical Education,"Toronto, ON",2026-02-14,
3121,Technician (Social Studies),closed,Social Studies,"Toronto, ON",2026-02-16,2026-06-22
3122,Counsellor (Office Administration),frozen,Office Administration,"Toronto, ON",2026-02-18,
3123,Coach (Custodial),closed,Custodial,"Toronto, ON",2026-02-20,
3124,Teacher (Mathematics),open,Mathematics,"Toronto, ON",2026-02-22,2026-06-25
3125,Long Term Occasional (Science),frozen,Science,"Toronto, ON",2026-02-24,
3126,Education Assistant (English),frozen,English,"Toronto, ON",2026-02-26,
3127,Clerk (French),frozen,French,"Toronto, ON",2026-02-28,2026-06-28
3128,Coordinator (Arts),frozen,Arts,"Toronto, ON",2026-03-02,
3129,Technician (Technology),open,Technology,"Toronto, ON",2026-03-04,
3130,Counsellor (Guidance),open,Guidance,"Toronto, ON",2026-03-06,2026-07-01
3131,Coach (Special Education),open,Special Education,"Toronto, ON",2026-03-08,
3132,Teacher (Physical Education),closed,Physical Education,"Toronto, ON",2026-03-10,
3133,Long Term Occasional (Social Studies),frozen,Social Studies,"Toronto, ON",2026-03-12,2026-07-04
3134,Education Assistant (Office Administration),open,Office Administration,"Toronto, ON",2026-03-14,
3135,Clerk (Custodial),frozen,Custodial,"Toronto, ON",2026-03-16,
3136,Coordinator (Mathematics),closed,Mathematics,"Toronto, ON",2026-03-18,2026-07-07
3137,Technician (Science),open,Science,"Toronto, ON",2026-03-20,
3138,Counsellor (English),closed,English,"Toronto, ON",2026-03-22,
3139,Coach (French),closed,French,"Toronto, ON",2026-03-24,2026-07-10
3140,Teacher (Arts),closed,Arts,"Toronto, ON",2026-03-26,
3141,Long Term Occasional (Technology),open,Technology,"Toronto, ON",2026-03-28,
3142,Education Assistant (Guidance),open,Guidance,"Toronto, ON",2026-03-30,2026-07-13
3143,Clerk (Special Education),closed,Special Education,"Toronto, ON",2026-04-01,
3144,Coordinator (Physical Education),open,Physical Education,"Toronto, ON",2026-04-03,
3145,Technician (Social Studies),open,Social Studies,"Toronto, ON",2026-04-05,2026-07-16
3146,Counsellor (Office Administration),closed,Office Administration,"Toronto, ON",2026-04-07,
3147,Coach (Custodial),frozen,Custodial,"Toronto, ON",2026-04-09,
3148,Teacher (Mathematics),frozen,Mathematics,"Toronto, ON",2026-04-11,2026-07-19
3149,Long Term Occasional (Science),closed,Science,"Toronto, ON",2026-04-13,
3150,Education Assistant (English),open,English,"Toronto, ON",2026-04-15,
3151,Clerk (French),open,French,"Toronto, ON",2026-04-17,2026-07-22
3152,Coordinator (Arts),closed,Arts,"Toronto, ON",2026-04-19,
3153,Technician (Technology),open,Technology,"Toronto, ON",2026-04-21,
3154,Counsellor (Guidance),frozen,Guidance,"Toronto, ON",2026-04-23,2026-07-25
3155,Coach (Special Education),open,Special Education,"Toronto, ON",2026-04-25,
3156,Teacher (Physical Education),open,Physical Education,"Toronto, ON",2026-04-27,
3157,Long Term Occasional (Social Studies),open,Social Studies,"Toronto, ON",2026-04-29,2026-07-28
3158,Education Assistant (Office Administration),open,Office Administration,"Toronto, ON",2026-05-01,
3159,Clerk (Custodial),open,Custodial,"Toronto, ON",2026-05-03,
3160,Coordinator (Mathematics),closed,Mathematics,"Toronto, ON",2026-05-05,2026-07-31
3161,Technician (Science),frozen,Science,"Toronto, ON",2026-05-07,
3162,Counsellor (English),closed,English,"Toronto, ON",2026-05-09,
3163,Coach (French),open,French,"Toronto, ON",2026-05-11,2026-08-03
3164,Teacher (Arts),frozen,Arts,"Toronto, ON",2026-05-13,
3165,Long Term Occasional (Technology),closed,Technology,"Toronto, ON",2026-05-15,
3166,Education Assistant (Guidance),frozen,Guidance,"Toronto, ON",2026-05-17,2026-08-06
3167,Clerk (Special Education),open,Special Education,"Toronto, ON",2026-05-19,
3168,Coordinator (Physical Education),frozen,Physical Education,"Toronto, ON",2026-05-21,
3169,Technician (Social Studies),open,Social Studies,"Toronto, ON",2026-05-23,2026-08-09
3170,Counsellor (Office Administration),closed,Office Administration,"Toronto, ON",2026-05-25,
3171,Coach (Custodial),open,Custodial,"Toronto, ON",2026-05-27,
3172,Teacher (Mathematics),frozen,Mathematics,"Toronto, ON",2026-05-29,2026-08-12
3173,Long Term Occasional (Science),frozen,Science,"Toronto, ON",2026-05-31,
3174,Education Assistant (English),frozen,English,"Toronto, ON",2026-06-02,
3175,Clerk (French),closed,French,"Toronto, ON",2026-06-04,2026-08-15
3176,Coordinator (Arts),open,Arts,"Toronto, ON",2026-06-06,
3177,Technician (Technology),open,Technology,"Toronto, ON",2026-06-08,
3178,Counsellor (Guidance),closed,Guidance,"Toronto, ON",2026-06-10,2026-08-18
3179,Coach (Special Education),open,Special Education,"Toronto, ON",2026-06-12,
3180,Teacher (Physical Education),open,Physical Education,"Toronto, ON",2026-06-14,
3181,Long Term Occasional (Social Studies),open,Social Studies,"Toronto, ON",2026-06-16,2026-08-21
3182,Education Assistant (Office Administration),open,Office Administration,"Toronto, ON",2026-06-18,
3183,Clerk (Custodial),frozen,Custodial,"Toronto, ON",2026-06-20,
3184,Coordinator (Mathematics),frozen,Mathematics,"Toronto, ON",2026-06-22,2026-08-24
3185,Technician (Science),closed,Science,"Toronto, ON",2026-06-24,
3186,Counsellor (English),open,English,"Toronto, ON",2026-06-26,
3187,Coach (French),open,French,"Toronto, ON",2026-06-28,2026-08-27
3188,Teacher (Arts),closed,Arts,"Toronto, ON",2026-06-30,
3189,Long Term Occasional (Technology),open,Technology,"Toronto, ON",2026-07-02,
3190,Education Assistant (Guidance),closed,Guidance,"Toronto, ON",2026-07-04,2026-08-30
3191,Clerk (Special Education),open,Special Education,"Toronto, ON",2026-07-06,
3192,Coordinator (Physical Education),open,Physical Education,"Toronto, ON",2026-07-08,
3193,Technician (Social Studies),closed,Social Studies,"Toronto, ON",2026-07-10,2026-09-02
3194,Counsellor (Office Administration),frozen,Office Administration,"Toronto, ON",2026-07-12,
3195,Coach (Custodial),open,Custodial,"Toronto, ON",2026-07-14,
3196,Teacher (Mathematics),open,Mathematics,"Toronto, ON",2026-07-16,2026-09-05
3197,Long Term Occasional (Science),open,Science,"Toronto, ON",2026-07-18,
3198,Education Assistant (English),closed,English,"Toronto, ON",2026-07-20,
3199,Clerk (French),open,French,"Toronto, ON",2026-07-22,2026-09-08
3200,Coordinator (Arts),closed,Arts,"Toronto, ON",2026-07-24,
3201,Technician (Technology),closed,Technology,"Toronto, ON",2026-07-26,
3202,Counsellor (Guidance),open,Guidance,"Toronto, ON",2026-07-28,2026-09-11
3203,Coach (Special Education),open,Special Education,"Toronto, ON",2026-07-30,
3204,Teacher (Physical Education),open,Physical Education,"Toronto, ON",2026-08-01,
3205,Library Technician (3205),open,Office Administration,"Toronto, ON",2026-12-14,
3206,Maintenance Technician (Night Shift) (3206),open,Special Education,"Toronto, ON",2026-12-13,
3207,Maintenance Technician (Night Shift) (3207),open,French,"Toronto, ON",2026-12-12,
3208,Grade 10 Mathematics LTO (3208),open,Mathematics,"Toronto, ON",2026-12-17,
3209,Grade 10 Core French (3209),open,French,"Toronto, ON",2026-12-15,
3210,Athletics Head Coach (Volleyball) (3210),open,Guidance,"Toronto, ON",2026-12-19,
3211,Grade 12 History Teacher (3211),open,Guidance,"Toronto, ON",2026-12-14,
3212,Biology Teacher (3212),open,French,"Toronto, ON",2026-12-19,
3213,Chemistry Teacher (3213),open,Science,"Toronto, ON",2026-12-13,
3214,Grade 11 English LTO (3214),open,English,"Toronto, ON",2026-12-20,
3215,Debate Club Advisor (3215),open,Special Education,"Toronto, ON",2026-12-19,
3216,Grade 10 Core French (3216),open,French,"Toronto, ON",2026-12-16,
3217,Music Teacher (3217),open,Technology,"Toronto, ON",2026-12-14,
3218,Grade 12 Guidance (3218),open,Guidance,"Toronto, ON",2026-12-12,
3219,Cafeteria Coordinator (3219),open,Office Administration,"Toronto, ON",2026-12-18,
3220,Grade 12 Guidance (3220),open,Guidance,"Toronto, ON",2026-12-17,
3221,Peer Mentorship Coordinator (3221),open,Social Studies,"Toronto, ON",2026-12-15,
3222,Yearbook Advisor (3222),open,English,"Toronto, ON",2026-12-16,
3223,Chemistry Teacher (3223),open,Technology,"Toronto, ON",2026-12-13,
3224,Athletics Head Coach (Basketball) (3224),open,Office Administration,"Toronto, ON",2026-12-13,
3225,Educational Assistant Level 1 (3225),open,Science,"Toronto, ON",2026-12-12,
3226,Visual Arts Teacher (Digital Media) (3226),open,Arts,"Toronto, ON",2026-12-17,
3227,Music Teacher (3227),open,Office Administration,"Toronto, ON",2026-12-17,
3228,Geography Teacher (3228),open,Guidance,"Toronto, ON",2026-12-18,
3229,Grade 12 Guidance (3229),open,Guidance,"Toronto, ON",2026-12-12,
3230,Debate Club Advisor (3230),open,Physical Education,"Toronto, ON",2026-12-18,
3231,Debate Club Advisor (3231),open,Technology,"Toronto, ON",2026-12-20,
3232,Grade 10 Mathematics LTO (3232),open,Mathematics,"Toronto, ON",2026-12-20,
3233,Grade 9 Core French (3233),open,French,"Toronto, ON",2026-12-14,
3234,Athletics Head Coach (Volleyball) (3234),open,Arts,"Toronto, ON",2026-12-15,
3235,Robotics Club Advisor (3235),open,Mathematics,"Toronto, ON",2026-12-14,
3236,Peer Mentorship Coordinator (3236),open,Office Administration,"Toronto, ON",2026-12-19,
3237,Grade 11 English LTO (3237),open,English,"Toronto, ON",2026-12-17,
3238,Educational Assistant Level 1 (3238),open,Social Studies,"Toronto, ON",2026-12-12,
3239,Grade 12 Guidance (3239),open,Guidance,"Toronto, ON",2026-12-19,
3240,IT Support Analyst (3240),open,Special Education,"Toronto, ON",2026-12-19,
3241,Grade 11 English LTO (3241),open,English,"Toronto, ON",2026-12-17,
3242,Grade 9 Core French (3242),open,French,"Toronto, ON",2026-12-13,
3243,Attendance Secretary (Bilingual) (3243),open,English,"Toronto, ON",2026-12-14,
3244,Cafeteria Coordinator (3244),open,Social Studies,"Toronto, ON",2026-12-17,
3245,IT Support Analyst (3245),open,Mathematics,"Toronto, ON",2026-12-12,
3246,Grade 11 English LTO (3246),open,English,"Toronto, ON",2026-12-17,
3247,Music Teacher (3247),open,Custodial,"Toronto, ON",2026-12-19,
3248,Educational Assistant Level 2 (3248),open,French,"Toronto, ON",2026-12-17,
3249,Grade 12 History Teacher (3249),open,Science,"Toronto, ON",2026-12-14,
3250,Athletics Head Coach (Basketball) (3250),open,Science,"Toronto, ON",2026-12-17,
3251,Chemistry Teacher (3251),open,Office Administration,"Toronto, ON",2026-12-14,
3252,Robotics Club Advisor (3252),open,Mathematics,"Toronto, ON",2026-12-14,
3253,Peer Mentorship Coordinator (3253),open,Guidance,"Toronto, ON",2026-12-18,
