id,candidate_id,job_id,status,current_stage,applied_at,last_activity_at
4001,5001,3001,active,Application Review,2026-09-15,2026-12-11
4002,5002,3002,active,Phone Screen,2026-09-16,2026-12-02
4003,5003,3003,active,Interview,2026-09-17,2026-12-03
4004,5004,3004,active,Demo Lesson,2026-09-18,2026-12-04
4005,5005,3005,on_hold,Reference Check,2026-09-19,2026-12-05
4006,5006,3006,rejected,Offer,2026-09-20,2026-12-06
4007,5007,3001,active,Application Review,2026-09-21,2026-12-11
4008,5008,3002,active,Phone Screen,2026-09-22,2026-12-08
4009,5009,3003,active,Interview,2026-09-23,2026-12-09
4010,5010,3004,active,Demo Lesson,2026-09-24,2026-12-10
4011,5011,3005,on_hold,Reference Check,2026-09-25,2026-12-11
4012,5012,3006,rejected,Offer,2026-09-26,2026-12-12
4013,5013,3001,active,Application Review,2026-09-27,2026-12-11
4014,5014,3002,active,Phone Screen,2026-09-28,2026-12-14
4015,5015,3003,active,Interview,2026-09-29,2026-12-01
4016,5016,3004,active,Demo Lesson,2026-09-30,2026-12-02
4017,5017,3005,on_hold,Reference Check,2026-10-01,2026-12-03
4018,5018,3006,rejected,Offer,2026-10-02,2026-12-04
4019,5019,3001,active,Application Review,2026-10-03,2026-12-11
4020,5020,3002,active,Phone Screen,2026-10-04,2026-12-06
4021,5021,3003,active,Interview,2026-10-05,2026-12-07
4022,5022,3004,active,Demo Lesson,2026-10-06,2026-12-08
4023,5023,3005,on_hold,Reference Check,2026-10-07,2026-12-09
4024,5024,3006,rejected,Offer,2026-10-08,2026-12-10
4025,5025,3001,active,Application Review,2026-10-09,2026-12-11
4026,5026,3002,active,Phone Screen,2026-10-10,2026-12-12
4027,5027,3003,active,Interview,2026-10-11,2026-12-13
4028,5028,3004,active,Demo Lesson,2026-10-12,2026-12-14
4029,5029,3005,on_hold,Reference Check,2026-10-13,2026-12-01
4030,5030,3006,rejected,Offer,2026-10-14,2026-12-02
4031,5031,3001,active,Application Review,2026-10-15,2026-12-11
4032,5032,3002,active,Phone Screen,2026-10-16,2026-12-04
4033,5033,3003,active,Interview,2026-10-17,2026-12-05
4034,5034,3004,active,Demo Lesson,2026-10-18,2026-12-06
4035,5035,3005,on_hold,Reference Check,2026-10-19,2026-12-07
4036,5036,3006,rejected,Offer,2026-10-20,2026-12-08
4037,5037,3001,active,Application Review,2026-10-21,2026-12-11
4038,5038,3002,active,Phone Screen,2026-10-22,2026-12-10
4039,5039,3003,active,Interview,2026-10-23,2026-12-11
4040,5040,3004,active,Demo Lesson,2026-10-24,2026-12-12
4041,5041,3005,on_hold,Reference Check,2026-10-25,2026-12-13
4042,5042,3006,rejected,Offer,2026-10-26,2026-12-14
4043,5043,3001,active,Application Review,2026-10-27,2026-12-11
4044,5044,3002,active,Phone Screen,2026-10-28,2026-12-02
4045,5045,3003,active,Interview,2026-10-29,2026-12-03
4046,5046,3004,active,Demo Lesson,2026-10-30,2026-12-04
4047,5047,3005,on_hold,Reference Check,2026-10-31,2026-12-05
4048,5048,3006,rejected,Offer,2026-11-01,2026-12-06
4049,5049,3001,active,Application Review,2026-11-02,2026-12-11
4050,5050,3002,active,Phone Screen,2026-11-03,2026-12-08
4051,5051,3003,active,Interview,2026-11-04,2026-12-09
4052,5052,3004,active,Demo Lesson,2026-11-05,2026-12-10
4053,5053,3005,on_hold,Reference Check,2026-11-06,2026-12-11
4054,5054,3006,rejected,Offer,2026-11-07,2026-12-12
4055,5055,3001,active,Application Review,2026-11-08,2026-12-11
4056,5056,3002,active,Phone Screen,2026-11-09,2026-12-14
4057,5057,3003,active,Interview,2026-11-10,2026-12-01
4058,5058,3004,active,Demo Lesson,2026-11-11,2026-12-02
4059,5059,3005,on_hold,Reference Check,2026-11-12,2026-12-03
4060,5060,3006,rejected,Offer,2026-11-13,2026-12-04
4061,5061,3001,active,Application Review,2026-11-14,2026-12-11
4062,5062,3002,active,Phone Screen,2026-11-15,2026-12-06
4063,5063,3003,active,Interview,2026-11-16,2026-12-07
4064,5064,3004,active,Demo Lesson,2026-11-17,2026-12-08
4065,5065,3005,on_hold,Reference Check,2026-11-18,2026-12-09
4066,5066,3006,rejected,Offer,2026-11-19,2026-12-10
4067,5067,3001,active,Application Review,2026-11-20,2026-12-11
4068,5068,3002,active,Phone Screen,2026-11-21,2026-12-12
4069,5069,3003,active,Interview,2026-11-22,2026-12-13
4070,5070,3004,active,Demo Lesson,2026-11-23,2026-12-14
4071,5071,3005,on_hold,Reference Check,2026-11-24,2026-12-01
4072,5072,3006,rejected,Offer,2026-11-25,2026-12-02
4073,5073,3001,active,Application Review,2026-11-26,2026-12-11
4074,5074,3002,active,Phone Screen,2026-11-27,2026-12-04
4075,5075,3003,active,Interview,2026-11-28,2026-12-05
4076,5076,3004,active,Demo Lesson,2026-11-29,2026-12-06
4077,5077,3005,on_hold,Reference Check,2026-11-30,2026-12-07
4078,5078,3006,rejected,Offer,2026-12-01,2026-12-08
4079,5079,3001,active,Application Review,2026-12-02,2026-12-11
4080,5080,3002,active,Phone Screen,2026-12-03,2026-12-10
4081,5081,3003,active,Interview,2026-12-04,2026-12-11
4082,5082,3004,active,Demo Lesson,2026-12-05,2026-12-12
4083,5083,3005,on_hold,Reference Check,2026-12-06,2026-12-13
4084,5084,3006,rejected,Offer,2026-12-07,2026-12-14
4085,5085,3001,active,Application Review,2026-12-08,2026-12-11
4086,5086,3002,active,Phone Screen,2026-12-09,2026-12-02
4087,5087,3003,active,Interview,2026-12-10,2026-12-03
4088,5088,3004,active,Demo Lesson,2026-12-11,2026-12-04
4089,5089,3005,on_hold,Reference Check,2026-12-12,2026-12-05
4090,5090,3006,rejected,Offer,2026-12-13,2026-12-06
4091,5091,3001,active,Application Review,2026-12-14,2026-12-11
4092,5092,3002,active,Phone Screen,2026-12-15,2026-12-08
4093,5093,3003,active,Interview,2026-12-16,2026-12-09
4094,5094,3004,active,Demo Lesson,2026-12-17,2026-12-10
4095,5095,3005,on_hold,Reference Check,2026-12-18,2026-12-11
4096,5096,3006,rejected,Offer,2026-12-19,2026-12-12
4097,5097,3001,active,Application Review,2026-12-20,2026-12-11
4098,5098,3002,active,Phone Screen,2026-12-21,2026-12-14
4099,5099,3003,active,Interview,2026-12-22,2026-12-01
4100,5100,3004,active,Demo Lesson,2026-12-23,2026-12-02
4101,5101,3005,on_hold,Reference Check,2026-12-24,2026-12-03
4102,5102,3006,rejected,Offer,2026-12-25,2026-12-04
