id,createdTime,StationShorthand,LabelCanonicalContentfulID,StationTopic,LabelCopyStatus,Assignee,RevisionNotes,LastUpdated
recLab0000000000001,2026-04-15T09:00:00.000Z,Station 1,oh-station-01-foundations,Foundations and the Birmingham corridor,Final,Jennifer Clark,"Final label copy approved, locked for the print run.",2026-09-22
recLab0000000000002,2026-04-15T09:00:00.000Z,Station 2,oh-station-02-bessemer-pickens-1971,Bessemer 1971 voter registration drive,Final,Jennifer Clark,"Final label copy approved, locked for the print run.",2026-09-22
recLab0000000000003,2026-04-15T09:00:00.000Z,Station 3,oh-station-03-mitchell-circle-1968,Mitchell Circle 1968,Final,Jennifer Clark,"Final label copy approved, locked for the print run.",2026-09-22
recLab0000000000004,2026-04-15T09:00:00.000Z,Station 4,oh-station-04-firstbethel-board-1969-1974,First Bethel AME Church board chapter,Final,Jennifer Clark,"Final label copy approved, locked for the print run.",2026-09-22
recLab0000000000005,2026-04-15T09:00:00.000Z,Station 5,oh-station-05-civic-archives,Community archives as evidence,Final,Jennifer Clark,"Final label copy approved, locked for the print run.",2026-09-22
recLab0000000000006,2026-04-15T09:00:00.000Z,Station 6,oh-station-06-school-board-corridor,School board corridor,Final,Jennifer Clark,"Final label copy approved, locked for the print run.",2026-09-22
recLab0000000000007,2026-04-15T09:00:00.000Z,Station 7,oh-station-07-women-and-work,Women and work,Final,Jennifer Clark,"Final label copy approved, locked for the print run.",2026-09-22
recLab0000000000008,2026-04-15T09:00:00.000Z,Station 8,oh-station-08-jubilee-singers,Jubilee Singers tradition and the choir lineage,Final,Jennifer Clark,"Final label copy approved, locked for the print run.",2026-09-22
recLab0000000000009,2026-04-15T09:00:00.000Z,Station 1,oh-station-01-foundations,Foundations and the Birmingham corridor,Draft,Jennifer Clark,Draft 1: Working draft from the curatorial thesis pass.,2026-05-15
recLab0000000000010,2026-04-15T09:00:00.000Z,Station 1,oh-station-01-foundations,Foundations and the Birmingham corridor,Draft,Jennifer Clark,Draft 2: Tightened the opening line. Word count under 110.,2026-05-20
recLab0000000000011,2026-04-15T09:00:00.000Z,Station 1,oh-station-01-foundations,Foundations and the Birmingham corridor,In review,Cyrus Holt,Editor pass: Editor flagged passive voice in line three. Fixed.,2026-05-25
recLab0000000000012,2026-04-15T09:00:00.000Z,Station 1,oh-station-01-foundations,Foundations and the Birmingham corridor,In review,Cyrus Holt,Conservation review: Conservator approved the materials reference.,2026-05-30
recLab0000000000013,2026-04-15T09:00:00.000Z,Station 1,oh-station-01-foundations,Foundations and the Birmingham corridor,In review,Dr. Lorraine Franklin,Board chair review: Lorraine signed off on the framing.,2026-06-04
recLab0000000000014,2026-04-15T09:00:00.000Z,Station 1,oh-station-01-foundations,Foundations and the Birmingham corridor,Approved,Helena Park,Press review: Helena flagged the embargo language. Adjusted.,2026-06-09
recLab0000000000015,2026-04-15T09:00:00.000Z,Station 1,oh-station-01-foundations,Foundations and the Birmingham corridor,Final,Cyrus Holt,Print proof: Print proof reviewed. Two small kerning fixes.,2026-06-14
recLab0000000000016,2026-04-15T09:00:00.000Z,Station 2,oh-station-02-bessemer-pickens-1971,Bessemer 1971 voter registration drive,Draft,Jennifer Clark,Draft 1: Working draft from the curatorial thesis pass.,2026-05-22
recLab0000000000017,2026-04-15T09:00:00.000Z,Station 2,oh-station-02-bessemer-pickens-1971,Bessemer 1971 voter registration drive,Draft,Jennifer Clark,Draft 2: Tightened the opening line. Word count under 110.,2026-05-27
recLab0000000000018,2026-04-15T09:00:00.000Z,Station 2,oh-station-02-bessemer-pickens-1971,Bessemer 1971 voter registration drive,In review,Cyrus Holt,Editor pass: Editor flagged passive voice in line three. Fixed.,2026-06-01
recLab0000000000019,2026-04-15T09:00:00.000Z,Station 2,oh-station-02-bessemer-pickens-1971,Bessemer 1971 voter registration drive,In review,Cyrus Holt,Conservation review: Conservator approved the materials reference.,2026-06-06
recLab0000000000020,2026-04-15T09:00:00.000Z,Station 2,oh-station-02-bessemer-pickens-1971,Bessemer 1971 voter registration drive,In review,Dr. Lorraine Franklin,Board chair review: Lorraine signed off on the framing.,2026-06-11
recLab0000000000021,2026-04-15T09:00:00.000Z,Station 2,oh-station-02-bessemer-pickens-1971,Bessemer 1971 voter registration drive,Approved,Helena Park,Press review: Helena flagged the embargo language. Adjusted.,2026-06-16
recLab0000000000022,2026-04-15T09:00:00.000Z,Station 2,oh-station-02-bessemer-pickens-1971,Bessemer 1971 voter registration drive,Final,Cyrus Holt,Print proof: Print proof reviewed. Two small kerning fixes.,2026-06-21
recLab0000000000023,2026-04-15T09:00:00.000Z,Station 3,oh-station-03-mitchell-circle-1968,Mitchell Circle 1968,Draft,Jennifer Clark,Draft 1: Working draft from the curatorial thesis pass.,2026-05-29
recLab0000000000024,2026-04-15T09:00:00.000Z,Station 3,oh-station-03-mitchell-circle-1968,Mitchell Circle 1968,Draft,Jennifer Clark,Draft 2: Tightened the opening line. Word count under 110.,2026-06-03
recLab0000000000025,2026-04-15T09:00:00.000Z,Station 3,oh-station-03-mitchell-circle-1968,Mitchell Circle 1968,In review,Cyrus Holt,Editor pass: Editor flagged passive voice in line three. Fixed.,2026-06-08
recLab0000000000026,2026-04-15T09:00:00.000Z,Station 3,oh-station-03-mitchell-circle-1968,Mitchell Circle 1968,In review,Cyrus Holt,Conservation review: Conservator approved the materials reference.,2026-06-13
recLab0000000000027,2026-04-15T09:00:00.000Z,Station 3,oh-station-03-mitchell-circle-1968,Mitchell Circle 1968,In review,Dr. Lorraine Franklin,Board chair review: Lorraine signed off on the framing.,2026-06-18
recLab0000000000028,2026-04-15T09:00:00.000Z,Station 3,oh-station-03-mitchell-circle-1968,Mitchell Circle 1968,Approved,Helena Park,Press review: Helena flagged the embargo language. Adjusted.,2026-06-23
recLab0000000000029,2026-04-15T09:00:00.000Z,Station 3,oh-station-03-mitchell-circle-1968,Mitchell Circle 1968,Final,Cyrus Holt,Print proof: Print proof reviewed. Two small kerning fixes.,2026-06-28
