query,formatted_address,lat,lng,place_id,location_type
query-00000,formatted_address-00000,47.9764,-113.5199,place_0000,location_type-00000
query-00001,formatted_address-00001,47.5604,-113.5244,place_0001,location_type-00001
query-00002,formatted_address-00002,47.6502,-113.8087,place_0002,location_type-00002
query-00003,formatted_address-00003,47.1435,-113.6642,place_0003,location_type-00003
query-00004,formatted_address-00004,47.6912,-114.3433,place_0004,location_type-00004
query-00005,formatted_address-00005,47.8165,-113.9344,place_0005,location_type-00005
query-00006,formatted_address-00006,47.5153,-114.2894,place_0006,location_type-00006
query-00007,formatted_address-00007,47.8257,-114.2817,place_0007,location_type-00007
query-00008,formatted_address-00008,47.7482,-114.4887,place_0008,location_type-00008
query-00009,formatted_address-00009,47.0511,-114.2623,place_0009,location_type-00009
query-00010,formatted_address-00010,47.1718,-114.2408,place_0010,location_type-00010
query-00011,formatted_address-00011,47.6567,-113.9196,place_0011,location_type-00011
query-00012,formatted_address-00012,47.8069,-113.8760,place_0012,location_type-00012
query-00013,formatted_address-00013,47.5027,-113.5081,place_0013,location_type-00013
query-00014,formatted_address-00014,47.7228,-114.1932,place_0014,location_type-00014
query-00015,formatted_address-00015,47.9299,-113.8040,place_0015,location_type-00015
query-00016,formatted_address-00016,47.1097,-114.0313,place_0016,location_type-00016
query-00017,formatted_address-00017,47.8103,-114.3877,place_0017,location_type-00017
query-00018,formatted_address-00018,47.4644,-113.5500,place_0018,location_type-00018
query-00019,formatted_address-00019,47.7496,-113.7378,place_0019,location_type-00019
query-00020,formatted_address-00020,47.3208,-114.4454,place_0020,location_type-00020
query-00021,formatted_address-00021,47.2648,-113.6510,place_0021,location_type-00021
query-00022,formatted_address-00022,47.8526,-114.3377,place_0022,location_type-00022
query-00023,formatted_address-00023,47.1513,-114.0092,place_0023,location_type-00023
query-00024,formatted_address-00024,47.4393,-114.3378,place_0024,location_type-00024
query-00025,formatted_address-00025,47.6221,-113.7605,place_0025,location_type-00025
query-00026,formatted_address-00026,47.3856,-114.0927,place_0026,location_type-00026
query-00027,formatted_address-00027,47.1960,-114.0079,place_0027,location_type-00027
query-00028,formatted_address-00028,47.6800,-113.9268,place_0028,location_type-00028
query-00029,formatted_address-00029,47.0139,-114.4097,place_0029,location_type-00029
query-00030,formatted_address-00030,47.0562,-113.6567,place_0030,location_type-00030
query-00031,formatted_address-00031,47.4242,-114.0553,place_0031,location_type-00031
query-00032,formatted_address-00032,47.8028,-113.6574,place_0032,location_type-00032
query-00033,formatted_address-00033,47.4060,-114.3226,place_0033,location_type-00033
query-00034,formatted_address-00034,47.4158,-114.0468,place_0034,location_type-00034
query-00035,formatted_address-00035,47.4657,-113.6497,place_0035,location_type-00035
query-00036,formatted_address-00036,47.2701,-114.3824,place_0036,location_type-00036
query-00037,formatted_address-00037,47.5646,-114.0249,place_0037,location_type-00037
query-00038,formatted_address-00038,47.6472,-113.9317,place_0038,location_type-00038
query-00039,formatted_address-00039,47.1320,-114.1803,place_0039,location_type-00039
query-00040,formatted_address-00040,47.0467,-113.8628,place_0040,location_type-00040
query-00041,formatted_address-00041,47.6551,-114.0150,place_0041,location_type-00041
query-00042,formatted_address-00042,47.9295,-114.2000,place_0042,location_type-00042
query-00043,formatted_address-00043,47.3235,-114.4634,place_0043,location_type-00043
query-00044,formatted_address-00044,47.8907,-113.7642,place_0044,location_type-00044
query-00045,formatted_address-00045,47.2707,-114.0615,place_0045,location_type-00045
query-00046,formatted_address-00046,47.1905,-114.1258,place_0046,location_type-00046
query-00047,formatted_address-00047,47.6038,-114.0520,place_0047,location_type-00047
query-00048,formatted_address-00048,47.0447,-114.0735,place_0048,location_type-00048
query-00049,formatted_address-00049,47.7792,-114.0552,place_0049,location_type-00049
query-00050,formatted_address-00050,47.5194,-114.1471,place_0050,location_type-00050
query-00051,formatted_address-00051,47.0095,-113.7040,place_0051,location_type-00051
query-00052,formatted_address-00052,47.5090,-113.8744,place_0052,location_type-00052
query-00053,formatted_address-00053,47.3717,-113.6115,place_0053,location_type-00053
query-00054,formatted_address-00054,47.6693,-113.9084,place_0054,location_type-00054
query-00055,formatted_address-00055,47.2854,-113.5307,place_0055,location_type-00055
query-00056,formatted_address-00056,47.6250,-114.2238,place_0056,location_type-00056
query-00057,formatted_address-00057,47.3905,-114.3187,place_0057,location_type-00057
query-00058,formatted_address-00058,47.9173,-113.9265,place_0058,location_type-00058
query-00059,formatted_address-00059,47.9557,-114.4437,place_0059,location_type-00059
query-00060,formatted_address-00060,47.9258,-113.6505,place_0060,location_type-00060
query-00061,formatted_address-00061,47.0498,-114.0722,place_0061,location_type-00061
query-00062,formatted_address-00062,47.0561,-113.7744,place_0062,location_type-00062
query-00063,formatted_address-00063,47.6457,-113.7153,place_0063,location_type-00063
query-00064,formatted_address-00064,47.7024,-114.4684,place_0064,location_type-00064
query-00065,formatted_address-00065,47.2917,-113.8069,place_0065,location_type-00065
query-00066,formatted_address-00066,47.3778,-113.5979,place_0066,location_type-00066
query-00067,formatted_address-00067,47.7166,-114.3303,place_0067,location_type-00067
query-00068,formatted_address-00068,47.5542,-113.7438,place_0068,location_type-00068
query-00069,formatted_address-00069,47.6276,-113.6197,place_0069,location_type-00069
query-00070,formatted_address-00070,47.4936,-114.0854,place_0070,location_type-00070
query-00071,formatted_address-00071,47.8317,-114.4368,place_0071,location_type-00071
query-00072,formatted_address-00072,47.0244,-113.9727,place_0072,location_type-00072
query-00073,formatted_address-00073,47.1271,-113.7289,place_0073,location_type-00073
query-00074,formatted_address-00074,47.0916,-113.7324,place_0074,location_type-00074
query-00075,formatted_address-00075,47.9071,-113.9314,place_0075,location_type-00075
query-00076,formatted_address-00076,47.9271,-114.2245,place_0076,location_type-00076
query-00077,formatted_address-00077,47.0030,-113.5304,place_0077,location_type-00077
query-00078,formatted_address-00078,47.7941,-113.7292,place_0078,location_type-00078
query-00079,formatted_address-00079,47.4249,-114.2250,place_0079,location_type-00079
query-00080,formatted_address-00080,47.9273,-113.7791,place_0080,location_type-00080
query-00081,formatted_address-00081,47.2893,-113.9456,place_0081,location_type-00081
query-00082,formatted_address-00082,47.2469,-114.2585,place_0082,location_type-00082
query-00083,formatted_address-00083,47.4942,-113.7211,place_0083,location_type-00083
query-00084,formatted_address-00084,47.5302,-113.5366,place_0084,location_type-00084
query-00085,formatted_address-00085,47.7784,-114.3004,place_0085,location_type-00085
query-00086,formatted_address-00086,47.4409,-113.6830,place_0086,location_type-00086
query-00087,formatted_address-00087,47.2161,-113.8434,place_0087,location_type-00087
query-00088,formatted_address-00088,47.0766,-113.6276,place_0088,location_type-00088
