place_id,name,formatted_address,lat,lng,rating,user_ratings_total,types,business_status,price_level
place_0000,Apgar Village,"Apgar, West Glacier, MT 59936",47.0733,-113.5310,4.0,2539,park|point_of_interest,OPERATIONAL,2
place_0001,Lake McDonald Lodge,"288 Lake McDonald Lodge, MT 59921",47.8781,-114.2298,4.3,897,lodging|point_of_interest,OPERATIONAL,1
place_0002,Avalanche Lake Trailhead,"Going-to-the-Sun Rd, MT 59936",47.6756,-113.7119,4.6,4891,trailhead|natural_feature,OPERATIONAL,3
place_0003,Logan Pass,"Going-to-the-Sun Rd, MT 59468",47.3560,-113.6972,4.3,142,park|natural_feature,OPERATIONAL,2
place_0004,Two Medicine,"Two Medicine Rd, East Glacier Park, MT 59434",47.8181,-114.4288,4.5,2447,park|natural_feature,OPERATIONAL,1
place_0005,Kootenai Creek Trailhead,"Kootenai Creek Rd, Stevensville, MT 59870",47.9003,-113.6564,4.1,3937,trailhead|natural_feature,OPERATIONAL,0
place_0006,Bowman Lake,"Bowman Lake Rd, Polebridge, MT 59928",47.7136,-114.3974,4.6,4850,natural_feature|point_of_interest,OPERATIONAL,2
place_0007,Rising Sun,"Going-to-the-Sun Rd, St Mary, MT 59417",47.1348,-114.2272,3.5,4430,park|point_of_interest,OPERATIONAL,1
place_0008,Polebridge Mercantile,"265 Polebridge Loop, Polebridge, MT 59928",47.3718,-114.0421,3.8,169,store|point_of_interest,OPERATIONAL,0
place_0009,St. Mary Visitor Center,"US-89, St Mary, MT 59417",47.7486,-113.5301,4.1,4852,point_of_interest|visitor_center,OPERATIONAL,4
place_0010,Apgar Village,"Apgar, West Glacier, MT 59936",47.0034,-114.4939,4.6,1821,park|point_of_interest,OPERATIONAL,1
place_0011,Lake McDonald Lodge,"288 Lake McDonald Lodge, MT 59921",47.9007,-114.4069,4.4,2998,lodging|point_of_interest,OPERATIONAL,0
place_0012,Avalanche Lake Trailhead,"Going-to-the-Sun Rd, MT 59936",47.8464,-114.2539,4.4,4245,trailhead|natural_feature,OPERATIONAL,4
place_0013,Logan Pass,"Going-to-the-Sun Rd, MT 59468",47.6919,-113.5600,3.8,2416,park|natural_feature,OPERATIONAL,3
place_0014,Two Medicine,"Two Medicine Rd, East Glacier Park, MT 59434",47.9495,-113.9664,4.1,4556,park|natural_feature,OPERATIONAL,0
place_0015,Kootenai Creek Trailhead,"Kootenai Creek Rd, Stevensville, MT 59870",47.4124,-114.3082,4.9,3079,trailhead|natural_feature,OPERATIONAL,4
place_0016,Bowman Lake,"Bowman Lake Rd, Polebridge, MT 59928",47.2855,-113.6302,4.8,2020,natural_feature|point_of_interest,OPERATIONAL,3
place_0017,Rising Sun,"Going-to-the-Sun Rd, St Mary, MT 59417",47.6727,-113.5306,4.8,911,park|point_of_interest,OPERATIONAL,2
place_0018,Polebridge Mercantile,"265 Polebridge Loop, Polebridge, MT 59928",47.1951,-114.4534,3.9,1085,store|point_of_interest,OPERATIONAL,1
place_0019,St. Mary Visitor Center,"US-89, St Mary, MT 59417",47.5595,-113.9482,4.7,4536,point_of_interest|visitor_center,OPERATIONAL,3
place_0020,Apgar Village,"Apgar, West Glacier, MT 59936",47.9294,-114.1189,4.4,1829,park|point_of_interest,OPERATIONAL,2
place_0021,Lake McDonald Lodge,"288 Lake McDonald Lodge, MT 59921",47.5318,-113.8695,4.9,2168,lodging|point_of_interest,OPERATIONAL,1
place_0022,Avalanche Lake Trailhead,"Going-to-the-Sun Rd, MT 59936",47.2980,-114.3282,4.2,1453,trailhead|natural_feature,OPERATIONAL,0
place_0023,Logan Pass,"Going-to-the-Sun Rd, MT 59468",47.9560,-114.0571,4.8,2804,park|natural_feature,OPERATIONAL,2
place_0024,Two Medicine,"Two Medicine Rd, East Glacier Park, MT 59434",47.1827,-114.3425,3.9,535,park|natural_feature,OPERATIONAL,1
place_0025,Kootenai Creek Trailhead,"Kootenai Creek Rd, Stevensville, MT 59870",47.6644,-113.8316,4.7,4111,trailhead|natural_feature,OPERATIONAL,0
place_0026,Bowman Lake,"Bowman Lake Rd, Polebridge, MT 59928",47.6957,-113.6072,4.6,1388,natural_feature|point_of_interest,OPERATIONAL,4
place_0027,Rising Sun,"Going-to-the-Sun Rd, St Mary, MT 59417",47.2582,-113.5749,4.8,4335,park|point_of_interest,OPERATIONAL,1
place_0028,Polebridge Mercantile,"265 Polebridge Loop, Polebridge, MT 59928",47.6549,-114.2931,3.6,2527,store|point_of_interest,OPERATIONAL,0
place_0029,St. Mary Visitor Center,"US-89, St Mary, MT 59417",47.1899,-113.6228,4.4,267,point_of_interest|visitor_center,OPERATIONAL,4
place_0030,Apgar Village,"Apgar, West Glacier, MT 59936",47.5680,-114.3448,3.9,3258,park|point_of_interest,OPERATIONAL,3
