Item	Category	Store	Typical_Qty	Reorder_When	Last_Bought	Note
Hazelnut medium roast ground coffee	Pantry	Warehouse club	2 bags	1 bag left	2026-10-18	The 6 AM non-negotiable
Paper towels	Household	Warehouse club	1 pack	3 rolls left	2026-10-18	Bulk pack
Laundry detergent	Household	Warehouse club	1 jug	Quarter left	2026-10-04	Unscented
Olive oil	Pantry	Warehouse club	1 bottle	Half left	2026-10-04	For sheet-pan nights
Chicken breasts, bulk	Freezer	Warehouse club	1 pack	2 portions left	2026-10-18	Portion and freeze
Pasta, assorted	Pantry	Market	4 boxes	2 boxes left	2026-10-11	Ziti, spaghetti, penne
Canned diced tomatoes	Pantry	Market	6 cans	3 cans left	2026-10-11	Slow-cooker base
Cetirizine 10mg	Pharmacy	Pharmacy	1 box	Stockpile in fall	2026-10-18	For spring allergy season
Fluticasone nasal spray	Pharmacy	Pharmacy	1 unit	1 left	2026-10-18	Refill on the 15th if low
Vitamin D3 1000 IU	Pharmacy	Warehouse club	1 bottle	Half left	2026-10-04	October to March
Trash bags	Household	Warehouse club	1 box	Half left	2026-10-04	Tall kitchen size
Kids lunch snacks	Pantry	Market	Variety	Weekly	2026-10-25	Rotate so they do not get bored
Dish soap	Household	Market	2 bottles	1 left	2026-10-11	Backup under the sink
