Track	Artist	Album	Duration	Genre
Runnin Down a Dream	Tom Petty	Full Moon Fever	4:23	Classic rock
Everlong	Foo Fighters	The Colour and the Shape	4:10	Classic rock
The Pretender	Foo Fighters	Echoes Silence Patience and Grace	4:29	Classic rock
I Won't Back Down	Tom Petty	Full Moon Fever	2:56	Classic rock
Iron Reign	Malik Stone	Concrete Hours	3:18	Training hip hop
Redline	Malik Stone	Concrete Hours	2:58	Training hip hop
Heavy Hands	J. Aiden	North Gate	3:41	Training hip hop
Last Rep	J. Aiden	North Gate	3:05	Training hip hop
Learning to Fly	Tom Petty	Into the Great Wide Open	4:01	Classic rock
My Hero	Foo Fighters	The Colour and the Shape	4:20	Classic rock
Pressure Plate	Malik Stone	Concrete Hours	3:27	Training hip hop
Total Praise	Sunday Choir	Gospel Mornings	5:12	Gospel
Goodness of God	Sunday Choir	Gospel Mornings	4:48	Gospel
Way Maker	Sunday Choir	Gospel Mornings	5:01	Gospel
