uuid,owner,name,slug,duration,kind,color,active,description,scheduling_url,created_at
et-0000,mary,Family Planning 0,slot-0,60,solo,#4a90d9,true,Personal booking type 0,https://calendly.example/mary/slot-0,2026-01-01T00:00:00Z
et-0001,mary,Community Call 1,slot-1,30,solo,#4a90d9,true,Personal booking type 1,https://calendly.example/mary/slot-1,2026-01-02T00:00:00Z
et-0002,mary,Coffee Chat 2,slot-2,60,solo,#4a90d9,true,Personal booking type 2,https://calendly.example/mary/slot-2,2026-01-03T00:00:00Z
et-0003,mary,Community Call 3,slot-3,45,solo,#4a90d9,true,Personal booking type 3,https://calendly.example/mary/slot-3,2026-01-04T00:00:00Z
et-0004,mary,Community Call 4,slot-4,15,solo,#4a90d9,true,Personal booking type 4,https://calendly.example/mary/slot-4,2026-01-05T00:00:00Z
et-0005,mary,Mentoring 5,slot-5,60,solo,#4a90d9,true,Personal booking type 5,https://calendly.example/mary/slot-5,2026-01-06T00:00:00Z
et-0006,mary,Family Planning 6,slot-6,30,solo,#4a90d9,true,Personal booking type 6,https://calendly.example/mary/slot-6,2026-01-07T00:00:00Z
et-0007,mary,Family Planning 7,slot-7,30,solo,#4a90d9,true,Personal booking type 7,https://calendly.example/mary/slot-7,2026-01-08T00:00:00Z
et-0008,mary,Family Planning 8,slot-8,30,solo,#4a90d9,true,Personal booking type 8,https://calendly.example/mary/slot-8,2026-01-09T00:00:00Z
et-0009,mary,Mentoring 9,slot-9,30,solo,#4a90d9,true,Personal booking type 9,https://calendly.example/mary/slot-9,2026-01-10T00:00:00Z
et-0010,mary,Community Call 10,slot-10,45,solo,#4a90d9,true,Personal booking type 10,https://calendly.example/mary/slot-10,2026-01-11T00:00:00Z
et-0011,mary,Family Planning 11,slot-11,30,solo,#4a90d9,true,Personal booking type 11,https://calendly.example/mary/slot-11,2026-01-12T00:00:00Z
et-0012,mary,Mentoring 12,slot-12,60,solo,#4a90d9,true,Personal booking type 12,https://calendly.example/mary/slot-12,2026-01-13T00:00:00Z
et-0013,mary,Coffee Chat 13,slot-13,45,solo,#4a90d9,true,Personal booking type 13,https://calendly.example/mary/slot-13,2026-01-14T00:00:00Z
et-0014,mary,Coffee Chat 14,slot-14,15,solo,#4a90d9,true,Personal booking type 14,https://calendly.example/mary/slot-14,2026-01-15T00:00:00Z
et-0015,mary,Coffee Chat 15,slot-15,60,solo,#4a90d9,true,Personal booking type 15,https://calendly.example/mary/slot-15,2026-01-16T00:00:00Z
et-0016,mary,Mentoring 16,slot-16,30,solo,#4a90d9,true,Personal booking type 16,https://calendly.example/mary/slot-16,2026-01-17T00:00:00Z
