entry_id,date,meal,food_id,food_name,brand,serving_size,serving_unit,servings,calories,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,dietary_fiber_g,sugars_g,protein_g
1,2026-09-14,Breakfast,1,Chicken bowl,,1,serving,1,388,8,2,30,200,40,6,8,20
2,2026-09-02,Dinner,2,Salad,,1,serving,1,640,8,2,30,200,40,6,8,20
3,2026-09-25,Lunch,3,Salad,,1,serving,1,493,8,2,30,200,40,6,8,20
4,2026-09-24,Lunch,4,Oatmeal,,1,serving,1,520,8,2,30,200,40,6,8,20
5,2026-09-17,Breakfast,5,Coffee,,1,serving,1,275,8,2,30,200,40,6,8,20
6,2026-09-27,Lunch,6,Coffee,,1,serving,1,311,8,2,30,200,40,6,8,20
7,2026-09-24,Lunch,7,Oatmeal,,1,serving,1,403,8,2,30,200,40,6,8,20
8,2026-09-16,Lunch,8,Salad,,1,serving,1,246,8,2,30,200,40,6,8,20
9,2026-09-26,Dinner,9,Oatmeal,,1,serving,1,401,8,2,30,200,40,6,8,20
10,2026-09-02,Lunch,10,Chicken bowl,,1,serving,1,607,8,2,30,200,40,6,8,20
11,2026-09-21,Lunch,11,Coffee,,1,serving,1,279,8,2,30,200,40,6,8,20
12,2026-09-27,Dinner,12,Coffee,,1,serving,1,482,8,2,30,200,40,6,8,20
13,2026-09-07,Lunch,13,Oatmeal,,1,serving,1,179,8,2,30,200,40,6,8,20
14,2026-09-07,Lunch,14,Chicken bowl,,1,serving,1,282,8,2,30,200,40,6,8,20
15,2026-09-10,Breakfast,15,Oatmeal,,1,serving,1,362,8,2,30,200,40,6,8,20
16,2026-07-05,Dinner,445,Coffee,Folgers,1,serving,1,5,10,3,72,261,2,4,24,9
17,2026-01-17,Dinner,978,Oatmeal,Quaker,1,serving,1,150,20,2,46,264,26,0,0,13
18,2026-03-01,Dinner,981,Oatmeal,Quaker,1,serving,1,150,1,1,17,354,37,3,25,16
19,2026-09-01,Dinner,951,Coffee,Folgers,1,serving,1,5,10,2,52,85,24,4,3,22
20,2026-05-16,Snack,735,Coffee,Folgers,1,serving,1,5,1,5,50,45,42,10,7,26
21,2026-04-24,Lunch,385,Oatmeal,Quaker,1,serving,1,150,8,3,37,573,27,6,9,30
22,2026-02-25,Snack,778,Yogurt,Chobani,1,serving,1,120,18,6,40,404,39,10,19,0
23,2026-02-16,Breakfast,504,Oatmeal,Quaker,1,serving,1,150,10,1,69,482,47,5,8,20
24,2026-05-26,Lunch,800,Yogurt,Chobani,1,serving,1,120,14,3,65,237,45,1,6,26
25,2026-02-22,Breakfast,114,Oatmeal,Quaker,1,serving,1,150,13,0,57,521,24,9,3,8
26,2026-07-09,Lunch,187,Yogurt,Chobani,1,serving,1,120,5,8,25,443,6,0,12,19
