city_id,weather_id,weather_main,weather_description,weather_icon,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,visibility,dt
4259418,803,Clouds,broken clouds,04d,60,58,57,63,1015,79,4.6,329,46,10000,1791768600
4500000,803,Clouds,broken clouds,04d,57,55,54,60,1015,65,7.3,62,15,10000,1791768600
4500001,803,Clouds,broken clouds,04d,50,48,47,53,1015,71,4.2,95,34,10000,1791768600
4500002,803,Clouds,broken clouds,04d,48,46,45,51,1015,50,3.7,343,40,10000,1791768600
4600000,803,Clouds,broken clouds,04d,62,60,59,65,1015,62,8.2,280,6,10000,1791768600
4600001,803,Clouds,broken clouds,04d,61,59,58,64,1015,45,11.6,172,30,10000,1791768600
4600002,803,Clouds,broken clouds,04d,62,60,59,65,1015,72,7.0,302,16,10000,1791768600
4600003,803,Clouds,broken clouds,04d,51,49,48,54,1015,54,6.9,209,36,10000,1791768600
4600004,803,Clouds,broken clouds,04d,46,44,43,49,1015,61,11.2,304,51,10000,1791768600
4600005,803,Clouds,broken clouds,04d,63,61,60,66,1015,61,4.7,52,56,10000,1791768600
4600006,803,Clouds,broken clouds,04d,59,57,56,62,1015,62,9.8,268,80,10000,1791768600
4600007,803,Clouds,broken clouds,04d,53,51,50,56,1015,78,10.2,211,89,10000,1791768600
4600008,803,Clouds,broken clouds,04d,62,60,59,65,1015,66,6.6,117,91,10000,1791768600
4600009,803,Clouds,broken clouds,04d,50,48,47,53,1015,67,9.3,234,99,10000,1791768600
4600010,803,Clouds,broken clouds,04d,63,61,60,66,1015,58,10.4,127,36,10000,1791768600
4600011,803,Clouds,broken clouds,04d,54,52,51,57,1015,68,10.5,243,42,10000,1791768600
4600012,803,Clouds,broken clouds,04d,52,50,49,55,1015,81,4.2,164,29,10000,1791768600
4600013,803,Clouds,broken clouds,04d,50,48,47,53,1015,59,6.1,292,69,10000,1791768600
4600014,803,Clouds,broken clouds,04d,61,59,58,64,1015,84,3.4,176,23,10000,1791768600
4600015,803,Clouds,broken clouds,04d,52,50,49,55,1015,47,7.7,12,14,10000,1791768600
4600016,803,Clouds,broken clouds,04d,61,59,58,64,1015,65,3.6,163,15,10000,1791768600
4600017,803,Clouds,broken clouds,04d,47,45,44,50,1015,85,8.2,342,21,10000,1791768600
4600018,803,Clouds,broken clouds,04d,65,63,62,68,1015,47,7.7,219,11,10000,1791768600
4600019,803,Clouds,broken clouds,04d,59,57,56,62,1015,52,6.8,348,14,10000,1791768600
4600020,803,Clouds,broken clouds,04d,57,55,54,60,1015,46,2.8,108,27,10000,1791768600
4600021,803,Clouds,broken clouds,04d,54,52,51,57,1015,53,5.0,305,86,10000,1791768600
4600022,803,Clouds,broken clouds,04d,58,56,55,61,1015,78,5.5,27,82,10000,1791768600
4600023,803,Clouds,broken clouds,04d,46,44,43,49,1015,74,5.4,234,3,10000,1791768600
4600024,803,Clouds,broken clouds,04d,56,54,53,59,1015,51,3.6,175,91,10000,1791768600
4600025,803,Clouds,broken clouds,04d,58,56,55,61,1015,65,8.0,330,59,10000,1791768600
4600026,803,Clouds,broken clouds,04d,57,55,54,60,1015,63,10.1,145,24,10000,1791768600
4600027,803,Clouds,broken clouds,04d,61,59,58,64,1015,45,5.6,81,56,10000,1791768600
4600028,803,Clouds,broken clouds,04d,49,47,46,52,1015,70,10.8,63,90,10000,1791768600
4600029,803,Clouds,broken clouds,04d,47,45,44,50,1015,81,10.2,220,0,10000,1791768600
4600030,803,Clouds,broken clouds,04d,46,44,43,49,1015,53,5.9,128,91,10000,1791768600
4600031,803,Clouds,broken clouds,04d,65,63,62,68,1015,79,11.0,303,81,10000,1791768600
4600032,803,Clouds,broken clouds,04d,54,52,51,57,1015,56,4.2,292,61,10000,1791768600
4600033,803,Clouds,broken clouds,04d,47,45,44,50,1015,71,9.2,341,19,10000,1791768600
4600034,803,Clouds,broken clouds,04d,51,49,48,54,1015,81,7.5,157,78,10000,1791768600
4600035,803,Clouds,broken clouds,04d,50,48,47,53,1015,51,10.6,171,39,10000,1791768600
4600036,803,Clouds,broken clouds,04d,50,48,47,53,1015,82,5.1,339,31,10000,1791768600
4600037,803,Clouds,broken clouds,04d,66,64,63,69,1015,67,9.1,184,41,10000,1791768600
4600038,803,Clouds,broken clouds,04d,58,56,55,61,1015,69,9.3,122,4,10000,1791768600
4600039,803,Clouds,broken clouds,04d,49,47,46,52,1015,73,4.4,277,29,10000,1791768600
4600040,803,Clouds,broken clouds,04d,48,46,45,51,1015,61,6.8,143,32,10000,1791768600
4600041,803,Clouds,broken clouds,04d,61,59,58,64,1015,56,4.5,38,87,10000,1791768600
4600042,803,Clouds,broken clouds,04d,56,54,53,59,1015,85,5.3,167,83,10000,1791768600
4600043,803,Clouds,broken clouds,04d,58,56,55,61,1015,47,2.9,202,4,10000,1791768600
4600044,803,Clouds,broken clouds,04d,61,59,58,64,1015,82,10.1,353,94,10000,1791768600
4600045,803,Clouds,broken clouds,04d,50,48,47,53,1015,57,10.2,201,0,10000,1791768600
4600046,803,Clouds,broken clouds,04d,59,57,56,62,1015,83,10.5,124,86,10000,1791768600
4600047,803,Clouds,broken clouds,04d,58,56,55,61,1015,79,10.2,166,8,10000,1791768600
4600048,803,Clouds,broken clouds,04d,65,63,62,68,1015,68,2.3,139,84,10000,1791768600
4600049,803,Clouds,broken clouds,04d,52,50,49,55,1015,65,10.8,322,13,10000,1791768600
4600050,803,Clouds,broken clouds,04d,53,51,50,56,1015,77,11.1,108,77,10000,1791768600
4600051,803,Clouds,broken clouds,04d,66,64,63,69,1015,54,2.3,336,89,10000,1791768600
4600052,803,Clouds,broken clouds,04d,60,58,57,63,1015,83,11.2,210,98,10000,1791768600
4600053,803,Clouds,broken clouds,04d,55,53,52,58,1015,46,5.4,229,58,10000,1791768600
4600054,803,Clouds,broken clouds,04d,46,44,43,49,1015,59,5.3,77,91,10000,1791768600
4600055,803,Clouds,broken clouds,04d,57,55,54,60,1015,85,7.0,102,2,10000,1791768600
4600056,803,Clouds,broken clouds,04d,65,63,62,68,1015,70,11.0,323,96,10000,1791768600
4600057,803,Clouds,broken clouds,04d,56,54,53,59,1015,73,9.1,52,66,10000,1791768600
4600058,803,Clouds,broken clouds,04d,55,53,52,58,1015,77,5.3,230,78,10000,1791768600
4600059,803,Clouds,broken clouds,04d,59,57,56,62,1015,80,6.5,138,92,10000,1791768600
