id,name,country,state,lat,lon,timezone
4259418,Indianapolis,US,IN,39.7684,-86.1581,-14400
4500000,Columbus,US,OH,39.9612,-82.9988,-14400
4500001,Chicago,US,IL,41.8781,-87.6298,-14400
4500002,Cincinnati,US,OH,39.1031,-84.512,-14400
4600000,Township 0,US,IN,39.4066,-86.7891,-14400
4600001,Township 1,US,IN,39.0014,-86.0431,-14400
4600002,Township 2,US,IN,39.8169,-86.5311,-14400
4600003,Township 3,US,IN,39.0686,-86.2226,-14400
4600004,Township 4,US,IN,39.0502,-86.2299,-14400
4600005,Township 5,US,IN,39.8886,-86.5598,-14400
4600006,Township 6,US,IN,39.0747,-86.5466,-14400
4600007,Township 7,US,IN,39.6559,-86.4374,-14400
4600008,Township 8,US,IN,39.7357,-86.1278,-14400
4600009,Township 9,US,IN,39.8773,-86.8515,-14400
4600010,Township 10,US,IN,39.5949,-86.7085,-14400
4600011,Township 11,US,IN,39.4509,-86.0626,-14400
4600012,Township 12,US,IN,39.7025,-86.0949,-14400
4600013,Township 13,US,IN,39.3909,-86.4578,-14400
4600014,Township 14,US,IN,39.8679,-86.3368,-14400
4600015,Township 15,US,IN,39.2924,-86.0339,-14400
4600016,Township 16,US,IN,39.2924,-86.1265,-14400
4600017,Township 17,US,IN,39.3212,-86.5285,-14400
4600018,Township 18,US,IN,39.4106,-86.7077,-14400
4600019,Township 19,US,IN,39.0744,-86.8314,-14400
4600020,Township 20,US,IN,39.0404,-86.4006,-14400
4600021,Township 21,US,IN,39.9382,-86.6951,-14400
4600022,Township 22,US,IN,39.0783,-86.3166,-14400
4600023,Township 23,US,IN,39.8246,-86.0608,-14400
4600024,Township 24,US,IN,39.3623,-86.5295,-14400
4600025,Township 25,US,IN,39.704,-86.185,-14400
4600026,Township 26,US,IN,39.8685,-86.4122,-14400
4600027,Township 27,US,IN,39.7242,-86.483,-14400
4600028,Township 28,US,IN,39.1909,-86.0811,-14400
4600029,Township 29,US,IN,39.0869,-86.5101,-14400
4600030,Township 30,US,IN,39.0274,-86.8577,-14400
4600031,Township 31,US,IN,39.9812,-86.1413,-14400
4600032,Township 32,US,IN,39.471,-86.256,-14400
4600033,Township 33,US,IN,39.9534,-86.1525,-14400
4600034,Township 34,US,IN,39.8157,-86.0312,-14400
4600035,Township 35,US,IN,39.5793,-86.2305,-14400
4600036,Township 36,US,IN,39.7298,-86.1149,-14400
4600037,Township 37,US,IN,39.0586,-86.0161,-14400
4600038,Township 38,US,IN,39.9578,-86.7542,-14400
4600039,Township 39,US,IN,39.7678,-86.9008,-14400
4600040,Township 40,US,IN,39.4969,-86.9159,-14400
4600041,Township 41,US,IN,39.6166,-86.5925,-14400
4600042,Township 42,US,IN,39.1729,-86.6643,-14400
4600043,Township 43,US,IN,39.6065,-86.8188,-14400
4600044,Township 44,US,IN,39.525,-86.2526,-14400
4600045,Township 45,US,IN,39.885,-86.4487,-14400
4600046,Township 46,US,IN,39.9778,-86.3437,-14400
4600047,Township 47,US,IN,39.0972,-86.7919,-14400
4600048,Township 48,US,IN,39.5783,-86.7986,-14400
4600049,Township 49,US,IN,39.6827,-86.771,-14400
4600050,Township 50,US,IN,39.8127,-86.3245,-14400
4600051,Township 51,US,IN,39.748,-86.9042,-14400
4600052,Township 52,US,IN,39.8992,-86.6724,-14400
4600053,Township 53,US,IN,39.858,-86.3995,-14400
4600054,Township 54,US,IN,39.0368,-86.8597,-14400
4600055,Township 55,US,IN,39.678,-86.9047,-14400
4600056,Township 56,US,IN,39.1703,-86.2323,-14400
4600057,Township 57,US,IN,39.468,-86.7439,-14400
4600058,Township 58,US,IN,39.1164,-86.4007,-14400
4600059,Township 59,US,IN,39.7558,-86.1946,-14400
4600060,Township 60,US,IN,39.0925,-86.6017,-14400
4600061,Township 61,US,IN,39.17,-86.0674,-14400
4600062,Township 62,US,IN,39.1293,-86.604,-14400
4600063,Township 63,US,IN,39.3479,-86.4927,-14400
4600064,Township 64,US,IN,39.0341,-86.5644,-14400
4600065,Township 65,US,IN,39.3615,-86.2122,-14400
4600066,Township 66,US,IN,39.6902,-86.3717,-14400
4600067,Township 67,US,IN,39.5591,-86.278,-14400
4600068,Township 68,US,IN,39.5124,-86.6999,-14400
4600069,Township 69,US,IN,39.9759,-86.3374,-14400
4600070,Township 70,US,IN,39.1636,-86.336,-14400
4600071,Township 71,US,IN,39.9846,-86.8409,-14400
4600072,Township 72,US,IN,39.8824,-86.8226,-14400
4600073,Township 73,US,IN,39.1238,-86.6751,-14400
4600074,Township 74,US,IN,39.9828,-86.646,-14400
