tracking_number,status_type,status_code,status_description,service_name,ship_date,scheduled_delivery,latest_activity,latest_activity_location,latest_activity_time
1Z999AA10123456784,I,1000,In Transit,UPS Ground,2027-05-18,2027-05-20,Departed facility,Kiel,2027-05-18T18:00:00Z
1Z999AA10123456795,D,1001,Delivered,UPS Next Day,2027-05-10,2027-05-11,Delivered,Husum,2027-05-11T11:00:00Z
562,open,1002,open,Meadow cedar 3,2026-05-03T02:05:00Z,bravo-3,49.0161,Flensburg,2026-10-23T11:17:00Z
784,open,1003,pending,Violet alpha 4,2026-08-05T13:26:00Z,summit-4,49.3500,Rostock,2026-12-08T14:51:00Z
450,standard,1004,open,Delta quartz 5,2026-03-08T07:17:00Z,harbor-5,49.8847,Lubeck,2026-03-18T20:37:00Z
42,standard,1005,active,Orbit coral 6,2026-06-26T02:37:00Z,delta-6,48.3897,Bremen,2026-07-04T16:39:00Z
392,open,1006,general,River willow 7,2026-01-22T22:13:00Z,jade-7,49.7764,Bonn,2026-07-04T01:52:00Z
382,active,1007,open,Grove ember 8,2026-06-16T22:40:00Z,jade-8,51.9407,Bonn,2026-12-15T13:43:00Z
893,closed,1008,closed,Bravo kelp 9,2026-10-07T04:58:00Z,violet-9,50.1541,Hamburg,2026-07-04T06:53:00Z
898,general,1009,open,Zephyr umber 10,2026-06-07T09:26:00Z,coral-10,48.1779,Lubeck,2026-03-21T05:19:00Z
646,general,1010,closed,Ember haze 11,2026-04-17T11:26:00Z,pine-11,52.8893,Bonn,2026-04-26T04:42:00Z
388,open,1011,closed,Coral harbor 12,2026-09-17T13:37:00Z,coral-12,51.9790,Kassel,2026-06-06T13:14:00Z
795,active,1012,open,Pine grove 13,2026-02-21T14:59:00Z,grove-13,51.1592,Bonn,2026-10-25T04:07:00Z
744,general,1013,active,Zephyr summit 14,2026-07-08T11:54:00Z,violet-14,47.0342,Bremen,2026-08-23T08:03:00Z
574,open,1014,standard,Kelp kelp 15,2026-08-16T18:30:00Z,alpha-15,54.7625,Kiel,2026-02-15T04:10:00Z
190,active,1015,general,Quartz violet 16,2026-04-02T20:25:00Z,ember-16,47.6385,Lubeck,2026-02-13T10:16:00Z
369,general,1016,standard,Quartz haze 17,2026-08-19T06:25:00Z,violet-17,53.4552,Trier,2026-03-26T03:53:00Z
249,general,1017,pending,Coral river 18,2026-08-01T00:35:00Z,frost-18,54.0872,Lubeck,2026-12-12T07:22:00Z
25,active,1018,open,Coral violet 19,2026-09-12T11:10:00Z,river-19,54.1718,Rostock,2026-02-17T18:52:00Z
440,standard,1019,pending,Jade violet 20,2026-09-06T12:52:00Z,tidal-20,48.7986,Jena,2026-11-08T08:01:00Z
754,general,1020,closed,River tidal 21,2026-10-06T02:59:00Z,zephyr-21,47.4066,Bremen,2026-12-24T05:05:00Z
522,standard,1021,general,Violet jade 22,2026-08-16T22:19:00Z,delta-22,52.4655,Hamburg,2026-07-17T23:22:00Z
210,general,1022,standard,Iris kelp 23,2026-02-16T08:50:00Z,quartz-23,47.4015,Bremen,2026-03-23T08:50:00Z
798,closed,1023,open,Tidal umber 24,2026-01-07T19:34:00Z,ember-24,52.4725,Rostock,2026-07-18T19:31:00Z
230,standard,1024,active,Kelp haze 25,2026-09-06T16:36:00Z,delta-25,51.4314,Emden,2026-03-21T04:34:00Z
564,standard,1025,standard,Willow umber 26,2026-04-12T14:30:00Z,frost-26,47.8435,Kiel,2026-09-25T17:17:00Z
78,standard,1026,pending,Jade coral 27,2026-09-07T06:01:00Z,harbor-27,53.3038,Fulda,2026-08-22T03:10:00Z
50,general,1027,active,Grove zephyr 28,2026-10-04T15:34:00Z,bravo-28,54.3873,Kiel,2026-02-01T07:30:00Z
465,closed,1028,open,Summit haze 29,2026-10-14T04:31:00Z,grove-29,53.3087,Lubeck,2026-10-07T01:25:00Z
407,closed,1029,closed,Frost river 30,2026-04-05T21:52:00Z,pine-30,47.8705,Mainz,2026-01-01T02:26:00Z
716,general,1030,open,Grove iris 31,2026-07-24T07:26:00Z,willow-31,49.3175,Kassel,2026-07-04T04:38:00Z
714,standard,1031,standard,Frost delta 32,2026-09-10T10:50:00Z,bravo-32,50.8827,Mainz,2026-09-27T01:12:00Z
584,standard,1032,open,Violet tidal 33,2026-07-16T10:06:00Z,zephyr-33,50.6583,Aachen,2026-12-17T19:24:00Z
413,pending,1033,pending,Harbor summit 34,2026-05-02T19:28:00Z,willow-34,47.5649,Hamburg,2026-12-18T09:12:00Z
721,open,1034,standard,Meadow zephyr 35,2026-02-13T19:15:00Z,zephyr-35,54.6209,Bremen,2026-02-08T04:54:00Z
451,open,1035,closed,Ember summit 36,2026-12-14T04:35:00Z,iris-36,47.5647,Emden,2026-05-16T12:03:00Z
785,pending,1036,standard,Ember meadow 37,2026-05-12T14:06:00Z,quartz-37,50.5754,Lubeck,2026-02-16T09:26:00Z
414,closed,1037,closed,Pine orbit 38,2026-11-19T04:10:00Z,jade-38,47.8830,Bonn,2026-05-21T11:22:00Z
264,open,1038,standard,Cedar umber 39,2026-02-25T09:50:00Z,bravo-39,51.9268,Bonn,2026-08-02T14:21:00Z
711,closed,1039,active,Cedar haze 40,2026-07-27T08:32:00Z,river-40,54.7730,Kiel,2026-06-12T12:27:00Z
439,closed,1040,closed,River zephyr 41,2026-02-13T13:14:00Z,iris-41,51.0451,Bremen,2026-05-28T23:42:00Z
390,standard,1041,closed,Jade umber 42,2026-11-18T15:14:00Z,cedar-42,52.6827,Bonn,2026-11-16T04:38:00Z
445,closed,1042,pending,Violet delta 43,2026-08-23T19:54:00Z,orbit-43,49.8212,Mainz,2026-01-04T02:25:00Z
665,standard,1043,general,Summit pine 44,2026-03-13T14:45:00Z,bravo-44,47.7483,Lubeck,2026-02-23T19:03:00Z
591,standard,1044,closed,Delta cedar 45,2026-01-27T02:15:00Z,orbit-45,48.3578,Mainz,2026-02-18T18:37:00Z
293,general,1045,active,Summit meadow 46,2026-03-22T21:04:00Z,cedar-46,48.1128,Jena,2026-10-10T22:27:00Z
339,closed,1046,standard,Meadow tidal 47,2026-04-01T17:57:00Z,iris-47,54.3591,Hamburg,2026-10-18T00:57:00Z
2,general,1047,closed,Cedar zephyr 48,2026-04-01T08:20:00Z,grove-48,48.1241,Jena,2026-12-14T17:31:00Z
575,active,1048,general,Haze orbit 49,2026-07-26T04:10:00Z,pine-49,49.5707,Hamburg,2026-05-10T02:17:00Z
900,pending,1049,open,Iris zephyr 50,2026-08-11T11:35:00Z,zephyr-50,47.2764,Aachen,2026-06-05T22:18:00Z
208,pending,1050,open,Willow pine 51,2026-01-09T22:59:00Z,meadow-51,51.6862,Bremen,2026-07-17T12:26:00Z
151,pending,1051,pending,Ember kelp 52,2026-11-22T01:47:00Z,pine-52,50.7890,Hamburg,2026-01-20T08:11:00Z
543,open,1052,general,Violet ember 53,2026-05-14T21:45:00Z,jade-53,52.1773,Trier,2026-07-02T23:06:00Z
430,standard,1053,closed,Harbor grove 54,2026-07-09T12:36:00Z,tidal-54,48.8345,Bonn,2026-08-10T08:29:00Z
884,active,1054,pending,Summit orbit 55,2026-10-08T23:58:00Z,tidal-55,51.2611,Jena,2026-06-08T20:59:00Z
789,standard,1055,pending,Quartz tidal 56,2026-02-10T18:14:00Z,grove-56,47.5774,Hamburg,2026-09-16T08:39:00Z
149,general,1056,pending,Zephyr grove 57,2026-02-06T17:22:00Z,alpha-57,47.7738,Rostock,2026-06-26T15:52:00Z
859,closed,1057,active,Bravo tidal 58,2026-04-04T14:26:00Z,zephyr-58,52.4566,Emden,2026-03-11T10:52:00Z
221,general,1058,standard,Kelp frost 59,2026-09-06T17:08:00Z,coral-59,48.2990,Trier,2026-04-03T04:32:00Z
88,open,1059,closed,Pine pine 60,2026-10-28T05:56:00Z,meadow-60,53.9164,Aachen,2026-04-27T14:03:00Z
500,general,1060,open,Cedar grove 61,2026-04-14T13:39:00Z,iris-61,50.3678,Rostock,2026-10-28T02:08:00Z
1003,pending,1061,active,Bravo grove 62,2026-12-22T10:08:00Z,grove-62,47.8100,Mainz,2026-02-08T12:58:00Z
743,standard,1062,active,Tidal harbor 63,2026-02-10T16:39:00Z,pine-63,54.3138,Aachen,2026-01-15T19:23:00Z
99,open,1063,standard,Tidal summit 64,2026-12-28T11:03:00Z,coral-64,54.2445,Bremen,2026-10-04T12:08:00Z
