id,name,description,vertical,image_url
org-aw-rhythm,Amanda Webb Dance Instruction,Rhythm Dance Studio - youth and adult dance instruction in West Reading PA,Performing Arts,https://img.example.com/org-aw-rhythm.png
org-aw-rhythm-e001,Amanda Webb Dance Instruction,Rhythm Dance Studio - youth and adult dance instruction in West Reading PA,Performing Arts,https://img.example.com/org-aw-rhythm.png
org-aw-rhythm-e002,Amanda Webb Dance Instruction,Rhythm Dance Studio - youth and adult dance instruction in West Reading PA,Performing Arts,https://img.example.com/org-aw-rhythm.png
org-aw-rhythm-e003,Amanda Webb Dance Instruction,Rhythm Dance Studio - youth and adult dance instruction in West Reading PA,Performing Arts,https://img.example.com/org-aw-rhythm.png
org-aw-rhythm-e004,Amanda Webb Dance Instruction,Rhythm Dance Studio - youth and adult dance instruction in West Reading PA,Performing Arts,https://img.example.com/org-aw-rhythm.png
org-aw-rhythm-e005,Amanda Webb Dance Instruction,Rhythm Dance Studio - youth and adult dance instruction in West Reading PA,Performing Arts,https://img.example.com/org-aw-rhythm.png
org-aw-rhythm-e006,Amanda Webb Dance Instruction,Rhythm Dance Studio - youth and adult dance instruction in West Reading PA,Performing Arts,https://img.example.com/org-aw-rhythm.png
org-aw-rhythm-e007,Amanda Webb Dance Instruction,Rhythm Dance Studio - youth and adult dance instruction in West Reading PA,Performing Arts,https://img.example.com/org-aw-rhythm.png
org-aw-rhythm-e008,Amanda Webb Dance Instruction,Rhythm Dance Studio - youth and adult dance instruction in West Reading PA,Performing Arts,https://img.example.com/org-aw-rhythm.png
org-aw-rhythm-e009,Amanda Webb Dance Instruction,Rhythm Dance Studio - youth and adult dance instruction in West Reading PA,Performing Arts,https://img.example.com/org-aw-rhythm.png
org-aw-rhythm-e010,Amanda Webb Dance Instruction,Rhythm Dance Studio - youth and adult dance instruction in West Reading PA,Performing Arts,https://img.example.com/org-aw-rhythm.png
org-aw-rhythm-e011,Amanda Webb Dance Instruction,Rhythm Dance Studio - youth and adult dance instruction in West Reading PA,Performing Arts,https://img.example.com/org-aw-rhythm.png
org-aw-rhythm-e012,Amanda Webb Dance Instruction,Rhythm Dance Studio - youth and adult dance instruction in West Reading PA,Performing Arts,https://img.example.com/org-aw-rhythm.png
org-aw-rhythm-e013,Amanda Webb Dance Instruction,Rhythm Dance Studio - youth and adult dance instruction in West Reading PA,Performing Arts,https://img.example.com/org-aw-rhythm.png
org-aw-rhythm-e014,Amanda Webb Dance Instruction,Rhythm Dance Studio - youth and adult dance instruction in West Reading PA,Performing Arts,https://img.example.com/org-aw-rhythm.png
