Date	Day	Type	Opponent or Event	Location	Arrive By	Kickoff	Notes
2026-10-03	Saturday	Game	Red division match	Copper Canyon Field 2	8:15 AM	9:00 AM	Bring water and orange slices
2026-10-08	Thursday	Practice	Team practice	Copper Canyon Field 4	3:45 PM	4:00 PM	Ends 5:30 PM
2026-10-10	Saturday	Game	Away match	North Mesa Sports Park	8:30 AM	9:30 AM	Carpool with the Nguyen family
2026-10-15	Thursday	Practice	Team practice	Copper Canyon Field 4	3:45 PM	4:00 PM	Tyler is team captain this week
2026-10-17	Saturday	Game	Home match	Copper Canyon Field 2	9:15 AM	10:00 AM	Kevin coaching warmups
2026-10-22	Thursday	Practice	Skills clinic	Copper Canyon Field 4	3:45 PM	4:00 PM	New cleats needed before this date
2026-10-24	Saturday	Game	Rival match	Copper Canyon Field 1	9:00 AM	9:45 AM	Photos for the season banner
2026-10-31	Saturday	Game	Tournament round one	Regional Soccer Complex	7:45 AM	8:30 AM	All day, pack lunch
2026-11-07	Saturday	Game	Tournament semifinal	Regional Soccer Complex	8:00 AM	9:00 AM	Depends on round one result
2026-11-14	Saturday	Event	Season wrap party	Team coach backyard	11:00 AM	11:30 AM	Jessica bringing fruit platter
