id,created_at,updated_at,published_version,title,description,file_url,content_type,file_name,size
asset_7000,2025-11-01T00:00:00,2026-09-25T10:55:00,1,Portal illustration 0,Screen art for Appointment Booking,https://cdn.contentful.example/portal/asset_7000.svg,image/svg+xml,portal_asset_7000.svg,69094
asset_7001,2025-11-01T00:00:00,2026-09-18T13:53:00,2,Portal illustration 1,Screen art for Message Your Provider,https://cdn.contentful.example/portal/asset_7001.svg,image/svg+xml,portal_asset_7001.svg,80989
asset_7002,2025-11-01T00:00:00,2026-09-09T12:34:00,5,Portal illustration 2,Screen art for Prescription Refills,https://cdn.contentful.example/portal/asset_7002.svg,image/svg+xml,portal_asset_7002.svg,13156
asset_7003,2025-11-01T00:00:00,2026-09-08T20:17:00,1,Portal illustration 3,Screen art for Results Viewing,https://cdn.contentful.example/portal/asset_7003.svg,image/svg+xml,portal_asset_7003.svg,78036
asset_7004,2025-11-01T00:00:00,2026-09-23T10:02:00,3,Portal illustration 4,Screen art for Bill Pay,https://cdn.contentful.example/portal/asset_7004.svg,image/svg+xml,portal_asset_7004.svg,38052
asset_7005,2025-11-01T00:00:00,2026-09-18T14:34:00,3,Portal illustration 5,Screen art for Onboarding First Run,https://cdn.contentful.example/portal/asset_7005.svg,image/svg+xml,portal_asset_7005.svg,77665
asset_7006,2025-11-01T00:00:00,2026-09-05T13:26:00,5,Portal illustration 6,Screen art for Appointment Booking,https://cdn.contentful.example/portal/asset_7006.svg,image/svg+xml,portal_asset_7006.svg,39869
asset_7007,2025-11-01T00:00:00,2026-09-12T13:28:00,5,Portal illustration 7,Screen art for Message Your Provider,https://cdn.contentful.example/portal/asset_7007.svg,image/svg+xml,portal_asset_7007.svg,24707
asset_7008,2025-11-01T00:00:00,2026-09-13T12:01:00,5,Portal illustration 8,Screen art for Prescription Refills,https://cdn.contentful.example/portal/asset_7008.svg,image/svg+xml,portal_asset_7008.svg,31682
asset_7009,2025-11-01T00:00:00,2026-09-04T18:21:00,2,Portal illustration 9,Screen art for Results Viewing,https://cdn.contentful.example/portal/asset_7009.svg,image/svg+xml,portal_asset_7009.svg,66072
asset_7010,2025-11-01T00:00:00,2026-09-20T06:02:00,3,Portal illustration 10,Screen art for Bill Pay,https://cdn.contentful.example/portal/asset_7010.svg,image/svg+xml,portal_asset_7010.svg,50358
asset_7011,2025-11-01T00:00:00,2026-09-16T17:25:00,1,Portal illustration 11,Screen art for Onboarding First Run,https://cdn.contentful.example/portal/asset_7011.svg,image/svg+xml,portal_asset_7011.svg,70746
asset_7012,2025-11-01T00:00:00,2026-09-05T08:26:00,3,Portal illustration 12,Screen art for Appointment Booking,https://cdn.contentful.example/portal/asset_7012.svg,image/svg+xml,portal_asset_7012.svg,60558
asset_7013,2025-11-01T00:00:00,2026-09-14T19:20:00,3,Portal illustration 13,Screen art for Message Your Provider,https://cdn.contentful.example/portal/asset_7013.svg,image/svg+xml,portal_asset_7013.svg,74538
asset_7014,2025-11-01T00:00:00,2026-09-24T11:30:00,3,Portal illustration 14,Screen art for Prescription Refills,https://cdn.contentful.example/portal/asset_7014.svg,image/svg+xml,portal_asset_7014.svg,5717
asset_7015,2025-11-01T00:00:00,2026-09-20T10:08:00,1,Portal illustration 15,Screen art for Results Viewing,https://cdn.contentful.example/portal/asset_7015.svg,image/svg+xml,portal_asset_7015.svg,21173
asset_7016,2025-11-01T00:00:00,2026-09-04T10:17:00,5,Portal illustration 16,Screen art for Bill Pay,https://cdn.contentful.example/portal/asset_7016.svg,image/svg+xml,portal_asset_7016.svg,77245
