item_id,column_id,text,value
itm-fresh-week-1,col-status,Working,"{""index"":1}"
itm-fresh-week-1,col-enrolled,91,"{""value"":91}"
itm-fresh-week-1,col-updated,2026-09-23,"{""date"":""2026-09-23""}"
itm-fresh-week-2,col-status,Working,"{""index"":1}"
itm-fresh-week-2,col-enrolled,68,"{""value"":68}"
itm-fresh-week-2,col-updated,2026-09-23,"{""date"":""2026-09-23""}"
itm-fresh-week-3,col-status,Working,"{""index"":1}"
itm-fresh-week-3,col-enrolled,82,"{""value"":82}"
itm-fresh-week-3,col-updated,2026-09-23,"{""date"":""2026-09-23""}"
itm-fresh-week-4,col-status,Working,"{""index"":1}"
itm-fresh-week-4,col-enrolled,51,"{""value"":51}"
itm-fresh-week-4,col-updated,2026-09-23,"{""date"":""2026-09-23""}"
itm-fresh-week-5,col-status,Working,"{""index"":1}"
itm-fresh-week-5,col-enrolled,34,"{""value"":34}"
itm-fresh-week-5,col-updated,2026-09-23,"{""date"":""2026-09-23""}"
itm-fresh-week-6,col-status,Working,"{""index"":1}"
itm-fresh-week-6,col-enrolled,21,"{""value"":21}"
itm-fresh-week-6,col-updated,2026-09-23,"{""date"":""2026-09-23""}"
itm-ref-006,col-status,Stuck,"{""index"":1}"
itm-ref-007,col-status,Working,"{""index"":1}"
itm-ref-008,col-status,Done,"{""index"":1}"
itm-ref-009,col-status,Done,"{""index"":1}"
itm-ref-010,col-status,Working,"{""index"":1}"
itm-ref-011,col-status,Working,"{""index"":1}"
itm-ref-012,col-status,Done,"{""index"":1}"
itm-ref-013,col-status,Done,"{""index"":1}"
itm-ref-014,col-status,Stuck,"{""index"":1}"
itm-ref-015,col-status,Working,"{""index"":1}"
itm-ref-016,col-status,Done,"{""index"":1}"
itm-ref-017,col-status,Working,"{""index"":1}"
itm-ref-018,col-status,Stuck,"{""index"":1}"
itm-ref-019,col-status,Working,"{""index"":1}"
itm-ref-020,col-status,Done,"{""index"":1}"
itm-ref-021,col-status,Stuck,"{""index"":1}"
itm-ref-022,col-status,Stuck,"{""index"":1}"
itm-ref-023,col-status,Stuck,"{""index"":1}"
itm-ref-024,col-status,Stuck,"{""index"":1}"
itm-ref-025,col-status,Working,"{""index"":1}"
itm-ref-026,col-status,Done,"{""index"":1}"
itm-ref-027,col-status,Working,"{""index"":1}"
itm-ref-028,col-status,Done,"{""index"":1}"
itm-ref-029,col-status,Working,"{""index"":1}"
itm-ref-030,col-status,Stuck,"{""index"":1}"
itm-ref-031,col-status,Working,"{""index"":1}"
itm-ref-032,col-status,Working,"{""index"":1}"
itm-ref-033,col-status,Stuck,"{""index"":1}"
itm-ref-034,col-status,Stuck,"{""index"":1}"
itm-ref-035,col-status,Working,"{""index"":1}"
itm-ref-036,col-status,Stuck,"{""index"":1}"
itm-ref-037,col-status,Stuck,"{""index"":1}"
itm-ref-038,col-status,Done,"{""index"":1}"
itm-ref-039,col-status,Stuck,"{""index"":1}"
itm-ref-040,col-status,Working,"{""index"":1}"
itm-ref-041,col-status,Done,"{""index"":1}"
itm-ref-042,col-status,Stuck,"{""index"":1}"
itm-ref-043,col-status,Stuck,"{""index"":1}"
itm-ref-044,col-status,Working,"{""index"":1}"
itm-ref-045,col-status,Done,"{""index"":1}"
itm-ref-046,col-status,Working,"{""index"":1}"
itm-ref-047,col-status,Working,"{""index"":1}"
itm-ref-048,col-status,Done,"{""index"":1}"
itm-ref-049,col-status,Working,"{""index"":1}"
itm-ref-050,col-status,Working,"{""index"":1}"
itm-ref-051,col-status,Working,"{""index"":1}"
itm-ref-052,col-status,Working,"{""index"":1}"
itm-ref-053,col-status,Stuck,"{""index"":1}"
itm-ref-054,col-status,Done,"{""index"":1}"
itm-ref-055,col-status,Working,"{""index"":1}"
itm-ref-056,col-status,Stuck,"{""index"":1}"
itm-ref-057,col-status,Done,"{""index"":1}"
itm-ref-058,col-status,Done,"{""index"":1}"
itm-ref-059,col-status,Working,"{""index"":1}"
itm-ref-060,col-status,Done,"{""index"":1}"
itm-ref-061,col-status,Working,"{""index"":1}"
itm-ref-062,col-status,Done,"{""index"":1}"
itm-ref-063,col-status,Stuck,"{""index"":1}"
itm-ref-064,col-status,Working,"{""index"":1}"
itm-ref-065,col-status,Working,"{""index"":1}"
itm-ref-066,col-status,Working,"{""index"":1}"
itm-ref-067,col-status,Done,"{""index"":1}"
itm-ref-068,col-status,Working,"{""index"":1}"
itm-ref-069,col-status,Stuck,"{""index"":1}"
itm-ref-070,col-status,Stuck,"{""index"":1}"
itm-ref-071,col-status,Stuck,"{""index"":1}"
itm-ref-072,col-status,Stuck,"{""index"":1}"
itm-ref-073,col-status,Stuck,"{""index"":1}"
itm-ref-074,col-status,Working,"{""index"":1}"
itm-ref-075,col-status,Working,"{""index"":1}"
itm-ref-076,col-status,Done,"{""index"":1}"
itm-ref-077,col-status,Done,"{""index"":1}"
itm-ref-078,col-status,Working,"{""index"":1}"
itm-ref-079,col-status,Stuck,"{""index"":1}"
itm-ref-080,col-status,Stuck,"{""index"":1}"
itm-ref-081,col-status,Done,"{""index"":1}"
itm-ref-082,col-status,Done,"{""index"":1}"
itm-ref-083,col-status,Stuck,"{""index"":1}"
itm-ref-084,col-status,Working,"{""index"":1}"
itm-ref-085,col-status,Done,"{""index"":1}"
itm-ref-086,col-status,Stuck,"{""index"":1}"
itm-ref-087,col-status,Stuck,"{""index"":1}"
itm-ref-088,col-status,Done,"{""index"":1}"
itm-ref-089,col-status,Done,"{""index"":1}"
itm-ref-090,col-status,Done,"{""index"":1}"
itm-ref-091,col-status,Done,"{""index"":1}"
itm-ref-092,col-status,Stuck,"{""index"":1}"
itm-ref-093,col-status,Working,"{""index"":1}"
itm-ref-094,col-status,Done,"{""index"":1}"
itm-ref-095,col-status,Done,"{""index"":1}"
itm-ref-096,col-status,Working,"{""index"":1}"
itm-ref-097,col-status,Working,"{""index"":1}"
itm-ref-098,col-status,Working,"{""index"":1}"
