column_id,board_id,title,type,position
col-status,brd-partner-coord,Site Owner,color,1
col-enrolled,brd-partner-coord,Enrollment Count,numeric,2
col-updated,brd-partner-coord,Data Verified,date,3
col-ref-000,brd-pool,Notes,text,4
col-ref-001,brd-woodwork,Follow-up Date,text,5
col-ref-002,brd-irb,Assignee,color,1
col-ref-003,brd-partner-coord,Priority,color,7
col-ref-004,brd-woodwork,Status,text,5
col-ref-005,brd-partner-coord,Weekly Progress,numeric,2
col-ref-006,brd-irb,Cumulative,text,6
col-ref-007,brd-irb,Site Contact,date,1
col-ref-008,brd-partner-coord,Amendment Date,date,8
col-ref-009,brd-partner-coord,Sign-off,text,3
col-ref-010,brd-enrollment,Site Visit Date,color,10
col-ref-011,brd-partner-coord,Retention Rate,date,2
col-ref-012,brd-woodwork,Site Owner,numeric,8
col-ref-013,brd-pool,Enrollment Count,numeric,3
col-ref-014,brd-enrollment,Data Verified,color,3
col-ref-015,brd-woodwork,Notes,date,4
col-ref-016,brd-woodwork,Follow-up Date,date,6
col-ref-017,brd-enrollment,Assignee,text,4
col-ref-018,brd-partner-coord,Priority,date,2
col-ref-019,brd-woodwork,Status,date,10
col-ref-020,brd-irb,Weekly Progress,color,9
col-ref-021,brd-woodwork,Cumulative,color,2
col-ref-022,brd-partner-coord,Site Contact,color,1
col-ref-023,brd-woodwork,Amendment Date,color,3
col-ref-024,brd-enrollment,Sign-off,text,1
col-ref-025,brd-pool,Site Visit Date,date,3
col-ref-026,brd-enrollment,Retention Rate,color,7
col-ref-027,brd-irb,Site Owner,numeric,8
col-ref-028,brd-pool,Enrollment Count,color,2
col-ref-029,brd-irb,Data Verified,numeric,4
col-ref-030,brd-woodwork,Notes,numeric,9
col-ref-031,brd-pool,Follow-up Date,date,7
col-ref-032,brd-woodwork,Assignee,date,4
col-ref-033,brd-pool,Priority,date,3
col-ref-034,brd-partner-coord,Status,color,6
col-ref-035,brd-enrollment,Weekly Progress,numeric,2
col-ref-036,brd-pool,Cumulative,color,3
col-ref-037,brd-woodwork,Site Contact,color,6
col-ref-038,brd-woodwork,Amendment Date,color,1
col-ref-039,brd-pool,Sign-off,date,10
col-ref-040,brd-woodwork,Site Visit Date,text,4
col-ref-041,brd-pool,Retention Rate,text,3
col-ref-042,brd-pool,Site Owner,numeric,3
col-ref-043,brd-irb,Enrollment Count,color,5
col-ref-044,brd-pool,Data Verified,color,1
col-ref-045,brd-enrollment,Notes,color,4
col-ref-046,brd-irb,Follow-up Date,date,6
col-ref-047,brd-irb,Assignee,text,4
col-ref-048,brd-woodwork,Priority,date,9
col-ref-049,brd-enrollment,Status,text,3
col-ref-050,brd-pool,Weekly Progress,text,8
col-ref-051,brd-partner-coord,Cumulative,text,10
col-ref-052,brd-irb,Site Contact,color,8
col-ref-053,brd-enrollment,Amendment Date,numeric,3
col-ref-054,brd-pool,Sign-off,date,5
col-ref-055,brd-woodwork,Site Visit Date,text,1
col-ref-056,brd-partner-coord,Retention Rate,color,1
col-ref-057,brd-irb,Site Owner,color,1
col-ref-058,brd-irb,Enrollment Count,date,7
col-ref-059,brd-enrollment,Data Verified,numeric,9
col-ref-060,brd-woodwork,Notes,text,1
col-ref-061,brd-irb,Follow-up Date,numeric,5
col-ref-062,brd-partner-coord,Assignee,color,9
col-ref-063,brd-enrollment,Priority,numeric,8
col-ref-064,brd-partner-coord,Status,text,8
col-ref-065,brd-partner-coord,Weekly Progress,text,1
col-ref-066,brd-woodwork,Cumulative,numeric,10
col-ref-067,brd-enrollment,Site Contact,date,4
col-ref-068,brd-enrollment,Amendment Date,text,2
col-ref-069,brd-irb,Sign-off,color,7
col-ref-070,brd-partner-coord,Site Visit Date,numeric,2
col-ref-071,brd-pool,Retention Rate,numeric,9
col-ref-072,brd-partner-coord,Site Owner,date,6
col-ref-073,brd-woodwork,Enrollment Count,numeric,7
col-ref-074,brd-enrollment,Data Verified,text,7
col-ref-075,brd-partner-coord,Notes,numeric,9
col-ref-076,brd-irb,Follow-up Date,color,4
col-ref-077,brd-enrollment,Assignee,color,6
col-ref-078,brd-enrollment,Priority,date,8
col-ref-079,brd-woodwork,Status,date,8
col-ref-080,brd-irb,Weekly Progress,color,9
col-ref-081,brd-partner-coord,Cumulative,numeric,10
col-ref-082,brd-woodwork,Site Contact,numeric,8
col-ref-083,brd-irb,Amendment Date,text,9
col-ref-084,brd-partner-coord,Sign-off,color,2
col-ref-085,brd-pool,Site Visit Date,color,3
col-ref-086,brd-pool,Retention Rate,numeric,6
col-ref-087,brd-woodwork,Site Owner,color,9
col-ref-088,brd-pool,Enrollment Count,date,10
col-ref-089,brd-irb,Data Verified,color,7
col-ref-090,brd-enrollment,Notes,color,1
col-ref-091,brd-enrollment,Follow-up Date,color,10
col-ref-092,brd-enrollment,Assignee,date,5
col-ref-093,brd-pool,Priority,date,2
col-ref-094,brd-pool,Status,text,8
col-ref-095,brd-enrollment,Weekly Progress,color,4
col-ref-096,brd-pool,Cumulative,numeric,1
col-ref-097,brd-irb,Site Contact,numeric,1
col-ref-098,brd-irb,Amendment Date,color,8
col-ref-099,brd-pool,Sign-off,date,4
col-ref-100,brd-irb,Site Visit Date,color,7
col-ref-101,brd-enrollment,Retention Rate,date,2
col-ref-102,brd-irb,Site Owner,color,7
col-ref-103,brd-partner-coord,Enrollment Count,color,9
col-ref-104,brd-irb,Data Verified,text,6
col-ref-105,brd-irb,Notes,numeric,8
col-ref-106,brd-irb,Follow-up Date,date,1
