group_id,board_id,title,color,position
grp-rm-01,brd-partner-coord,TAVR Study Sites,#e91e63,1
grp-rm-02,brd-partner-coord,Riverside Sites,#f06292,2
grp-sm-01,brd-partner-coord,Summit Sites,#2196f3,3
grp-sm-02,brd-partner-coord,St Johns Sites,#42a5f5,4
grp-sj-01,brd-partner-coord,Enrollment Metrics,#4caf50,5
grp-sj-02,brd-partner-coord,IRB Renewal,#66bb6a,6
grp-ref-000,brd-partner-coord,Coordinator Team,#607d8b,5
grp-ref-001,brd-partner-coord,Data Team,#607d8b,4
grp-ref-002,brd-irb,Manuscript Sprint,#607d8b,5
grp-ref-003,brd-enrollment,Conference Prep,#607d8b,12
grp-ref-004,brd-partner-coord,Grant Milestones,#607d8b,13
grp-ref-005,brd-enrollment,Fellowship,#607d8b,6
grp-ref-006,brd-partner-coord,TAVR Study Sites,#607d8b,11
grp-ref-007,brd-pool,Riverside Sites,#607d8b,6
grp-ref-008,brd-pool,Summit Sites,#607d8b,16
grp-ref-009,brd-partner-coord,St Johns Sites,#607d8b,6
grp-ref-010,brd-partner-coord,Enrollment Metrics,#607d8b,20
grp-ref-011,brd-pool,IRB Renewal,#607d8b,1
grp-ref-012,brd-partner-coord,Coordinator Team,#607d8b,15
grp-ref-013,brd-partner-coord,Data Team,#607d8b,12
grp-ref-014,brd-pool,Manuscript Sprint,#607d8b,18
grp-ref-015,brd-pool,Conference Prep,#607d8b,3
grp-ref-016,brd-irb,Grant Milestones,#607d8b,17
grp-ref-017,brd-woodwork,Fellowship,#607d8b,10
grp-ref-018,brd-partner-coord,TAVR Study Sites,#607d8b,17
grp-ref-019,brd-partner-coord,Riverside Sites,#607d8b,2
grp-ref-020,brd-woodwork,Summit Sites,#607d8b,5
grp-ref-021,brd-woodwork,St Johns Sites,#607d8b,6
grp-ref-022,brd-enrollment,Enrollment Metrics,#607d8b,18
grp-ref-023,brd-enrollment,IRB Renewal,#607d8b,18
grp-ref-024,brd-irb,Coordinator Team,#607d8b,4
grp-ref-025,brd-enrollment,Data Team,#607d8b,19
grp-ref-026,brd-irb,Manuscript Sprint,#607d8b,9
grp-ref-027,brd-enrollment,Conference Prep,#607d8b,10
grp-ref-028,brd-enrollment,Grant Milestones,#607d8b,14
grp-ref-029,brd-irb,Fellowship,#607d8b,2
grp-ref-030,brd-pool,TAVR Study Sites,#607d8b,14
grp-ref-031,brd-irb,Riverside Sites,#607d8b,2
