"batch_id","sku","planned_volume_bbl","tank_assignment","grain_lb_required","mash_date_planned","fermentation_days","conditioning_weeks","target_bottling_date","status","notes"
"BBC-2027-001","Stoneridge Saison","30","FV-1","720","2026-11-02","12","4","2026-12-21","Planned","Opening week. Recipe locked. Caldwell Heritage Two-Row base (specialty malting barley contracted from Caldwell Family Farm — contract CFF-BBC-2027-GRAIN, 64,000 lb committed, $0.95/lb contract rate, $19,200 deposit paid 2026-06-12, open balance ~$41,600 on receipt). Specialty grain adjuncts: Munich malt from Riverstone Malting (PO RM-2026-118, 1,200 lb committed); crystal 60 from Riverstone (PO RM-2026-122, 800 lb); chocolate malt from Crowsfeet Mill (PO CFM-2026-44, 600 lb)."
"BBC-2027-002","Stoneridge Saison","30","FV-6","720","2026-11-03","12","4","2026-12-22","Planned","Same recipe as 001."
"BBC-2027-003","Stoneridge Saison","30","FV-7","720","2026-11-03","12","4","2026-12-22","Planned","Same recipe."
"BBC-2027-004","Stoneridge Saison","30","FV-8","720","2026-11-04","12","4","2026-12-23","Planned","Same recipe."
"BBC-2027-005","Stoneridge Saison","30","FV-10","720","2026-11-04","12","4","2026-12-23","Planned","Same recipe."
"BBC-2027-006","Stoneridge Saison","75","FV-5","1800","2026-11-09","12","4","2026-12-28","Planned — depends on Phase 2 fermentation room cleared","FV-5 commissioning pending. If Phase 2 slips, split across FV-1/FV-2 over two days."
"BBC-2027-007","Stoneridge Saison","60","FV-3","1440","2026-11-16","12","4","2027-01-04","Planned",""
"BBC-2027-008","Stoneridge Saison","60","FV-4","1440","2026-11-16","12","4","2027-01-04","Planned",""
"BBC-2027-009","Stoneridge Saison","75","FV-9","1800","2026-11-23","12","4","2027-01-11","Planned — depends on Phase 2 fermentation room cleared","FV-9 commissioning pending."
"BBC-2027-010","Stoneridge Saison","90","FV-6","2160","2026-11-30","12","4","2027-01-18","Planned","Saison rotation second cycle."
"BBC-2027-011","Stoneridge Saison","60","FV-7","1440","2026-12-07","12","4","2027-01-25","Planned",""
"BBC-2027-012","Stoneridge Saison","75","FV-12","1800","2026-12-14","12","4","2027-02-01","Planned — depends on Phase 2 fermentation room cleared","FV-12 commissioning pending."
"BBC-2027-013","Stoneridge Saison","60","FV-8","1440","2026-12-21","12","4","2027-02-08","Planned",""
"BBC-2027-014","Stoneridge Saison","90","FV-10","2160","2027-01-04","12","4","2027-02-22","Planned",""
"BBC-2027-015","Stoneridge Saison","105","FV-5,FV-9","2520","2027-01-18","12","4","2027-03-08","Planned — depends on Phase 2 fermentation room cleared","Split across FV-5 and FV-9. Phase 2 must be clear."
"BBC-2027-016","Stoneridge Saison","120","FV-3,FV-4","2880","2027-02-08","12","4","2027-03-29","Planned","Final Saison block before season close."
"BBC-2027-017","Appalachian Pale","60","FV-1,FV-2","1500","2026-11-09","10","3","2026-12-21","Planned","Opening Pale block. Sept pre-mill grain already on floor."
"BBC-2027-018","Appalachian Pale","60","FV-3","1500","2026-11-23","10","3","2027-01-04","Planned",""
"BBC-2027-019","Appalachian Pale","60","FV-1","1500","2026-12-07","10","3","2027-01-18","Planned",""
"BBC-2027-020","Appalachian Pale","60","FV-2","1500","2026-12-21","10","3","2027-02-01","Planned",""
"BBC-2027-021","Appalachian Pale","60","FV-3","1500","2027-01-11","10","3","2027-02-22","Planned",""
"BBC-2027-022","Appalachian Pale","60","FV-4","1500","2027-01-25","10","3","2027-03-08","Planned",""
"BBC-2027-023","Appalachian Pale","60","FV-1","1500","2027-02-15","10","3","2027-03-29","Planned",""
"BBC-2027-024","Appalachian Pale","60","FV-2","1500","2027-03-01","10","3","2027-04-12","Planned",""
"BBC-2027-025","Appalachian Pale","60","FV-4","1500","2027-03-15","10","3","2027-04-26","Planned","Final Pale block."
"BBC-2027-026","Black Hollow Imperial Stout","60","FV-11","1950","2026-11-06","21","12","2027-04-25","Planned","Knockout to BBL-A for bourbon barrel ageing."
"BBC-2027-027","Black Hollow Imperial Stout","60","FV-11","2100","2026-12-04","21","12","2027-05-23","Planned","Knockout to BBL-B for rye barrel ageing."
"BBC-2027-028","Black Hollow Imperial Stout","60","FV-11","2100","2027-01-01","21","12","2027-06-20","Planned",""
"BBC-2027-029","Black Hollow Imperial Stout","60","FV-11","2100","2027-01-29","21","12","2027-07-18","Planned",""
"BBC-2027-030","Black Hollow Imperial Stout","60","FV-11","2100","2027-02-26","21","12","2027-08-15","Planned",""
"BBC-2027-031","Black Hollow Imperial Stout","60","FV-11","2100","2027-03-19","21","12","2027-09-04","Planned","Final Black Hollow brewing block. Long cellar."
"BBC-2027-032","Father's Reserve","50","FV-6,FV-7","1500","2026-12-14","18","10","2027-04-26","Planned","Farmhouse base. Knockout to BBL-C/BBL-D for finishing."
"BBC-2027-033","Father's Reserve","50","FV-6,FV-7","1500","2027-01-11","18","10","2027-05-24","Planned",""
"BBC-2027-034","Father's Reserve","50","FV-6,FV-7","1500","2027-02-08","18","10","2027-06-21","Planned",""
"BBC-2027-035","Father's Reserve","50","FV-6,FV-7","1500","2027-03-08","18","10","2027-07-19","Planned","Final Reserve block."
"BBC-2027-036","Mountain Spring Lager","60","FV-11,FV-10","960","2026-11-12","28","6","2027-02-08","Planned","Cold pitch, slow fermentation."
"BBC-2027-037","Mountain Spring Lager","60","FV-10","960","2026-12-10","28","6","2027-03-08","Planned",""
"BBC-2027-038","Mountain Spring Lager","80","FV-10","1280","2027-01-07","28","6","2027-04-05","Planned",""
"BBC-2027-039","Mountain Spring Lager","60","FV-10","960","2027-02-04","28","6","2027-05-03","Planned",""
"BBC-2027-040","Mountain Spring Lager","60","FV-10","960","2027-03-04","28","6","2027-05-31","Planned",""
"BBC-2027-041","Experimental Single-Origin Imperial Stout","35","FV-11,FV-3","1225","2026-11-30","21","18","2027-08-09","Planned","Single-origin Caldwell back-forty barley. Knockout to BBL-C for long ageing."
"BBC-2027-042","Experimental Single-Origin Imperial Stout","35","FV-11,FV-4","1225","2027-01-25","21","18","2027-10-04","Planned","Same recipe. Knockout to BBL-D."
