payout_id,created,arrival_date,amount,currency,status,description
po_stripe_2026090100,2026-09-01,2026-09-02,475.15,USD,paid,South Bay Surf Academy - Lesson 1
po_1P3008QXaS,2026-09-01,2026-09-01,58.96,usd,paid,Dawn Patrol Class - lesson block payout
po_stripe_2026090101,2026-09-02,2026-09-03,388.76,USD,paid,South Bay Surf Academy - Lesson 2
po_1P3004QXaS,2026-09-02,2026-09-02,66.87,usd,paid,Group Lesson - lesson block payout
po_1P3027QXaS,2026-09-02,2026-09-02,244.07,usd,paid,Intro Package - lesson block payout
po_stripe_2026090102,2026-09-03,2026-09-04,734.32,USD,paid,South Bay Surf Academy - Lesson 3
po_1P3028QXaS,2026-09-03,2026-09-03,34.13,usd,paid,Board Rental - lesson block payout
po_stripe_2026090103,2026-09-04,2026-09-05,259.17,USD,paid,South Bay Surf Academy - Lesson 4
po_stripe_2026090104,2026-09-05,2026-09-06,971.89,USD,paid,South Bay Surf Academy - Lesson 5
po_1P3032QXaS,2026-09-05,2026-09-05,32.45,usd,paid,Board Rental - lesson block payout
po_stripe_2026090105,2026-09-06,2026-09-07,518.34,USD,paid,South Bay Surf Academy - Lesson 6
po_1P3023QXaS,2026-09-06,2026-09-06,26.63,usd,paid,Board Rental - lesson block payout
po_stripe_2026090106,2026-09-07,2026-09-08,388.76,USD,paid,South Bay Surf Academy - Lesson 7
po_stripe_2026090107,2026-09-08,2026-09-09,475.15,USD,paid,South Bay Surf Academy - Lesson 8
po_1P3005QXaS,2026-09-08,2026-09-08,76.22,usd,paid,Group Lesson - lesson block payout
po_1P3017QXaS,2026-09-08,2026-09-08,24.85,usd,paid,Wetsuit Rental - lesson block payout
po_stripe_2026090108,2026-09-09,2026-09-10,734.32,USD,paid,South Bay Surf Academy - Lesson 9
po_1P3001QXaS,2026-09-09,2026-09-09,27.23,usd,paid,Board Rental - lesson block payout
po_stripe_2026090109,2026-09-10,2026-09-11,259.17,USD,paid,South Bay Surf Academy - Lesson 10
