receipt_id,date,location,item,amount,instructor
SQ-2026-K-9000,2026-09-01,Rat Beach kiosk,Drop-in lesson,80.0,Lisa Martinez
SQ-2026-K-9001,2026-09-02,Rat Beach kiosk,Board rental,45.0,Danny Cruz
SQ-2026-K-9002,2026-09-03,Rat Beach kiosk,Wetsuit rental,25.0,Lisa Martinez
SQ-2026-K-9003,2026-09-04,Rat Beach kiosk,Lesson package,240.0,Danny Cruz
SQ-2026-K-9004,2026-09-05,Rat Beach kiosk,Drop-in lesson,80.0,Lisa Martinez
SQ-2026-K-9005,2026-09-06,Rat Beach kiosk,Board rental,45.0,Danny Cruz
SQ-2026-K-9006,2026-09-07,Rat Beach kiosk,Wetsuit rental,25.0,Lisa Martinez
SQ-2026-K-9007,2026-09-08,Rat Beach kiosk,Lesson package,240.0,Danny Cruz
SQ-2026-K-9008,2026-09-09,Rat Beach kiosk,Drop-in lesson,80.0,Lisa Martinez
SQ-2026-K-9009,2026-09-10,Rat Beach kiosk,Board rental,45.0,Danny Cruz
SQ-2026-K-9010,2026-09-11,Rat Beach kiosk,Wetsuit rental,25.0,Lisa Martinez
SQ-2026-K-9011,2026-09-12,Rat Beach kiosk,Lesson package,240.0,Danny Cruz
SQ-2026-K-9012,2026-09-13,Rat Beach kiosk,Drop-in lesson,80.0,Lisa Martinez
SQ-2026-K-9013,2026-09-14,Rat Beach kiosk,Board rental,45.0,Danny Cruz
SQ-2026-K-9014,2026-09-15,Rat Beach kiosk,Wetsuit rental,25.0,Lisa Martinez
SQ-2026-K-9015,2026-09-16,Rat Beach kiosk,Lesson package,240.0,Danny Cruz
SQ-2026-K-9016,2026-09-17,Rat Beach kiosk,Drop-in lesson,80.0,Lisa Martinez
SQ-2026-K-9017,2026-09-18,Rat Beach kiosk,Board rental,45.0,Danny Cruz
SQ-2026-K-9018,2026-09-19,Rat Beach kiosk,Wetsuit rental,25.0,Lisa Martinez
SQ-2026-K-9019,2026-09-20,Rat Beach kiosk,Lesson package,240.0,Danny Cruz
SQ-2026-K-9020,2026-10-01,Rat Beach kiosk,Drop-in lesson,80.0,Lisa Martinez
SQ-2026-K-9021,2026-10-02,Rat Beach kiosk,Board rental,45.0,Danny Cruz
SQ-2026-K-9022,2026-10-03,Rat Beach kiosk,Wetsuit rental,25.0,Lisa Martinez
SQ-2026-K-9023,2026-10-04,Rat Beach kiosk,Lesson package,240.0,Danny Cruz
SQ-2026-K-9024,2026-10-05,Rat Beach kiosk,Drop-in lesson,80.0,Lisa Martinez
SQ-2026-K-9025,2026-10-06,Rat Beach kiosk,Board rental,45.0,Danny Cruz
SQ-2026-K-9026,2026-10-07,Rat Beach kiosk,Wetsuit rental,25.0,Lisa Martinez
SQ-2026-K-9027,2026-10-08,Rat Beach kiosk,Lesson package,240.0,Danny Cruz
SQ-2026-K-9028,2026-10-09,Rat Beach kiosk,Drop-in lesson,80.0,Lisa Martinez
SQ-2026-K-9029,2026-10-10,Rat Beach kiosk,Board rental,45.0,Danny Cruz
SQ-2026-K-9030,2026-10-11,Rat Beach kiosk,Wetsuit rental,25.0,Lisa Martinez
SQ-2026-K-9031,2026-10-12,Rat Beach kiosk,Lesson package,240.0,Danny Cruz
SQ-2026-K-9032,2026-10-13,Rat Beach kiosk,Drop-in lesson,80.0,Lisa Martinez
SQ-2026-K-9033,2026-10-14,Rat Beach kiosk,Board rental,45.0,Danny Cruz
SQ-2026-K-9034,2026-10-15,Rat Beach kiosk,Wetsuit rental,25.0,Lisa Martinez
SQ-2026-K-9035,2026-10-16,Rat Beach kiosk,Lesson package,240.0,Danny Cruz
SQ-2026-K-9036,2026-10-17,Rat Beach kiosk,Drop-in lesson,80.0,Lisa Martinez
SQ-2026-K-9037,2026-10-18,Rat Beach kiosk,Board rental,45.0,Danny Cruz
