Item	Category	Unit	Opening Count	Received	Total Available	Used/Sold	Closing Count	Variance	Notes
Lamb shoulder (bone-in)	Proteins	lb	38	200	238	196	42	+4	Good. Slightly above order; no waste issue.
Chicken breast	Proteins	lb	22	160	182	168	14	-8	Used more than expected; busy Saturday lunch.
Gyros meat (beef/lamb blend, frozen)	Proteins	lb	41	80	121	118	3	-38	Very high gyros week. Reorder immediately.
Branzino (whole)	Proteins	lb	14	40	54	44	10	0	On target.
Octopus (frozen)	Proteins	lb	28	60	88	82	6	-22	High demand appetizer. Fine.
Feta cheese (block)	Dairy	lb	18	80	98	91	7	-11	Fine. No issues.
Kefalotyri (saganaki)	Dairy	lb	12	20	32	28	4	0	Adequate.
Halloumi	Dairy	lb	6	18	24	20	4	0	Fine.
Eggs (large)	Dairy	dozen	8	32	40	36	4	0	Normal usage.
Heavy cream	Dairy	qt	4	16	20	17	3	0	Fine.
Eggplant	Produce	lb	44	140	184	176	8	-36	High moussaka week. Need more Thursday.
Tomatoes (roma)	Produce	lb	31	160	191	182	9	-22	Fine.
Cucumber	Produce	lb	22	80	102	98	4	-18	Fine. Horiatiki demand up.
Red onion	Produce	lb	18	60	78	72	6	0	Fine.
Kalamata olives	Produce	lb	12	30	42	38	4	0	Fine.
Zucchini	Produce	lb	16	60	76	68	8	0	Fine.
Baby spinach	Produce	lb	11	50	61	58	3	0	Fine.
Lemon (fresh)	Produce	each	82	300	382	364	18	-64	Good usage. No waste.
Garlic (head)	Produce	lb	8	32	40	37	3	-5	Fine.
Flat-leaf parsley	Produce	bunch	14	40	54	50	4	-10	Fine.
Extra virgin olive oil (premium)	Oils	liter	9	40	49	44	5	0	Fine.
Cooking olive oil	Oils	gallon	4	8	12	11	1	0	Normal.
White wine vinegar	Oils	gallon	2	4	6	5	1	0	Fine.
Orzo pasta	Dry Goods	lb	24	60	84	78	6	0	Fine.
Long-grain white rice	Dry Goods	lb	38	100	138	128	10	0	Fine.
Pita bread (frozen)	Dry Goods	each	124	400	524	498	26	-98	Good throughput. High pita week.
Phyllo dough (sheets)	Dry Goods	pack	8	28	36	32	4	0	Fine.
Honey (Greek thyme)	Dry Goods	jar (500g)	4	10	14	12	2	0	Fine.
Walnuts (shelled)	Dry Goods	lb	6	18	24	22	2	0	Fine.
Breadcrumbs	Dry Goods	lb	14	30	44	40	4	0	Fine.
Greek oregano (dried)	Spices	lb	2	4	6	5	1	0	Fine.
Cinnamon (ground)	Spices	lb	1	4	5	4	1	0	Fine.
Bay leaves	Spices	oz	4	8	12	10	2	0	Fine.
Ouzo (cooking grade)	Spirits - Cooking	bottle	3	6	9	8	1	0	Fine.
White wine (cooking)	Spirits - Cooking	liter	8	20	28	24	4	0	Fine.
Mythos Beer (bottles)	Beverages	case (24)	3	18	21	19	2	0	Normal.
Fix Hellas Beer (bottles)	Beverages	case (24)	2	12	14	11	3	+1	Slight overstock. Fine.
Assyrtiko (bottles)	Beverages - Wine	case (12)	5	16	21	18	3	0	Good. Snowbird season strong.
Agiorgitiko (bottles)	Beverages - Wine	case (12)	3	12	15	12	3	0	Fine.
Retsina (bottles)	Beverages - Wine	case (12)	2	6	8	6	2	0	Fine.
Ouzo (service, retail)	Beverages - Spirits	bottle	8	12	20	18	2	0	Fine.
Sparkling water (500ml)	Beverages - Non-Alc	each	48	120	168	152	16	-32	Good.
Still water (500ml)	Beverages - Non-Alc	each	62	160	222	204	18	-40	Fine.
Soft drink (cans)	Beverages - Non-Alc	each	88	200	288	274	14	-74	Good.
Greek coffee (ground, cans)	Beverages - Non-Alc	lb	4	12	16	14	2	0	Fine.
Cleaning Supplies (surface spray)	Cleaning	bottle	6	12	18	16	2	0	Fine.
Cleaning Supplies (dish soap)	Cleaning	gallon	3	8	11	10	1	0	Fine.
Gloves (vinyl, box)	Supplies	box (100)	4	12	16	14	2	0	Fine.
Paper towels (rolls)	Supplies	roll	28	60	88	82	6	0	Note: dispenser refill logged for Health Dept compliance.
Plastic wrap (rolls)	Supplies	roll	6	12	18	16	2	0	Fine.
Location: Mykonos Taverna (Original), 721 Dodecanese Blvd, Tarpon Springs FL 34689	Count Date: January 31, 2026	Conducted by: George Hatzis (Head Chef) and Andreas Garcia (GM)	Reviewed by: Aaron Garcia
