Ingredient	Category	Vendor	Unit	Unit Cost ($)	Units Received	Units Used	Waste Units	Total Spent ($)	Revenue Attributed ($)	Cost %
Lamb shoulder (bone-in)	Protein - Lamb	Parthenon Wholesale Meats	lb	6.80	280	264	16	1904.00	7228.00	26.3%
Ground lamb	Protein - Lamb	Parthenon Wholesale Meats	lb	7.20	120	112	8	864.00	2688.00	32.1%
Lamb chops (loin)	Protein - Lamb	Parthenon Wholesale Meats	lb	14.50	48	44	4	696.00	1920.00	36.3%
Chicken breast (boneless)	Protein - Chicken	Sysco Tampa	lb	4.20	180	174	6	756.00	3654.00	20.7%
Branzino (whole)	Protein - Fish	Tampa Bay Seafood	lb	9.80	60	56	4	588.00	1904.00	30.9%
Octopus (whole, frozen)	Protein - Seafood	Tampa Bay Seafood	lb	8.40	90	84	6	756.00	2856.00	26.5%
Shrimp (16/20, peeled)	Protein - Seafood	Tampa Bay Seafood	lb	11.20	40	36	4	448.00	1296.00	34.6%
Feta cheese (block)	Dairy	Greek Imports NY	lb	7.50	120	116	4	900.00	3132.00	28.7%
Halloumi	Dairy	Greek Imports NY	lb	9.20	30	28	2	276.00	756.00	36.5%
Kefalotyri (saganaki)	Dairy	Greek Imports NY	lb	10.40	24	22	2	249.60	594.00	42.0%
Heavy cream	Dairy	Sysco Tampa	qt	3.80	24	22	2	91.20	-	-
Eggs (large)	Dairy	Sysco Tampa	dozen	4.40	48	46	2	211.20	-	-
Eggplant	Produce	Freshpoint FL	lb	1.80	160	152	8	288.00	3344.00	8.6%
Zucchini	Produce	Freshpoint FL	lb	1.60	80	76	4	128.00	-	-
Tomatoes (roma)	Produce	Freshpoint FL	lb	1.40	200	192	8	280.00	-	-
Cucumber	Produce	Freshpoint FL	lb	1.20	100	96	4	120.00	-	-
Red onion	Produce	Freshpoint FL	lb	0.90	80	78	2	72.00	-	-
Kalamata olives (bulk)	Produce	Greek Imports NY	lb	6.80	40	38	2	272.00	-	-
Baby spinach	Produce	Freshpoint FL	lb	2.80	60	58	2	168.00	-	-
Flat-leaf parsley	Produce	Freshpoint FL	bunch	1.40	60	58	2	84.00	-	-
Lemon (fresh)	Produce	Freshpoint FL	each	0.40	400	390	10	160.00	-	-
Garlic (head)	Produce	Freshpoint FL	lb	2.20	40	38	2	88.00	-	-
Extra virgin olive oil (premium)	Oils and Condiments	Greek Imports NY	liter	14.80	48	44	4	710.40	-	-
Olive oil (cooking grade)	Oils and Condiments	Sysco Tampa	gallon	28.00	12	12	0	336.00	-	-
White wine vinegar	Oils and Condiments	Sysco Tampa	gallon	18.00	4	4	0	72.00	-	-
Orzo pasta	Dry Goods	Sysco Tampa	lb	1.60	80	76	4	128.00	-	-
Penne pasta	Dry Goods	Sysco Tampa	lb	1.40	60	56	4	84.00	-	-
Long-grain white rice	Dry Goods	Sysco Tampa	lb	0.90	120	116	4	108.00	-	-
Pita bread (frozen)	Dry Goods	Greek Imports NY	each	0.60	480	462	18	288.00	-	-
Phyllo dough (sheets)	Dry Goods	Greek Imports NY	pack	5.80	36	34	2	208.80	-	-
Honey (Greek thyme)	Dry Goods	Greek Imports NY	jar (500g)	12.40	12	12	0	148.80	-	-
Walnuts (shelled)	Dry Goods	Sysco Tampa	lb	8.20	24	22	2	196.80	-	-
Pistachio (shelled)	Dry Goods	Sysco Tampa	lb	12.40	10	9	1	124.00	-	-
Breadcrumbs (plain)	Dry Goods	Sysco Tampa	lb	1.20	40	38	2	48.00	-	-
Cinnamon (ground)	Spices	Sysco Tampa	lb	6.80	4	4	0	27.20	-	-
Dried oregano (Greek)	Spices	Greek Imports NY	lb	18.00	4	4	0	72.00	-	-
Bay leaves	Spices	Sysco Tampa	oz	3.20	8	8	0	25.60	-	-
Ground cumin	Spices	Sysco Tampa	lb	7.40	2	2	0	14.80	-	-
Ouzo (cooking grade)	Spirits - Cooking	Greek Imports NY	bottle	28.00	6	6	0	168.00	-	-
White wine (dry, bulk)	Spirits - Cooking	Southern Glazer's	liter	4.80	24	22	2	115.20	-	-
Mythos Beer (case)	Beverages	Southern Glazer's	case (24)	34.00	22	20	2	748.00	-	-
Fix Hellas Beer (case)	Beverages	Southern Glazer's	case (24)	36.00	14	12	2	504.00	-	-
Assyrtiko (case, 12 bottles)	Beverages - Wine	Southern Glazer's	case (12)	144.00	18	16	2	2592.00	-	-
Agiorgitiko (case, 12 bottles)	Beverages - Wine	Southern Glazer's	case (12)	126.00	12	10	2	1512.00	-	-
Retsina (case, 12 bottles)	Beverages - Wine	Southern Glazer's	case (12)	88.00	8	7	1	704.00	-	-
Total Food Cost - January 2026	-	-	-	-	-	-	-	21747.60	-	-
Alt 19 January 2026 Revenue	-	-	-	-	-	-	-	-	78000.00	27.9%
Month: January 2026	Location: Mykonos Taverna Alt 19, 4847 Alternate 19 N, Palm Harbor FL 34683	Prepared by: Stavros Economou (Head Chef)	Reviewed by: Aaron Garcia
