Year	Month	Property	Address	Rent Collected ($)	Mortgage/PITI ($)	Tony DeLuca Fee ($)	Maintenance ($)	Net Cash Flow ($)	Notes
2025	January	Property 1 (Palm Harbor)	1847 Pinehurst Court, Palm Harbor FL 34683	1600.00	0.00	128.00	0.00	1472.00	Mortgage paid off 2024. No PITI.
2025	January	Property 2 (Tarpon Springs SFH)	724 Dodson Avenue, Tarpon Springs FL 34689	2000.00	1100.00	160.00	0.00	740.00	-
2025	January	Property 3 Unit A (Duplex)	3156 Pelican Drive Unit A, Tarpon Springs FL 34689	1350.00	925.00	108.00	0.00	317.00	Mortgage split 50/50 between units for tracking.
2025	January	Property 3 Unit B (Duplex)	3156 Pelican Drive Unit B, Tarpon Springs FL 34689	1400.00	925.00	112.00	0.00	363.00	-
2025	February	Property 1 (Palm Harbor)	1847 Pinehurst Court, Palm Harbor FL 34683	1600.00	0.00	128.00	285.00	1187.00	HVAC filter + minor service (Tony approved, under $300 threshold).
2025	February	Property 2 (Tarpon Springs SFH)	724 Dodson Avenue, Tarpon Springs FL 34689	2000.00	1100.00	160.00	0.00	740.00	-
2025	February	Property 3 Unit A (Duplex)	3156 Pelican Drive Unit A, Tarpon Springs FL 34689	1350.00	925.00	108.00	0.00	317.00	-
2025	February	Property 3 Unit B (Duplex)	3156 Pelican Drive Unit B, Tarpon Springs FL 34689	1400.00	925.00	112.00	180.00	183.00	Fence gate repair. Tony approved.
2025	March	Property 1 (Palm Harbor)	1847 Pinehurst Court, Palm Harbor FL 34683	1600.00	0.00	128.00	0.00	1472.00	-
2025	March	Property 2 (Tarpon Springs SFH)	724 Dodson Avenue, Tarpon Springs FL 34689	2000.00	1100.00	160.00	0.00	740.00	-
2025	March	Property 3 Unit A (Duplex)	3156 Pelican Drive Unit A, Tarpon Springs FL 34689	1350.00	925.00	108.00	0.00	317.00	-
2025	March	Property 3 Unit B (Duplex)	3156 Pelican Drive Unit B, Tarpon Springs FL 34689	1400.00	925.00	112.00	0.00	363.00	-
2025	April	Property 1 (Palm Harbor)	1847 Pinehurst Court, Palm Harbor FL 34683	1600.00	0.00	128.00	0.00	1472.00	-
2025	April	Property 2 (Tarpon Springs SFH)	724 Dodson Avenue, Tarpon Springs FL 34689	2000.00	1100.00	160.00	0.00	740.00	-
2025	April	Property 3 Unit A (Duplex)	3156 Pelican Drive Unit A, Tarpon Springs FL 34689	1350.00	925.00	108.00	0.00	317.00	-
2025	April	Property 3 Unit B (Duplex)	3156 Pelican Drive Unit B, Tarpon Springs FL 34689	1400.00	925.00	112.00	480.00	(117.00)	Water heater repair (Aaron approved, above $300 - flagged by Tony).
