Menu Item	Category	Unit Price ($)	Qty Sold	Gross Revenue ($)
Moussaka (individual)	Entrees	22.00	97	2134.00
Lamb Souvlaki Plate	Entrees	26.00	112	2912.00
Grilled Octopus	Appetizers / Meze	18.00	74	1332.00
Spanakopita	Appetizers / Meze	12.00	88	1056.00
Tiropita	Appetizers / Meze	11.00	63	693.00
Horiatiki (Greek Salad)	Salads	14.00	109	1526.00
Fasolada (Bean Soup)	Soups	9.00	41	369.00
Avgolemono Soup	Soups	9.00	56	504.00
Gyros Plate	Entrees	21.00	138	2898.00
Chicken Souvlaki Plate	Entrees	23.00	94	2162.00
Pastitsio	Entrees	20.00	67	1340.00
Grilled Branzino	Entrees	34.00	29	986.00
Lamb Chops (double)	Entrees	48.00	18	864.00
Dolmades (6 pc)	Appetizers / Meze	13.00	81	1053.00
Saganaki (flaming cheese)	Appetizers / Meze	14.00	66	924.00
Taramosalata	Appetizers / Meze	10.00	44	440.00
Tzatziki	Sides	6.00	127	762.00
Roasted Potatoes	Sides	6.00	143	858.00
Rice Pilaf	Sides	5.00	112	560.00
Pita Bread (2 pc)	Sides	3.00	201	603.00
Baklava (slice)	Desserts	8.00	134	1072.00
Galaktoboureko	Desserts	8.00	72	576.00
Loukoumades (6 pc)	Desserts	9.00	58	522.00
Kataifi	Desserts	8.00	44	352.00
Greek Coffee (metrio)	Beverages - Non-Alc	4.00	188	752.00
Greek Coffee (glykos)	Beverages - Non-Alc	4.00	47	188.00
Frappe	Beverages - Non-Alc	5.00	34	170.00
Soft Drink	Beverages - Non-Alc	4.00	214	856.00
Sparkling Water (500ml)	Beverages - Non-Alc	4.00	89	356.00
Still Water (500ml)	Beverages - Non-Alc	3.00	167	501.00
Assyrtiko (glass)	Beverages - Wine	12.00	118	1416.00
Assyrtiko (bottle)	Beverages - Wine	44.00	27	1188.00
Agiorgitiko (glass)	Beverages - Wine	11.00	97	1067.00
Agiorgitiko (bottle)	Beverages - Wine	40.00	19	760.00
Retsina (glass)	Beverages - Wine	9.00	52	468.00
Ouzo (1.5 oz)	Beverages - Spirits	8.00	84	672.00
Mythos Beer (bottle)	Beverages - Beer	7.00	141	987.00
Fix Hellas Beer (bottle)	Beverages - Beer	7.00	88	616.00
Draft Beer (pint)	Beverages - Beer	7.00	63	441.00
Greek Lemonade	Beverages - Non-Alc	6.00	79	474.00
Kids Chicken Tenders	Kids Menu	10.00	22	220.00
Kids Mac and Cheese	Kids Menu	8.00	14	112.00
Catering Deposit (March)	Catering	500.00	3	1500.00
Private Event Room Fee	Events	200.00	2	400.00
TOTAL	-	-	-	37632.00
Week: March 9 to March 15, 2025	Location: Mykonos Taverna (Original), 721 Dodecanese Blvd, Tarpon Springs, FL 34689	Export Source: Toast POS	Generated: March 16, 2025
