Week Of	Store	Items	Total	Notes
01/06/2026	Walmart	Chicken breast, rice, broccoli, eggs, bread, milk, coffee, apples, cheddar, tortillas	72.14	Standard weekly run
01/06/2026	Jewel-Osco	Ground turkey, salad mix, tomatoes, onions, garlic	28.47	Needed a few extras for Wednesday dinner
01/13/2026	Walmart	Pork chops, potatoes, green beans, pasta, marinara, orange juice, bananas, yogurt	68.39	Sophie weekend prep
01/20/2026	Walmart	Chicken thighs, bell peppers, black beans, sour cream, hot sauce, trail mix, pretzels	61.82	Work van snack restock included
01/27/2026	Walmart	Ground beef, taco shells, lettuce, cheese, salsa, coffee filters, dish soap	54.93	Taco night supplies
01/27/2026	Jewel-Osco	Salmon fillets, asparagus, lemon	22.18	Trying to eat more fish for cholesterol
02/03/2026	Walmart	Chicken breast, rice, frozen vegetables, eggs, bread, milk, apples, beef jerky	65.27	Regular run plus van snacks
02/10/2026	Walmart	Pork tenderloin, sweet potatoes, spinach, pasta, olive oil, garlic bread	59.41	Sophie weekend coming up
02/10/2026	Jewel-Osco	Tilapia, coleslaw mix, corn on the cob	19.73	Fish for Dr. Brewer's diet push
02/17/2026	Walmart	Chicken breast, brown rice, broccoli, canned beans, coffee, bananas, trail mix	58.16	Meal prep Sunday
02/24/2026	Walmart	Steak (2), baking potatoes, sour cream, butter, salad kit, rolls	71.44	Sophie custody weekend, steak dinner Friday
