Date	Start	End	Hours	Job Type	Location	Notes
02/03/2026	6:00 AM	2:30 PM	8.5	Commercial RTU	Suburban Square Mall	Belt replacement on Carrier 50XC
02/04/2026	6:00 AM	2:30 PM	8.5	Walk-in Cooler	Mario's Ristorante	Refrigerant charge low, added R-404A
02/05/2026	6:00 AM	2:30 PM	8.5	Commercial RTU	Fairfield Business Park	Thermostat calibration on Trane units
02/06/2026	6:00 AM	4:00 PM	10.0	Emergency Repair	Naperville Cold Storage	Compressor failure, replaced scroll compressor
02/07/2026	6:00 AM	2:30 PM	8.5	Preventive Maint	Oak Brook Office Center	Quarterly filter and coil inspection
02/10/2026	6:00 AM	2:30 PM	8.5	Ice Machine	River North Bar and Grill	Manitowitoc descale and sanitize
02/11/2026	6:00 AM	2:30 PM	8.5	Residential	Customer home, Lisle	Furnace ignitor replacement
02/12/2026	6:00 AM	2:30 PM	8.5	Commercial RTU	Suburban Square Mall	Follow-up on 50XC, running clean
02/13/2026	6:00 AM	3:30 PM	9.5	Chiller	DuPage Medical Group	Chiller oil analysis and filter change
02/14/2026	6:00 AM	2:30 PM	8.5	Preventive Maint	Naperville School District	Boiler room inspection at Lincoln Elementary
02/17/2026	6:00 AM	2:30 PM	8.5	Walk-in Cooler	Whole Foods Naperville	Door gasket and fan motor replacement
02/18/2026	6:00 AM	2:30 PM	8.5	Commercial RTU	Fairfield Business Park	Economizer linkage adjustment
02/19/2026	6:00 AM	2:30 PM	8.5	Ice Machine	Holiday Inn Express	Hoshizaki KM-901 diagnostic, board replaced
02/20/2026	6:00 AM	4:30 PM	10.5	Emergency Repair	Naperville Cold Storage	Condenser fan motor seized, replaced
02/21/2026	6:00 AM	2:30 PM	8.5	Residential	Customer home, Wheaton	Heat pump defrost board swap
02/24/2026	6:00 AM	2:30 PM	8.5	Preventive Maint	Oak Brook Office Center	Belt tension check and bearing lube
02/25/2026	6:00 AM	2:30 PM	8.5	Commercial RTU	Suburban Square Mall	Final inspection sign-off on Carrier 50XC
02/26/2026	6:00 AM	2:30 PM	8.5	Walk-in Cooler	Mario's Ristorante	Follow-up on R-404A charge, holding steady
02/27/2026	6:00 AM	2:30 PM	8.5	Shop Day	Heartland Shop	Inventory restock, van 14 parts audit
02/28/2026	6:00 AM	2:30 PM	8.5	Preventive Maint	Naperville School District	HVAC controls check at Elmwood Elementary
