Category	Budgeted	Actual	Difference	Notes
Rent	1050.00	1050.00	0.00	Paid Feb 1 via BMO auto-pay
Utilities	180.00	167.42	12.58	ComEd and Nicor combined
Ram Payment	420.00	420.00	0.00	BMO auto loan draft Feb 15
Auto Insurance	135.00	135.00	0.00	GEICO monthly draft
Groceries	350.00	338.19	11.81	Walmart and Jewel runs
Gas Personal Truck	140.00	127.55	12.45	Three fill-ups
T-Mobile	55.00	55.00	0.00	Phone bill auto-pay
Health Insurance	195.00	195.00	0.00	UHC payroll deduction
Child Support	280.00	280.00	0.00	Direct deposit to Kevin Feb 1
Netflix and ESPN+	30.00	30.00	0.00	Streaming auto-pay
Dining Out	90.00	74.36	15.64	Portillos and El Rancho Grande
Miscellaneous	100.00	83.17	16.83	Knee brace replacement
Total	3025.00	2955.69	69.31	Under budget this month
