Date	Store	Item	Quantity	Price	Notes
01/11/2025	Home Depot Naperville	Workbench LED Light Bar	1	34.97	For storage unit workbench
02/08/2025	Home Depot Naperville	Rheem Performance Plus 50-Gal Electric Water Heater	1	649.00	Side job with Mike, customer install
02/08/2025	Home Depot Naperville	3/4 inch Copper Fittings Assorted	1	18.47	For water heater hookup
03/22/2025	Home Depot Naperville	Socket Set 1/4 and 3/8 Drive	1	49.97	Personal tool replacement
04/19/2025	Home Depot Naperville	WD-40 Specialist Electrical Cleaner 6-Pack	1	29.94	Van restock
05/10/2025	Home Depot Naperville	Dewalt 20V Impact Driver	1	149.00	Replaced old Ryobi that died
06/07/2025	Home Depot Naperville	Refrigerant Hose Set	1	42.98	Backup set for van 14
07/26/2025	Home Depot Naperville	WeatherTech Floor Mats Ram 1500	1	89.95	For personal truck, front set
08/30/2025	Home Depot Naperville	Husky Mechanics Tool Set 230-Piece	1	149.00	Workbench set for storage unit
09/13/2025	Home Depot Naperville	Coleman 54-Quart Steel Belt Cooler	1	54.98	Fishing cooler upgrade
10/04/2025	Home Depot Naperville	Pliers Set 4-Piece	1	24.97	Van restock, needle nose wore out
11/15/2025	Home Depot Naperville	LED Shop Light 4-Foot 2-Pack	1	39.97	Storage unit lighting improvement
12/20/2025	Home Depot Naperville	Carhartt Insulated Gloves	1	29.99	Winter work gloves replacement
