Date	Mileage	Service	Provider	Cost	Notes
03/15/2021	112	Delivery Inspection	Heartland Chrysler Dodge	0.00	New vehicle delivery, all systems checked
09/18/2021	5,240	Oil Change and Tire Rotation	Jiffy Lube Naperville	74.99	First oil change, synthetic blend
03/12/2022	11,380	Oil Change and Filter	Jiffy Lube Naperville	69.99	Regular interval
06/04/2022	15,620	Brake Inspection	Meineke Naperville	0.00	Free inspection, pads at 60 percent
09/10/2022	19,450	Oil Change and Tire Rotation	Jiffy Lube Naperville	74.99	All tires even wear
01/14/2023	22,890	New Tires (4)	Discount Tire Naperville	687.00	Goodyear Wrangler All-Terrain, mounted and balanced
03/25/2023	24,610	Oil Change and Filter	Jiffy Lube Naperville	74.99	Switched to full synthetic
08/19/2023	28,120	Transmission Fluid Check	Meineke Naperville	29.99	Fluid clean, no service needed
09/30/2023	29,340	Oil Change and Tire Rotation	Jiffy Lube Naperville	79.99	Full synthetic, tires rotated
02/17/2024	31,870	Battery Replacement	AutoZone Naperville	189.99	Duralast Gold, installed in lot
04/06/2024	33,010	Oil Change and Filter	Jiffy Lube Naperville	79.99	Regular interval
10/12/2024	35,420	Oil Change, Rotation, Alignment	Meineke Naperville	149.99	Slightly pulling right, corrected
01/24/2025	36,890	Brake Pads Front	Meineke Naperville	247.00	Ceramic pads, rotors still good
04/05/2025	37,310	Oil Change and Filter	Jiffy Lube Naperville	79.99	Regular interval
10/18/2025	37,840	Oil Change and Tire Rotation	Jiffy Lube Naperville	79.99	All systems normal
02/22/2026	38,214	Oil Change and Filter	Jiffy Lube Naperville	84.99	Full synthetic, next due at 41,000
