category	type	planned_usd	notes
Gross revenue (avg)	income	4800	varies seasonally, busy Jan to Mar
Self employment tax	tax	-720	set aside for quarterly
Income tax (fed plus state)	tax	-530	set aside for quarterly
Take home	subtotal	3550	gross minus taxes
Rent	expense	-1650	
Utilities	expense	-140	
Groceries	expense	-350	
Phone	expense	-60	
Health insurance (ACA silver)	expense	-380	
Creative software subscription	expense	-55	
Streaming subscriptions	expense	-38	
Transit and rideshare	expense	-120	
Dining out	expense	-180	
Yoga	expense	-50	
Personal and misc	expense	-100	
Student loan payment	expense	-280	
Total expenses	subtotal	-3403	sum of expense rows
Net surplus	result	147	take home minus expenses, thin cushion
