"listing_id","title","city","country","room_type","price_per_night","cleaning_fee","beds","baths","max_guests","rating","review_count","host_id","instant_book"
"lst_0001","tower cloud bridge Apartment","Seattle","MX","Entire home/apt","216","47","5","1","8","3.0","65","host_0037","true"
"lst_0002","echo cloud charlie Apartment","Chicago","JP","Private room","291","43","4","1","3","3.1","222","host_0049","false"
"lst_0003","bravo juliet bravo Apartment","Chicago","MX","Entire home/apt","319","44","2","3","6","3.1","180","host_0027","true"
"lst_0004","juliet cloud bridge Apartment","San Francisco","IN","Private room","129","38","3","2","3","4.4","165","host_0036","false"
"lst_0005","cloud valley valley Apartment","Houston","US","Private room","443","28","5","3","3","4.2","114","host_0016","false"
"lst_0006","tower market india Apartment","Austin","BR","Entire home/apt","241","34","3","3","7","3.6","80","host_0027","false"
"lst_0007","valley juliet india Apartment","San Francisco","FR","Entire home/apt","282","97","2","3","4","3.2","5","host_0008","false"
"lst_0008","forest alpha market Apartment","Portland","BR","Shared room","256","49","3","1","6","4.1","6","host_0021","true"
"lst_0009","charlie river stone Apartment","Seattle","BR","Hotel room","461","43","3","2","7","3.2","108","host_0029","false"
"lst_0010","hotel mountain ocean Apartment","Phoenix","JP","Shared room","174","38","2","2","8","3.9","293","host_0027","true"
"lst_0011","delta juliet valley Apartment","Chicago","CA","Hotel room","137","74","1","3","2","3.7","92","host_0014","false"
"lst_0012","foxtrot market stone Apartment","Houston","DE","Shared room","75","51","2","1","10","3.6","163","host_0041","true"
"lst_0013","foxtrot charlie india Apartment","Austin","BR","Hotel room","133","86","1","2","6","4.9","249","host_0029","true"
"lst_0014","tower india alpha Apartment","Portland","FR","Entire home/apt","360","81","1","2","5","4.0","118","host_0025","false"
"lst_0015","hotel stone stone Apartment","Portland","FR","Hotel room","462","48","5","3","10","4.4","177","host_0042","false"
"lst_0016","juliet echo ocean Apartment","Austin","IN","Shared room","184","43","5","2","2","4.8","124","host_0037","false"
