template_id,name,description,shared,owner_name,created_time
dst_contract,Standard Residential Contract,"Boilerplate for residential job >$1,000",False,Jae Chandler,2024-08-01T09:00:00-05:00
dst_changeorder,Change Order,Job change order add/delete scope,False,Jae Chandler,2024-08-01T09:00:00-05:00
dst_estimate,Estimate Acceptance,Sign-off on a numbered estimate,False,Jae Chandler,2024-08-01T09:00:00-05:00
tpl_i4m5a4fs,Template pj5z,desc vbcapt83zx,false,Jae Chandler,2025-05-04T07:10:00
tpl_8f9k91qe,Template rvf5,desc j66nxuve4t,false,Jae Chandler,2026-03-18T09:45:00
tpl_v8k9shdn,Template 8s5t,desc 0elfdv8iwi,false,Jae Chandler,2026-05-26T02:56:00
tpl_z5h4qdkb,Template ppcs,desc a8nnyr0u8d,false,Jae Chandler,2026-01-28T16:49:00
tpl_se9y1see,Template 5qje,desc rqh5zduv0o,false,Jae Chandler,2025-10-23T21:35:00
tpl_hyvuth17,Template jxl0,desc nnzasyniq2,false,Jae Chandler,2025-10-20T12:12:00
tpl_34h2xn84,Template 2ufj,desc 3zg82o919z,false,Jae Chandler,2026-05-11T06:40:00
tpl_wrtwg9mf,Template d5hf,desc scy0jl099h,false,Jae Chandler,2026-08-02T12:38:00
tpl_0q4s2c6w,Template fnfm,desc p7aodxqaha,false,Jae Chandler,2025-10-19T00:33:00
tpl_zsxzm5xn,Template o9dg,desc 5cclxbe87n,false,Jae Chandler,2026-07-17T11:00:00
tpl_95aala57,Template 86x2,desc w2vtk8pqgl,false,Jae Chandler,2026-04-25T00:21:00
tpl_gvbgwlck,Template piqs,desc liz8441qn1,false,Jae Chandler,2025-02-13T15:52:00
tpl_f70zp3om,Template rnz8,desc 2fj8likytd,false,Jae Chandler,2025-03-31T04:36:00
tpl_o1s0gfm2,Template spve,desc wh1z0pmxnc,false,Jae Chandler,2026-01-17T22:00:00
tpl_f5er58v9,Template 3def,desc o26gxe6ke2,false,Jae Chandler,2025-06-12T18:04:00
tpl_9gv4ffvb,Template 5zpt,desc 1r55cneo6s,false,Jae Chandler,2025-12-23T13:05:00
tpl_sfuga4sl,Template 0zpy,desc dbwamvgfyc,false,Jae Chandler,2025-11-17T04:21:00
tpl_944imb0r,Template 12t8,desc 42w57dyhvw,false,Jae Chandler,2026-06-13T09:36:00
tpl_79wauo9x,Template z6uj,desc x2fkjw1mtx,false,Jae Chandler,2025-02-10T20:08:00
tpl_5aqfo16t,Template qra8,desc w1a0v9wcs6,false,Jae Chandler,2025-12-04T05:30:00
tpl_kfitdtui,Template zq5h,desc iftus03zw9,false,Jae Chandler,2025-12-25T02:57:00
tpl_jhmt0gnf,Template drbo,desc kcvf14zthr,false,Jae Chandler,2026-02-02T14:46:00
tpl_hx1bvuoe,Template gj6u,desc 0dc5jz9diw,false,Jae Chandler,2026-04-21T21:10:00
tpl_nejpzfbr,Template 2brz,desc 5d7j55mlh1,false,Jae Chandler,2026-08-15T00:26:00
tpl_ky72nfdp,Template q1m8,desc 82oyknufya,false,Jae Chandler,2025-05-20T23:53:00
tpl_nusg01r7,Template 2v0n,desc jpj4gmyq5m,false,Jae Chandler,2026-05-29T06:20:00
tpl_t8evfo3x,Template lbra,desc xo6txcuuaz,false,Jae Chandler,2025-04-06T05:51:00
tpl_56rr9qgc,Template b5aa,desc dnwtnb9lua,false,Jae Chandler,2026-03-16T14:16:00
tpl_2z7ngx7z,Template mp0f,desc znfztvk9yr,false,Jae Chandler,2025-09-01T15:41:00
tpl_oath19r0,Template hk03,desc e9joj53n25,false,Jae Chandler,2026-01-24T00:19:00
tpl_8o2p92d0,Template s6jj,desc vprq4t4xf5,false,Jae Chandler,2026-08-16T13:36:00
tpl_8y0czpcp,Template cwjm,desc 8fofd3wobx,false,Jae Chandler,2025-04-28T18:29:00
tpl_ivrvk74x,Template 83ky,desc 07skrnutoa,false,Jae Chandler,2025-05-21T06:19:00
tpl_1phku64m,Template gmfw,desc 2djfhgw9hj,false,Jae Chandler,2026-08-24T21:56:00
tpl_zmmnssp6,Template 3rit,desc 82fpbkxlhp,false,Jae Chandler,2026-07-21T06:08:00
tpl_l51ajqxm,Template ny80,desc 18tak9x82d,false,Jae Chandler,2025-08-12T19:34:00
tpl_rfwi5vjd,Template 2a1u,desc aju98zbu5c,false,Jae Chandler,2025-11-29T19:37:00
tpl_l4h77m6w,Template tebr,desc rnfk55vne1,false,Jae Chandler,2025-09-12T11:01:00
tpl_sswh526y,Template 3b4x,desc ikmih0ecp3,false,Jae Chandler,2026-09-19T12:43:00
tpl_h8pk2yd0,Template 93jk,desc we30gismzo,false,Jae Chandler,2025-01-02T18:12:00
tpl_aqbei4hd,Template tuch,desc 7j6alwk4m9,false,Jae Chandler,2025-03-27T13:50:00
tpl_igdn3gzc,Template ldci,desc ho3050cpl3,false,Jae Chandler,2026-01-07T19:36:00
