comment_id,videoId,channelId,parentId,authorDisplayName,authorChannelId,textDisplay,likeCount,publishedAt,updatedAt,moderationStatus
200000,videoid-00000,channelid-00000,parentid-00000,authordisplayname-00000,authorchannelid-00000,textdisplay-00000,1046,publishedat-00000,updatedat-00000,moderationstatus-00000
200011,videoid-00001,channelid-00001,parentid-00001,authordisplayname-00001,authorchannelid-00001,textdisplay-00001,320,publishedat-00001,updatedat-00001,moderationstatus-00001
200022,videoid-00002,channelid-00002,parentid-00002,authordisplayname-00002,authorchannelid-00002,textdisplay-00002,1716,publishedat-00002,updatedat-00002,moderationstatus-00002
200033,videoid-00003,channelid-00003,parentid-00003,authordisplayname-00003,authorchannelid-00003,textdisplay-00003,3512,publishedat-00003,updatedat-00003,moderationstatus-00003
200044,videoid-00004,channelid-00004,parentid-00004,authordisplayname-00004,authorchannelid-00004,textdisplay-00004,349,publishedat-00004,updatedat-00004,moderationstatus-00004
200055,videoid-00005,channelid-00005,parentid-00005,authordisplayname-00005,authorchannelid-00005,textdisplay-00005,208,publishedat-00005,updatedat-00005,moderationstatus-00005
200066,videoid-00006,channelid-00006,parentid-00006,authordisplayname-00006,authorchannelid-00006,textdisplay-00006,3854,publishedat-00006,updatedat-00006,moderationstatus-00006
200077,videoid-00007,channelid-00007,parentid-00007,authordisplayname-00007,authorchannelid-00007,textdisplay-00007,2373,publishedat-00007,updatedat-00007,moderationstatus-00007
200088,videoid-00008,channelid-00008,parentid-00008,authordisplayname-00008,authorchannelid-00008,textdisplay-00008,549,publishedat-00008,updatedat-00008,moderationstatus-00008
200099,videoid-00009,channelid-00009,parentid-00009,authordisplayname-00009,authorchannelid-00009,textdisplay-00009,4033,publishedat-00009,updatedat-00009,moderationstatus-00009
200110,videoid-00010,channelid-00010,parentid-00010,authordisplayname-00010,authorchannelid-00010,textdisplay-00010,4634,publishedat-00010,updatedat-00010,moderationstatus-00010
200121,videoid-00011,channelid-00011,parentid-00011,authordisplayname-00011,authorchannelid-00011,textdisplay-00011,2994,publishedat-00011,updatedat-00011,moderationstatus-00011
200132,videoid-00012,channelid-00012,parentid-00012,authordisplayname-00012,authorchannelid-00012,textdisplay-00012,2597,publishedat-00012,updatedat-00012,moderationstatus-00012
200143,videoid-00013,channelid-00013,parentid-00013,authordisplayname-00013,authorchannelid-00013,textdisplay-00013,4650,publishedat-00013,updatedat-00013,moderationstatus-00013
200154,videoid-00014,channelid-00014,parentid-00014,authordisplayname-00014,authorchannelid-00014,textdisplay-00014,378,publishedat-00014,updatedat-00014,moderationstatus-00014
200165,videoid-00015,channelid-00015,parentid-00015,authordisplayname-00015,authorchannelid-00015,textdisplay-00015,4282,publishedat-00015,updatedat-00015,moderationstatus-00015
200176,videoid-00016,channelid-00016,parentid-00016,authordisplayname-00016,authorchannelid-00016,textdisplay-00016,4238,publishedat-00016,updatedat-00016,moderationstatus-00016
200187,videoid-00017,channelid-00017,parentid-00017,authordisplayname-00017,authorchannelid-00017,textdisplay-00017,3688,publishedat-00017,updatedat-00017,moderationstatus-00017
200198,videoid-00018,channelid-00018,parentid-00018,authordisplayname-00018,authorchannelid-00018,textdisplay-00018,2671,publishedat-00018,updatedat-00018,moderationstatus-00018
