Item	Par Level	On Hand	Reorder	Unit	Location
Bath towels	600	512	Yes	each	Floor 12 linen
Hand towels	600	548	No	each	Floor 12 linen
Washcloths	800	610	Yes	each	Floor 12 linen
King sheet sets	140	132	No	set	Floor 15 linen
Queen sheet sets	160	121	Yes	set	Floor 15 linen
Pillowcases	900	804	No	each	Floor 15 linen
Shampoo, VIP tier	300	96	Yes	bottle	Supply room A
Lotion, VIP tier	300	110	Yes	bottle	Supply room A
Bath soap bars	1000	880	No	each	Supply room A
Coffee pods	1200	540	Yes	pod	Supply room B
Toilet paper	1500	1320	No	roll	Supply room B
Glass cleaner	48	31	No	bottle	Supply room B
All purpose cleaner	48	22	Yes	bottle	Supply room B
Trash liners	2000	1640	No	each	Supply room B
Vacuum belts	20	6	Yes	each	Equipment closet
As of February 6, 2026, counted by Chris Murray					
