id,customer_id,location_id,line_items,total_amount,currency,state,created_at
ORD_HALL_001,CUST_BRIANNA_MENDEZ,LOC_RHYTHM,VAR_HALLOWEEN_DOOR_R x1,3000,USD,COMPLETED,2026-10-07T18:04:12Z
ORD_HALL_002,CUST_HAILEY_PARK,LOC_RHYTHM,VAR_HALLOWEEN_DOOR_R x1,3000,USD,COMPLETED,2026-10-07T18:11:05Z
ORD_HALL_003,CUST_MEGAN_RODRIGUEZ,LOC_RHYTHM,VAR_HALLOWEEN_DOOR_R x1,3000,USD,COMPLETED,2026-10-07T18:19:22Z
ORD_HALL_004,CUST_SOPHIA_LIU,LOC_RHYTHM,VAR_HALLOWEEN_DOOR_R x1,3000,USD,COMPLETED,2026-10-07T18:26:41Z
ORD_HALL_005,CUST_CAITLYN_BRENNAN,LOC_RHYTHM,VAR_HALLOWEEN_DOOR_R x1,3000,USD,COMPLETED,2026-10-07T18:34:07Z
ORD_HALL_006,CUST_TASHA_OWENS,LOC_RHYTHM,VAR_HALLOWEEN_DOOR_R x1,3000,USD,COMPLETED,2026-10-07T18:41:33Z
ORD_HALL_007,CUST_MAYA_KAPOOR,LOC_RHYTHM,VAR_HALLOWEEN_DOOR_R x1,3000,USD,COMPLETED,2026-10-07T18:48:56Z
ORD_HALL_008,CUST_OLIVIA_TRAN,LOC_RHYTHM,VAR_HALLOWEEN_DOOR_R x1,3000,USD,COMPLETED,2026-10-07T18:55:14Z
ORD_HALL_009,CUST_RACHEL_GOLDBERG,LOC_RHYTHM,VAR_HALLOWEEN_DOOR_R x1,3000,USD,COMPLETED,2026-10-10T17:02:18Z
ORD_HALL_010,CUST_PRIYA_IYER,LOC_RHYTHM,VAR_HALLOWEEN_DOOR_R x1,3000,USD,COMPLETED,2026-10-10T17:09:44Z
ORD_HALL_011,CUST_JENNIFER_HOLCOMB,LOC_RHYTHM,VAR_HALLOWEEN_DOOR_R x1,3000,USD,COMPLETED,2026-10-10T17:15:29Z
