Date	Protein	Cut / Weight	Method	Rub / Marinade	Pit Temp (F)	Cook Duration	Internal Temp	Rating (1-10)	Notes
Jan 18, 2025	Beef	Brisket, 13 lb flat + point	Low and slow smoke	Salt, pepper, garlic powder, smoked paprika	225	14 hours	203	9	Best brisket yet. Rested 2 hours wrapped. Perfect bark.
Feb 1, 2025	Pork	Spare ribs, 2 racks	3-2-1 smoke method	Brown sugar, smoked paprika, cumin, cayenne	235	6 hours	196	8	Tyler ate 8 ribs. Sarah took photos.
Feb 15, 2025	Beef	NY Strip x4, 1 inch thick	Reverse sear	Kosher salt and coarse black pepper	225 then sear 500	45 min + 4 min sear	130	9	Clean and simple. Best way to do a strip.
Mar 8, 2025	Pork	Pork shoulder, 9 lb	Low and slow smoke	Mustard binder, dry rub (paprika, garlic, brown sugar)	225	10 hours	205	9	Pulled beautifully. Dan was there. Crowd-pleaser.
Mar 22, 2025	Chicken	Whole chickens x2, 5 lb each	Spatchcock smoke	Herb butter under skin; lemon and garlic rub	275	2 hours 30 min	165	8	Spatchcock method is better for even cooking.
Apr 12, 2025	Beef	Burgers, 80/20, 1/3 lb patties x8	Direct grill	Salt, pepper, garlic powder	450	4 min per side	160	8	Tyler's birthday crowd. 8 patties, 8 people, zero leftovers.
Apr 26, 2025	Pork	Baby back ribs, 3 racks	3-2-1 smoke	Sweet and smoky commercial rub + apple cider spritz	240	6 hours	195	8	Used apple wood chips; sweeter smoke profile.
May 17, 2025	Beef	Ribeyes x3, bone-in, 1.5 inch	Reverse sear	Salt, pepper, garlic, fresh rosemary	225 then 500 sear	50 min + 5 min sear	132	10	Best steak I have ever made. Bone-in makes the difference.
Jun 7, 2025	Lamb	Leg of lamb, butterflied, 6 lb	Grill roast	Garlic, rosemary, olive oil, lemon zest	325	2 hours	145	8	Made for Ryan's birthday dinner. Everyone surprised.
Jun 21, 2025	Pork	Pork belly, 4 lb slab	Smoke	Salt, pepper, smoked paprika, brown sugar	225	5 hours	190	9	Sliced thick. Served with cornbread.
Jul 4, 2025	Beef	Brisket, 14 lb whole packer	Low and slow smoke	SPOG (salt, pepper, onion, garlic)	220	16 hours	204	9	Fourth of July. Ryan, Dan, and their families. Went too fast.
Jul 4, 2025	Pork	Spare ribs x3 racks	3-2-1 smoke	Memphis-style dry rub, no sauce	235	6 hours	197	8	Alongside the brisket. Full grill day.
Jul 19, 2025	Beef	Tri-tip, 3 lb	Reverse sear + oak smoke	Garlic, salt, rosemary	225 then sear	1 hour + 4 min sear	135	9	Helen's birthday backyard. She liked the tri-tip best.
Aug 16, 2025	Chicken	Thighs, bone-in x12	Direct grill + sauce	Teriyaki marinade	400	25 minutes	175	7	Simple weeknight grill. Fast and reliable.
Sep 6, 2025	Pork	Pulled pork shoulder, 10 lb	Low and slow smoke	Apple cider vinegar injection, mustard rub	225	11 hours	205	9	Megan came home. She ate three sandwiches. High praise.
Oct 4, 2025	Beef	Ribeyes x4, 1.5 inch bone-in	Reverse sear	Salt and pepper only	225 then 500 sear	50 min + 5 min sear	130	10	Ohio State game day. Season ticket crew. Perfect cook.
Oct 25, 2025	Beef	Chuck roast, 4 lb	Smoked pot roast	Garlic, thyme, rosemary, bay leaf	275 + braise	4 hours	205	8	Braised in beef stock after smoke. Excellent for a cold day.
Nov 1, 2025	Pork	St. Louis ribs, 2 racks	Smoke	Dark sugar rub, apple wood chips	240	6 hours	195	8	November grill day; 45F outside; worth it.
Nov 22, 2025	Beef	Whole tenderloin, 4 lb	Reverse sear	Herb butter crust	225 then sear	45 min + 4 min sear	130	10	Pre-Thanksgiving treat for the family. Standing ovation from Tyler.
Dec 25, 2025	Beef	Prime rib, 7 lb standing rib roast	Smoke roast	Garlic herb rub, tied roast	250	3 hours 30 min	125 (medium-rare)	10	Christmas day, home before Akron drive. Best Christmas meal so far.
Jan 10, 2026	Beef	Brisket, 12 lb flat	Low and slow smoke	Salt, pepper, garlic, oak wood	225	12 hours	202	8	New cast iron grates; first test run. Very happy.
Feb 8, 2026	Pork	Spare ribs, 2 racks	3-2-1 smoke	Sweet heat rub, honey glaze finish	235	6 hours	196	9	Valentine's Day weekend grill. Sarah very happy with the ribs.
NOTE	Outdoor cook logs complement Lake Erie trip expense log in t4.tsv.										
