Day	Meal	Dish	Notes
Monday	Breakfast	Coffee and toast	Full pot brewed at 6 AM
Monday	Lunch	Turkey club sandwich	Packed for work
Monday	Dinner	Jerk chicken with rice and peas	Patricia cooking
Tuesday	Breakfast	Coffee and oatmeal	
Tuesday	Lunch	Leftover jerk chicken	
Tuesday	Dinner	Baked ziti with salad	Quick meal before Little League practice at 5:30
Wednesday	Breakfast	Coffee and scrambled eggs	
Wednesday	Lunch	Deli sub from break room	
Wednesday	Dinner	Oxtail stew with cornbread	Patricia slow cooker
Thursday	Breakfast	Coffee and cereal	
Thursday	Lunch	Soup and crackers	
Thursday	Dinner	Mac and cheese with collard greens	Easy dinner before practice
Friday	Breakfast	Coffee and toast	
Friday	Lunch	Grilled cheese and tomato soup	
Friday	Dinner	Pizza delivery	Movie night with Patricia and Marcus Jr.
Saturday	Breakfast	Pancakes	Marcus Jr. helps
Saturday	Lunch	Burgers off the Weber	Justin grilling
Saturday	Dinner	Ribs and coleslaw	Low and slow all afternoon
Sunday	Breakfast	Eggs and bacon	After church prep
Sunday	Lunch	Leftovers or sandwiches	Gloria calls around 2 PM
Sunday	Dinner	Roast chicken and vegetables	Family dinner
