Item	Category	Qty	UnitPrice	LineTotal
Basmati rice 10 lb	Staples	1	18.49	18.49
Toor dal 4 lb	Staples	1	7.99	7.99
Atta flour 10 lb	Staples	1	11.49	11.49
Paneer block	Dairy	3	4.49	13.47
Plain yogurt 32 oz	Dairy	2	3.79	7.58
Yellow onions 5 lb	Produce	2	3.99	7.98
Roma tomatoes	Produce	4	1.29	5.16
Ginger root	Produce	1	2.49	2.49
Garlic bulbs	Produce	3	0.79	2.37
Green chilies	Produce	1	1.99	1.99
Cardamom 50 g	Spices	1	6.99	6.99
Cumin seed 200 g	Spices	1	3.49	3.49
Turmeric 200 g	Spices	1	2.99	2.99
Masala chai blend	Beverage	1	5.49	5.49
Whole chicken	Meat	1	9.99	9.99
			Total	107.96
