dish	cuisine_type	class_servings	cost_per_serving_usd	key_ingredients	primary_source
Smoked Gouda Mac and Cheese	Southern Comfort	8	4.20	elbow pasta, sharp cheddar, smoked gouda, whole milk, breadcrumbs	Costco
Andouille Jambalaya	American Fusion	8	5.80	andouille sausage, chicken thighs, long-grain rice, Cajun seasoning	DeKalb Farmers Market
Chicken and Okra Gumbo	Southern Comfort	8	6.10	chicken thighs, fresh okra, dark roux flour, Cajun blend, bay leaf	DeKalb Farmers Market
Buttermilk Roast Chicken	Southern Comfort	6	7.40	whole chicken, buttermilk, garden thyme and rosemary, garlic	DeKalb Farmers Market
Grilled Ribeye with Herb Butter	Grilling	4	12.40	ribeye steaks, garden thyme and rosemary, unsalted butter, garlic	DeKalb Farmers Market
Garden Tomato Stew	Southern Comfort	6	3.10	garden tomatoes, onion, garlic, stock, crusty bread	home garden and Costco
Cornbread Three Ways	Southern Comfort	8	1.80	stone-ground cornmeal, buttermilk, unsalted butter, cast iron skillet	Costco
Collard Greens with Smoked Turkey	Southern Comfort	8	3.90	collard greens, smoked turkey neck, apple cider vinegar, onion	DeKalb Farmers Market
Peach Cobbler	Dessert	8	2.60	fresh peaches, unsalted butter, brown sugar, all-purpose flour	DeKalb Farmers Market
Shrimp and Grits	American Fusion	6	9.20	large shrimp, stone-ground grits, Tasso ham, heavy cream	DeKalb Farmers Market
Sweet Potato Casserole	Southern Comfort	8	3.40	sweet potatoes, brown sugar, pecans, unsalted butter, vanilla	Costco
Low Country Boil	Grilling	10	8.60	large shrimp, andouille, red potatoes, corn on the cob, Old Bay	DeKalb Farmers Market
