id,name,parent_id,owner_id,description,size,extension,sha1,created_at,modified_at
file-90180,appeal_ZD-4471_evidence.pdf,folder-appeals-2026,box-greg,Evidence for ZD-4471.,204812,pdf,a1b2c3,2026-10-21,2026-10-21
file-90195,appeal_ZD-4501_notes.pdf,folder-appeals-2026,box-greg,Notes for ZD-4501.,118220,pdf,d4e5f6,2026-11-01,2026-11-01
file-10000,doc_0.pdf,folder-111,box-greg,Archived document.,542361,pdf,383448,2026-03-15,2026-11-01
file-10001,doc_1.pdf,folder-116,box-greg,Archived document.,251853,pdf,fa8fa0,2026-09-09,2026-11-01
file-10002,doc_2.pdf,folder-108,box-greg,Archived document.,70806,pdf,7eca19,2026-06-22,2026-11-01
file-10003,doc_3.pdf,folder-110,box-greg,Archived document.,647241,pdf,768c17,2026-06-14,2026-11-01
file-10004,doc_4.pdf,folder-103,box-greg,Archived document.,489953,pdf,89ea37,2026-04-23,2026-11-01
file-10005,doc_5.pdf,folder-107,box-greg,Archived document.,128053,pdf,26aa32,2026-09-02,2026-11-01
file-10006,doc_6.pdf,folder-102,box-greg,Archived document.,746725,pdf,8f8d4b,2026-11-07,2026-11-01
file-10007,doc_7.pdf,folder-113,box-greg,Archived document.,575452,pdf,db9bd1,2026-02-02,2026-11-01
file-10008,doc_8.pdf,folder-111,box-greg,Archived document.,363482,pdf,e3c82f,2026-06-14,2026-11-01
file-10009,doc_9.pdf,folder-appeals-2026,box-greg,Archived document.,96727,pdf,b90f68,2026-07-09,2026-11-01
file-10010,doc_10.pdf,folder-117,box-greg,Archived document.,123027,pdf,432fed,2026-07-01,2026-11-01
file-10011,doc_11.pdf,folder-116,box-greg,Archived document.,467467,pdf,cc3925,2026-09-12,2026-11-01
file-10012,doc_12.pdf,folder-101,box-greg,Archived document.,544632,pdf,d1ca10,2026-07-08,2026-11-01
file-10013,doc_13.pdf,folder-110,box-greg,Archived document.,549360,pdf,9ceeb1,2026-01-19,2026-11-01
file-10014,doc_14.pdf,folder-119,box-greg,Archived document.,467021,pdf,004410,2026-01-03,2026-11-01
file-10015,doc_15.pdf,folder-107,box-greg,Archived document.,433475,pdf,bb7c58,2026-07-13,2026-11-01
file-10016,doc_16.pdf,folder-119,box-greg,Archived document.,795068,pdf,8602d9,2026-09-22,2026-11-01
file-10017,doc_17.pdf,folder-117,box-greg,Archived document.,509831,pdf,94d501,2026-11-16,2026-11-01
file-10018,doc_18.pdf,folder-116,box-greg,Archived document.,654039,pdf,0c74d5,2026-02-07,2026-11-01
file-10019,doc_19.pdf,folder-110,box-greg,Archived document.,792079,pdf,04de7f,2026-10-25,2026-11-01
file-10020,doc_20.pdf,folder-103,box-greg,Archived document.,467985,pdf,6fa706,2026-02-19,2026-11-01
file-10021,doc_21.pdf,folder-116,box-greg,Archived document.,869494,pdf,91e822,2026-10-23,2026-11-01
file-10022,doc_22.pdf,folder-105,box-greg,Archived document.,453803,pdf,fadfc6,2026-02-09,2026-11-01
file-10023,doc_23.pdf,folder-104,box-greg,Archived document.,86615,pdf,953dac,2026-10-25,2026-11-01
file-10024,doc_24.pdf,folder-100,box-greg,Archived document.,275048,pdf,6c518c,2026-02-23,2026-11-01
file-10025,doc_25.pdf,folder-102,box-greg,Archived document.,472911,pdf,5c9102,2026-04-02,2026-11-01
file-10026,doc_26.pdf,folder-116,box-greg,Archived document.,894483,pdf,6ddc38,2026-02-14,2026-11-01
