Date	Session	Focus	Prescription	Result	Notes
2026-01-05	Monday	Back squat	5x5 at 275 lb	Completed	Green recovery, felt fast out of the hole
2026-01-07	Wednesday	Conditioning	21-15-9 thruster and pull up	7:38	20 seconds off the prior best
2026-01-09	Friday	Olympic	Power clean EMOM 10 at 205 lb	Completed	Clean turnover crisp
2026-01-12	Monday	Deadlift	Work to heavy triple at 405 lb	Completed	Belt on the top set only
2026-01-14	Wednesday	Conditioning	5 rounds row 500 m and 15 burpee	18:52	Held 1:45 split on the rower
2026-01-16	Friday	Gymnastics	Strict pull up 5x6 plus ring dip	Completed	Coach Matt cued the kip timing
2026-01-19	Monday	Front squat	5x3 at 245 lb	Completed	Tight midline, no breakdown
2026-01-21	Wednesday	Conditioning	Open style 12 min AMRAP	9 rounds	Scaled to red day volume
2026-01-26	Monday	Snatch	Build to heavy single at 195 lb	Completed	New touch and go feel
2026-02-02	Monday	Back squat	Wave 70 to 85 percent	Completed	Recovery 82 percent on WHOOP
2026-02-06	Friday	Conditioning	Run 800 m, 40 wall ball, run 800 m	12:14	Even pacing both runs
2026-02-09	Monday	Deadlift	Speed pulls 8x2 at 315 lb	Completed	Bar speed logged for the block
2026-02-13	Friday	Mixed	Qualifier sim part one	Completed	Held back to protect the shoulder
