Title	Author	Format	Source	Status	Due_Date
Killing and Dying	Adrian Tomine	Graphic novel	Nashville Public Library	Returned	2025-12-04
On a Sunbeam	Tillie Walden	Graphic novel	Nashville Public Library	Checked out	2026-02-19
Sweet Tooth Book One	Jeff Lemire	Graphic novel	Borrowed from Jake	Reading	
Criminal Volume 1	Ed Brubaker	Graphic novel	Owned	Reference shelf	
The Great Fires	Jack Gilbert	Poetry	Owned	Bedside	
Crush	Richard Siken	Poetry	Borrowed from Allie	Reading	
Roadside Picnic	Arkady and Boris Strugatsky	Sci-fi paperback	Parnassus Books	Owned	
The Dispossessed	Ursula K. Le Guin	Sci-fi paperback	Nashville Public Library	Checked out	2026-02-26
Blankets	Craig Thompson	Graphic novel	Nashville Public Library	Hold placed	2026-11-12
Berlin	Jason Lutes	Graphic novel	Owned	Reference shelf	
Annihilation	Jeff VanderMeer	Sci-fi paperback	Borrowed from Derek	To read	
Daytripper	Gabriel Ba and Fabio Moon	Graphic novel	Nashville Public Library	Returned	2025-11-20
