Track	Artist	Album	Duration	Date_Added
Turtles All the Way Down	Sturgill Simpson	A Sailor's Guide to Earth	4:11	2025-09-14
Feathered Indians	Tyler Childers	Purgatory	3:45	2025-09-14
Pretend	Hovvdy	Heavy Lifter	3:02	2025-09-20
1 Thing 2 Do	Hovvdy	True Love	2:58	2025-10-02
An Ending (Ascent)	Brian Eno	Apollo	4:24	2025-10-02
The Promise	Sturgill Simpson	Metamodern Sounds	4:08	2025-10-19
All Your'n	Tyler Childers	Country Squire	3:33	2025-11-01
Reflection	Brian Eno	Reflection	8:12	2025-11-09
Lavender Town	lofi study beats	Late Desk Sessions	2:41	2025-11-22
Ink and Quiet	Foglight	Long Nights	3:17	2025-12-06
Welcome to the Machine	lofi study beats	Late Desk Sessions	3:28	2026-01-11
Held	Hovvdy	Cranberry	3:50	2026-02-03
