date	description	category	amount	running_balance
01/02/2026	Transfer to Tidewater Court Rentals, January rent	Housing	-475.00	137.40
01/03/2026	Card purchase, Riverfront Market groceries	Groceries	-72.34	65.06
01/05/2026	Card purchase, fuel station	Transport	-38.20	26.86
01/06/2026	Mobile carrier autopay, monthly plan	Phone	-55.00	-28.14
01/08/2026	Streaming and surf forecast subscriptions	Subscriptions	-14.99	-43.13
01/09/2026	Payroll deposit, Atlantic Reef Dive Co.	Income	533.97	490.84
01/10/2026	Utilities autopay, shared apartment	Utilities	-60.00	430.84
01/12/2026	Card purchase, dive shop consumables	Dive gear	-40.00	390.84
01/14/2026	Card purchase, grocery store	Groceries	-64.18	326.66
01/15/2026	Mobile transfer received, C. Hensley share of bills	Reimbursement	120.00	446.66
01/16/2026	Card purchase, coffee and lunch	Dining	-18.50	428.16
01/19/2026	Card purchase, fuel station	Transport	-41.05	387.11
01/21/2026	Card purchase, grocery store	Groceries	-58.90	328.21
01/23/2026	Payroll deposit, Atlantic Reef Dive Co.	Income	533.97	862.18
01/24/2026	Card purchase, seafood restaurant	Dining	-26.75	835.43
01/26/2026	Transfer to savings, camera fund	Savings	-50.00	785.43
01/27/2026	Print sale payout, payment processor	Side income	95.00	880.43
01/29/2026	Card purchase, fuel station	Transport	-22.60	857.83
01/30/2026	Card purchase, hardware store	Dive gear	-15.00	842.83
