date	purpose	from	to	miles	round_trip	rate_per_mile	deductible
01/11/2025	Field site, Wrightsville Sound launch	Apartment	Marina ramp	36	Y	0.67	24.12
03/08/2025	Art market booth setup	Apartment	Riverfront market	18	Y	0.67	12.06
05/17/2025	Field site, Five Mile Ledge charter	Apartment	Dive shop dock	32	Y	0.67	21.44
06/21/2025	Art market booth, summer series	Apartment	Riverfront market	18	Y	0.67	12.06
08/09/2025	Print drop, framing shop	Apartment	Frame shop	28	Y	0.67	18.76
10/04/2025	Art market booth, fall series	Apartment	Riverfront market	18	Y	0.67	12.06
10/26/2025	Field site, Crystal Pier survey	Apartment	Crystal Pier lot	44	Y	0.67	29.48
11/15/2025	Art market booth	Apartment	Riverfront market	18	Y	0.67	12.06
12/06/2025	Print pickup and ship run	Apartment	Shipping counter	24	Y	0.67	16.08
12/28/2025	Art market booth, holiday	Apartment	Riverfront market	18	Y	0.67	12.06
