survey_date	site	transect_id	depth_ft	visibility_ft	water_temp_f	hard_coral_colonies	soft_coral_colonies	bleached_colonies	healthy_pct	observer	notes
10/12/2025	Masonboro Ledge	MAS-A	42	28	71	38	22	9	85.0	D. Cash	baseline recount
10/12/2025	Masonboro Ledge	MAS-B	45	25	71	34	19	11	79.2	C. Hensley	
10/26/2025	Crystal Pier Reef	CPR-A	36	18	70	29	16	7	84.4	D. Cash	silt after storm
10/26/2025	Crystal Pier Reef	CPR-B	38	20	70	31	14	6	86.7	D. Cash	
11/09/2025	Five Mile Ledge	FML-A	58	35	68	41	12	5	90.6	D. Cash	good viz
11/09/2025	Five Mile Ledge	FML-B	60	33	68	37	15	8	84.6	C. Hensley	
11/23/2025	Liberty Rocks	LBR-A	48	22	66	26	9	10	71.4	D. Cash	cold front
11/23/2025	Liberty Rocks	LBR-B	50	21	66	24	11	9	74.3	D. Cash	
12/07/2025	Masonboro Ledge	MAS-A	42	24	63	40	24	7	89.1	D. Cash	recovery on A
12/07/2025	Masonboro Ledge	MAS-B	45	23	63	36	20	8	85.7	C. Hensley	
12/21/2025	Crystal Pier Reef	CPR-A	36	16	61	30	17	6	87.2	D. Cash	
12/21/2025	Crystal Pier Reef	CPR-B	38	17	61	33	15	5	89.6	D. Cash	new recruits noted
01/11/2026	Five Mile Ledge	FML-A	58	30	59	44	13	4	93.0	D. Cash	best count to date
01/11/2026	Five Mile Ledge	FML-B	60	29	59	39	16	6	89.1	C. Hensley	
01/25/2026	Liberty Rocks	LBR-A	48	19	58	28	10	8	78.9	D. Cash	
01/25/2026	Liberty Rocks	LBR-B	50	18	58	27	12	7	82.1	D. Cash	warmer water
02/08/2026	Masonboro Ledge	MAS-A	42	26	57	43	26	5	92.8	D. Cash	strong recovery
02/08/2026	Masonboro Ledge	MAS-B	45	27	57	38	22	6	90.0	C. Hensley	
02/22/2026	Crystal Pier Reef	CPR-A	36	20	57	34	19	4	92.5	D. Cash	
02/22/2026	Crystal Pier Reef	CPR-B	38	21	57	36	18	5	90.7	D. Cash	recruits surviving
