order_no	order_date	title	size_in	qty	unit_price	shipping	order_total	channel	buyer_city	status
ORD-1031	10/05/2025	Reef at First Light	12x18	1	45.00	8.00	53.00	Online	Raleigh	Shipped
ORD-1033	10/19/2025	Spadefish School	8x10	2	28.00	8.00	64.00	Online	Asheville	Shipped
ORD-1035	11/02/2025	Sea Turtle Pass	16x24	1	85.00	12.00	97.00	Online	Charlotte	Shipped
ORD-1037	11/15/2025	Oyster Reef Detail	8x10	1	28.00	0.00	28.00	Market	Wilmington	Picked up
ORD-1039	11/23/2025	Morning Glass	12x18	1	45.00	0.00	45.00	Market	Wilmington	Picked up
ORD-1041	12/03/2025	Kelp Light	8x10	1	28.00	8.00	36.00	Online	Durham	Shipped
ORD-1042	12/07/2025	Reef at First Light	16x24	1	85.00	12.00	97.00	Online	Greensboro	Shipped
ORD-1044	12/14/2025	Spadefish School	12x18	2	45.00	0.00	90.00	Market	Wilmington	Picked up
ORD-1046	12/20/2025	Sea Turtle Pass	8x10	1	28.00	8.00	36.00	Online	Cary	Shipped
ORD-1048	12/28/2025	Morning Glass	16x24	1	85.00	0.00	85.00	Market	Wilmington	Picked up
