item	category	acquired	condition	last_service	next_service_due	reference	notes
Buoyancy compensator	Dive	06/2021	Good	11/2025	11/2026	BC-7741	annual inspection
Primary regulator	Dive	06/2021	Good	11/2025	11/2026	RG-3320	first and second stage
Backup regulator	Dive	07/2022	Fair	11/2025	11/2026	RG-3321	needs hose check
Dive computer	Dive	02/2023	Good	n/a	n/a	DC-9087	battery replaced 10/2025
Wetsuit, 5mm	Dive	01/2024	Good	n/a	n/a	WS-5012	winter suit
Wetsuit, 3mm	Dive	05/2022	Worn	n/a	n/a	WS-3008	summer, knee patch
Fins	Dive	06/2021	Good	n/a	n/a	FN-1140	
Mask and snorkel	Dive	08/2023	Good	n/a	n/a	MK-2231	spare on hand
Weight belt and weights	Dive	06/2021	Good	n/a	n/a	WT-0090	14 lb
Dive light	Dive	11/2024	Good	n/a	n/a	DL-6610	charge before survey
Surface marker buoy	Dive	09/2024	Good	n/a	n/a	SMB-4420	
Action camera	Photo	12/2023	Good	n/a	n/a	CAM-1102	main survey camera
Camera dive housing	Photo	12/2023	Good	n/a	n/a	HSG-1102	o-ring greased 01/2026
Surfboard, 6'4	Surf	04/2022	Good	n/a	n/a	SB-0064	local shaper
Surf leash and fins	Surf	04/2022	Fair	n/a	n/a	SL-0064	leash fraying
Freedive fins, long blade	Free	03/2024	Good	n/a	n/a	FF-7780	
Aluminum tank, 80	Dive	05/2023	Good	08/2025	08/2026	TK-8001	hydro current
Aluminum tank, 80	Dive	05/2023	Good	08/2025	08/2026	TK-8002	hydro current
