pair,base,currency,amount
BTC-USD,BTC,USD,65000.00
ETH-USD,ETH,USD,3400.00
USDC-USD,USDC,USD,1.00
SOL-USD,SOL,USD,145.00
DOGE-USD,DOGE,USD,0.16
BTC-USD-x1,SOL,USD,145.00
BTC-USD-x2,BTC,USD,65000.00
ETH-USD-x3,USDC,USD,1.00
SOL-USD-x4,SOL,USD,145.00
SOL-USD-x5,DOGE,USD,0.16
SOL-USD-x6,SOL,USD,145.00
BTC-USD-x7,USDC,USD,1.00
USDC-USD-x8,USDC,USD,1.00
ETH-USD-x9,SOL,USD,145.00
SOL-USD-x10,USDC,USD,1.00
ETH-USD-x11,SOL,USD,145.00
SOL-USD-x12,DOGE,USD,0.16
USDC-USD-x13,USDC,USD,1.00
BTC-USD-x14,DOGE,USD,0.16
BTC-USD-x15,ETH,USD,3400.00
DOGE-USD-x16,ETH,USD,3400.00
DOGE-USD-x17,ETH,USD,3400.00
USDC-USD-x18,SOL,USD,145.00
USDC-USD-x19,USDC,USD,1.00
BTC-USD-x20,BTC,USD,65000.00
BTC-USD-x21,SOL,USD,145.00
USDC-USD-x22,DOGE,USD,0.16
BTC-USD-x23,SOL,USD,145.00
USDC-USD-x24,USDC,USD,1.00
SOL-USD-x25,USDC,USD,1.00
SOL-USD-x26,DOGE,USD,0.16
ETH-USD-x27,ETH,USD,3400.00
USDC-USD-x28,DOGE,USD,0.16
USDC-USD-x29,SOL,USD,145.00
ETH-USD-x30,ETH,USD,3400.00
DOGE-USD-x31,DOGE,USD,0.16
ETH-USD-x32,BTC,USD,65000.00
BTC-USD-x33,DOGE,USD,0.16
USDC-USD-x34,SOL,USD,145.00
BTC-USD-x35,DOGE,USD,0.16
USDC-USD-x36,DOGE,USD,0.16
SOL-USD-x37,DOGE,USD,0.16
DOGE-USD-x38,USDC,USD,1.00
BTC-USD-x39,USDC,USD,1.00
DOGE-USD-x40,USDC,USD,1.00
USDC-USD-x41,ETH,USD,3400.00
SOL-USD-x42,USDC,USD,1.00
BTC-USD-x43,BTC,USD,65000.00
BTC-USD-x44,USDC,USD,1.00
USDC-USD-x45,DOGE,USD,0.16
USDC-USD-x46,DOGE,USD,0.16
DOGE-USD-x47,USDC,USD,1.00
DOGE-USD-x48,USDC,USD,1.00
SOL-USD-x49,SOL,USD,145.00
BTC-USD-x50,ETH,USD,3400.00
USDC-USD-x51,USDC,USD,1.00
DOGE-USD-x52,SOL,USD,145.00
ETH-USD-x53,DOGE,USD,0.16
ETH-USD-x54,USDC,USD,1.00
DOGE-USD-x55,USDC,USD,1.00
DOGE-USD-x56,BTC,USD,65000.00
SOL-USD-x57,USDC,USD,1.00
SOL-USD-x58,ETH,USD,3400.00
DOGE-USD-x59,ETH,USD,3400.00
USDC-USD-x60,BTC,USD,65000.00
SOL-USD-x61,ETH,USD,3400.00
USDC-USD-x62,ETH,USD,3400.00
BTC-USD-x63,ETH,USD,3400.00
USDC-USD-x64,DOGE,USD,0.16
DOGE-USD-x65,SOL,USD,145.00
SOL-USD-x66,USDC,USD,1.00
DOGE-USD-x67,USDC,USD,1.00
BTC-USD-x68,USDC,USD,1.00
DOGE-USD-x69,BTC,USD,65000.00
USDC-USD-x70,SOL,USD,145.00
USDC-USD-x71,USDC,USD,1.00
SOL-USD-x72,SOL,USD,145.00
USDC-USD-x73,SOL,USD,145.00
DOGE-USD-x74,DOGE,USD,0.16
SOL-USD-x75,DOGE,USD,0.16
BTC-USD-x76,BTC,USD,65000.00
USDC-USD-x77,DOGE,USD,0.16
SOL-USD-x78,SOL,USD,145.00
SOL-USD-x79,SOL,USD,145.00
ETH-USD-x80,USDC,USD,1.00
USDC-USD-x81,DOGE,USD,0.16
BTC-USD-x82,DOGE,USD,0.16
BTC-USD-x83,USDC,USD,1.00
ETH-USD-x84,USDC,USD,1.00
DOGE-USD-x85,USDC,USD,1.00
BTC-USD-x86,USDC,USD,1.00
BTC-USD-x87,BTC,USD,65000.00
DOGE-USD-x88,SOL,USD,145.00
DOGE-USD-x89,SOL,USD,145.00
DOGE-USD-x90,DOGE,USD,0.16
SOL-USD-x91,SOL,USD,145.00
USDC-USD-x92,DOGE,USD,0.16
DOGE-USD-x93,DOGE,USD,0.16
SOL-USD-x94,USDC,USD,1.00
ETH-USD-x95,USDC,USD,1.00
SOL-USD-x96,ETH,USD,3400.00
SOL-USD-x97,ETH,USD,3400.00
BTC-USD-x98,BTC,USD,65000.00
BTC-USD-x99,BTC,USD,65000.00
DOGE-USD-x100,BTC,USD,65000.00
BTC-USD-x101,SOL,USD,145.00
ETH-USD-x102,USDC,USD,1.00
BTC-USD-x103,USDC,USD,1.00
SOL-USD-x104,USDC,USD,1.00
DOGE-USD-x105,DOGE,USD,0.16
USDC-USD-x106,BTC,USD,65000.00
ETH-USD-x107,SOL,USD,145.00
SOL-USD-x108,SOL,USD,145.00
ETH-USD-x109,BTC,USD,65000.00
SOL-USD-x110,SOL,USD,145.00
ETH-USD-x111,ETH,USD,3400.00
SOL-USD-x112,DOGE,USD,0.16
SOL-USD-x113,BTC,USD,65000.00
USDC-USD-x114,USDC,USD,1.00
USDC-USD-x115,DOGE,USD,0.16
DOGE-USD-x116,ETH,USD,3400.00
DOGE-USD-x117,BTC,USD,65000.00
SOL-USD-x118,BTC,USD,65000.00
BTC-USD-x119,SOL,USD,145.00
