id,name,primary,type,currency_code,currency_name,balance_amount,native_balance_amount,native_currency,created_at,updated_at
acct-usd-001,USD Wallet,true,fiat,USD,US Dollar,42.15,42.15,USD,2025-06-10T09:00:00Z,2026-11-15T12:00:00Z
acct-btc-001,BTC Wallet,false,wallet,BTC,Bitcoin,0.00420000,273.00,USD,2025-06-10T09:00:00Z,2026-11-15T12:00:00Z
acct-eth-001,ETH Wallet,false,wallet,ETH,Ethereum,0.05500000,187.00,USD,2025-12-24T09:00:00Z,2026-11-15T12:00:00Z
acct-usd-001-x1,USD Wallet-x1,false,wallet,ETH,Ethereum,0.05500000,187.00,USD,2025-06-25T18:02:53Z,2026-11-16T04:20:24Z
acct-eth-001-x2,ETH Wallet-x2,false,wallet,BTC,Bitcoin,0.00420000,273.00,USD,2025-06-27T10:42:16Z,2026-11-15T22:04:09Z
acct-eth-001-x3,USD Wallet-x3,true,fiat,USD,US Dollar,42.15,42.15,USD,2025-10-29T14:31:41Z,2026-11-16T11:43:57Z
acct-eth-001-x4,BTC Wallet-x4,true,fiat,USD,US Dollar,42.15,42.15,USD,2025-12-01T17:53:03Z,2026-11-16T03:41:43Z
acct-eth-001-x5,BTC Wallet-x5,false,wallet,ETH,Ethereum,0.05500000,187.00,USD,2025-12-09T21:12:57Z,2026-11-15T13:33:17Z
acct-eth-001-x6,ETH Wallet-x6,false,wallet,ETH,Ethereum,0.05500000,187.00,USD,2025-06-12T10:50:25Z,2026-11-15T15:07:39Z
acct-usd-001-x7,ETH Wallet-x7,false,wallet,BTC,Bitcoin,0.00420000,273.00,USD,2025-09-25T15:54:00Z,2026-11-15T20:13:45Z
acct-eth-001-x8,USD Wallet-x8,false,wallet,BTC,Bitcoin,0.00420000,273.00,USD,2025-07-17T16:32:17Z,2026-11-16T04:24:19Z
acct-usd-001-x9,USD Wallet-x9,false,wallet,BTC,Bitcoin,0.00420000,273.00,USD,2025-10-26T16:27:06Z,2026-11-15T15:32:22Z
acct-eth-001-x10,ETH Wallet-x10,false,wallet,ETH,Ethereum,0.05500000,187.00,USD,2025-06-21T03:31:45Z,2026-11-15T19:39:27Z
acct-btc-001-x11,ETH Wallet-x11,false,wallet,BTC,Bitcoin,0.00420000,273.00,USD,2025-11-03T16:51:45Z,2026-11-16T06:11:29Z
acct-btc-001-x12,USD Wallet-x12,true,fiat,USD,US Dollar,42.15,42.15,USD,2025-09-23T13:31:26Z,2026-11-15T13:48:10Z
acct-usd-001-x13,USD Wallet-x13,false,wallet,BTC,Bitcoin,0.00420000,273.00,USD,2025-12-13T22:28:15Z,2026-11-16T01:56:27Z
acct-eth-001-x14,ETH Wallet-x14,false,wallet,BTC,Bitcoin,0.00420000,273.00,USD,2025-12-02T10:23:28Z,2026-11-15T12:49:26Z
acct-eth-001-x15,USD Wallet-x15,false,wallet,BTC,Bitcoin,0.00420000,273.00,USD,2025-09-09T16:31:58Z,2026-11-16T05:12:58Z
acct-usd-001-x16,BTC Wallet-x16,true,fiat,USD,US Dollar,42.15,42.15,USD,2025-11-06T12:20:31Z,2026-11-15T20:33:09Z
acct-eth-001-x17,BTC Wallet-x17,true,fiat,USD,US Dollar,42.15,42.15,USD,2025-12-18T13:11:33Z,2026-11-16T10:11:04Z
acct-btc-001-x18,BTC Wallet-x18,true,fiat,USD,US Dollar,42.15,42.15,USD,2025-10-22T19:06:50Z,2026-11-16T08:39:51Z
acct-eth-001-x19,BTC Wallet-x19,true,fiat,USD,US Dollar,42.15,42.15,USD,2025-11-23T08:10:38Z,2026-11-16T01:05:39Z
acct-btc-001-x20,BTC Wallet-x20,false,wallet,ETH,Ethereum,0.05500000,187.00,USD,2025-10-23T00:19:46Z,2026-11-15T18:42:59Z
acct-usd-001-x21,ETH Wallet-x21,false,wallet,ETH,Ethereum,0.05500000,187.00,USD,2025-08-25T05:25:48Z,2026-11-15T18:03:54Z
acct-btc-001-x22,USD Wallet-x22,false,wallet,ETH,Ethereum,0.05500000,187.00,USD,2025-10-01T19:37:41Z,2026-11-16T00:15:33Z
acct-btc-001-x23,ETH Wallet-x23,false,wallet,ETH,Ethereum,0.05500000,187.00,USD,2025-07-04T05:42:09Z,2026-11-15T12:41:55Z
acct-btc-001-x24,ETH Wallet-x24,false,wallet,ETH,Ethereum,0.05500000,187.00,USD,2025-09-03T19:56:05Z,2026-11-15T17:53:13Z
acct-eth-001-x25,USD Wallet-x25,true,fiat,USD,US Dollar,42.15,42.15,USD,2025-08-24T17:24:39Z,2026-11-16T01:04:51Z
acct-usd-001-x26,USD Wallet-x26,false,wallet,BTC,Bitcoin,0.00420000,273.00,USD,2025-08-22T16:33:13Z,2026-11-15T18:27:07Z
acct-eth-001-x27,USD Wallet-x27,false,wallet,BTC,Bitcoin,0.00420000,273.00,USD,2025-08-16T06:24:55Z,2026-11-16T00:48:40Z
acct-usd-001-x28,BTC Wallet-x28,false,wallet,BTC,Bitcoin,0.00420000,273.00,USD,2025-11-12T13:59:38Z,2026-11-15T20:46:35Z
acct-usd-001-x29,ETH Wallet-x29,false,wallet,BTC,Bitcoin,0.00420000,273.00,USD,2025-12-13T17:28:07Z,2026-11-15T21:43:44Z
acct-btc-001-x30,ETH Wallet-x30,false,wallet,ETH,Ethereum,0.05500000,187.00,USD,2025-10-22T14:37:59Z,2026-11-16T10:05:18Z
acct-btc-001-x31,BTC Wallet-x31,false,wallet,ETH,Ethereum,0.05500000,187.00,USD,2025-10-05T06:29:43Z,2026-11-15T12:13:44Z
acct-eth-001-x32,USD Wallet-x32,true,fiat,USD,US Dollar,42.15,42.15,USD,2025-10-03T17:21:28Z,2026-11-16T00:01:25Z
acct-btc-001-x33,ETH Wallet-x33,false,wallet,BTC,Bitcoin,0.00420000,273.00,USD,2025-07-27T22:45:42Z,2026-11-16T07:59:45Z
acct-usd-001-x34,ETH Wallet-x34,true,fiat,USD,US Dollar,42.15,42.15,USD,2025-06-17T11:29:01Z,2026-11-16T08:04:11Z
acct-eth-001-x35,ETH Wallet-x35,false,wallet,BTC,Bitcoin,0.00420000,273.00,USD,2025-10-15T01:00:10Z,2026-11-16T11:17:07Z
