Date	Lake	Launch	Hours	Species	Kept	Released	Best Fish	Weather	With	Notes
2025-04-19	Alum Creek Lake	Cheshire Road ramp	5.0	Largemouth bass	0	6	3 lb 4 oz	Cool, light wind	Scott Mitchell	Spring bite slow to start, picked up after noon
2025-05-17	Alum Creek Lake	New Galena ramp	6.0	Crappie	11	4	1 lb 1 oz	Warm, clear	Scott Mitchell	Crappie stacked on brush in 12 feet
2025-06-21	Alum Creek Lake	Cheshire Road ramp	5.5	Saugeye	3	2	4 lb 0 oz	Hot, calm	Scott Mitchell	Trolled the flats, good eater fish
2025-07-26	Alum Creek Lake	New Galena ramp	4.5	Largemouth bass	0	8	4 lb 6 oz	Humid, storms after	Scott Mitchell	Topwater at first light, beat the heat
2025-08-23	Alum Creek Lake	Cheshire Road ramp	5.0	Channel catfish	2	1	6 lb 2 oz	Warm, overcast	Scott Mitchell	Cut bait on bottom near the dam
2025-09-20	Alum Creek Lake	New Galena ramp	6.0	Saugeye	5	3	3 lb 8 oz	Cool morning	Scott Mitchell	Best saugeye day of the year
2025-10-18	Alum Creek Lake	Cheshire Road ramp	4.0	Largemouth bass	0	5	3 lb 1 oz	Crisp, fall colors	Scott Mitchell	Last warm trip before the cold set in
2025-11-15	Alum Creek Lake	New Galena ramp	3.5	Crappie	7	2	1 lb 3 oz	Cold, windy	Scott Mitchell	Bundled up, fish deep and slow
2026-01-24	Alum Creek Lake	Bank, Cheshire side	2.5	Saugeye	0	0	none	Cold, snow flurries	Solo	Skunked, just needed the air
2026-02-21	Alum Creek Lake	Bank, New Galena	3.0	Saugeye	2	1	2 lb 9 oz	Cold, sunny	Scott Mitchell	Jigging near the inflow paid off
