campaign_id,emails_sent,opens_total,unique_opens,open_rate,clicks_total,unique_clicks,click_rate,unsubscribed,bounces
cp_holiday_kickoff,293,150,131,0.447,26,19,0.065,2,1
cp_pledge_push,179,107,83,0.464,37,27,0.151,2,2
cp_volunteer_call,195,106,94,0.482,35,28,0.144,2,2
cp_0005,223,138,109,0.489,39,31,0.139,0,1
cp_0006,167,80,64,0.383,17,14,0.084,2,3
cp_0007,334,140,113,0.338,26,22,0.066,2,0
cp_0008,315,184,158,0.502,55,42,0.133,0,1
cp_0009,236,121,106,0.449,40,35,0.148,1,4
cp_0010,207,124,98,0.473,34,29,0.14,2,0
cp_0011,255,130,108,0.424,38,33,0.129,2,3
cp_0012,157,55,44,0.28,18,13,0.083,2,2
cp_0013,170,98,79,0.465,20,15,0.088,0,0
cp_0014,226,113,89,0.394,22,16,0.071,1,3
cp_0015,171,105,86,0.503,24,20,0.117,2,1
cp_0016,193,99,78,0.404,22,16,0.083,0,2
cp_0017,287,145,129,0.449,47,38,0.132,3,4
cp_0018,182,80,66,0.363,20,14,0.077,3,4
cp_0019,318,166,133,0.418,53,43,0.135,1,1
cp_0020,227,99,80,0.352,30,25,0.11,1,1
cp_0021,279,140,106,0.38,27,23,0.082,3,5
cp_0022,266,167,126,0.474,57,45,0.169,2,2
cp_0023,291,159,141,0.485,52,38,0.131,2,5
cp_0024,200,86,74,0.37,23,20,0.1,0,4
cp_0025,228,112,99,0.434,24,17,0.075,1,4
cp_0026,185,69,61,0.33,13,11,0.059,3,1
cp_0027,222,81,68,0.306,23,18,0.081,1,5
cp_0028,280,154,116,0.414,47,38,0.136,1,0
cp_0029,247,116,102,0.413,27,18,0.073,3,1
cp_0030,291,131,98,0.337,33,28,0.096,0,3
cp_0031,267,128,99,0.371,26,21,0.079,0,1
cp_0032,222,86,72,0.324,27,22,0.099,2,4
cp_0033,326,148,129,0.396,34,27,0.083,0,3
cp_0034,287,103,81,0.282,32,24,0.084,0,2
cp_0035,218,79,65,0.298,21,15,0.069,2,1
cp_0036,209,118,103,0.493,35,28,0.134,0,3
cp_0037,253,156,125,0.494,43,32,0.126,1,3
cp_0038,335,170,144,0.43,31,23,0.069,3,0
cp_0039,276,106,89,0.322,36,27,0.098,1,4
cp_0040,310,143,124,0.4,30,26,0.084,1,3
cp_0041,338,208,171,0.506,56,46,0.136,3,4
cp_0042,231,108,90,0.39,22,16,0.069,3,1
cp_0043,188,96,74,0.394,30,24,0.128,1,5
cp_0044,321,178,155,0.483,42,35,0.109,1,3
cp_0045,231,97,79,0.342,17,12,0.052,1,3
cp_0046,190,81,67,0.353,26,22,0.116,0,1
cp_0047,310,174,137,0.442,58,51,0.165,0,5
cp_0048,151,77,68,0.45,26,23,0.152,1,5
cp_0049,288,123,99,0.344,20,15,0.052,1,2
cp_0050,324,199,177,0.546,54,42,0.13,0,3
cp_0051,211,78,66,0.313,27,23,0.109,3,3
cp_0052,218,102,89,0.408,34,24,0.11,3,0
cp_0053,266,114,93,0.35,22,16,0.06,0,5
cp_0054,317,177,143,0.451,54,37,0.117,1,1
cp_0055,260,135,111,0.427,40,28,0.108,1,4
cp_0056,334,174,131,0.392,37,29,0.087,2,4
