Date	Type	Distance_mi	Time	Avg_Pace	Avg_HR	Notes
2026-01-06	Speed	5.0	37:55	7:35	162	6x800 at the track
2026-01-08	Tempo	6.2	47:30	7:39	158	Felt smooth
2026-01-10	Long	12.0	1:36:48	8:04	152	Lakefront, cold wind
2026-01-11	Recovery	3.1	26:40	8:36	138	Easy shakeout
2026-01-13	Speed	5.2	39:20	7:34	164	Ladder workout
2026-01-17	Long	13.1	1:43:55	7:56	156	Frosty 5K plus extra
2026-01-20	Tempo	7.0	53:20	7:37	159	Knee quiet today
2026-01-24	Long	11.0	1:29:10	8:06	150	Snowy, kept it easy
2026-02-03	Speed	5.0	37:40	7:32	165	Strong legs
2026-02-07	Long	12.5	1:39:30	7:57	154	Best long run yet
2026-02-12	Tempo	6.5	49:10	7:34	160	Negative split
2026-02-21	Long	10.0	1:21:00	8:06	149	Pacers winter series
