id,application_id,candidate_id,interviewer,stage,overall_recommendation,rating,submitted_at,notes
SC001,APP005,CAN001,P Ochieng,phone_screen,positive,4,2026-09-22T15:00:00Z,Strong fit for implementation science junior faculty. Recommend advancing to on-site.
SC002,APP002,CAN003,Interviewer-2,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC003,APP003,CAN004,Interviewer-3,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC004,APP004,CAN005,Interviewer-4,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC005,APP005,CAN006,Interviewer-5,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC006,APP006,CAN007,Interviewer-6,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC007,APP007,CAN008,Interviewer-7,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC008,APP008,CAN009,Interviewer-8,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC009,APP009,CAN010,Interviewer-9,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC010,APP010,CAN011,Interviewer-10,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC011,APP011,CAN012,Interviewer-11,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC012,APP012,CAN013,Interviewer-12,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC013,APP013,CAN014,Interviewer-13,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC014,APP014,CAN015,Interviewer-14,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC015,APP015,CAN016,Interviewer-15,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC016,APP016,CAN017,Interviewer-16,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC017,APP017,CAN018,Interviewer-17,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC018,APP018,CAN019,Interviewer-18,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC019,APP019,CAN020,Interviewer-19,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC020,APP020,CAN021,Interviewer-20,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC021,APP021,CAN022,Interviewer-21,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC022,APP022,CAN023,Interviewer-22,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC023,APP023,CAN024,Interviewer-23,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC024,APP024,CAN025,Interviewer-24,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC025,APP025,CAN026,Interviewer-25,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC026,APP026,CAN027,Interviewer-26,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC027,APP027,CAN028,Interviewer-27,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC028,APP028,CAN029,Interviewer-28,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC029,APP029,CAN030,Interviewer-29,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC030,APP030,CAN031,Interviewer-30,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC031,APP031,CAN032,Interviewer-31,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC032,APP032,CAN033,Interviewer-32,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC033,APP033,CAN034,Interviewer-33,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC034,APP034,CAN035,Interviewer-34,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC035,APP035,CAN036,Interviewer-35,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC036,APP036,CAN037,Interviewer-36,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC037,APP037,CAN038,Interviewer-37,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC038,APP038,CAN039,Interviewer-38,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC039,APP039,CAN040,Interviewer-39,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC040,APP040,CAN041,Interviewer-40,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC041,APP041,CAN042,Interviewer-41,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC042,APP042,CAN043,Interviewer-42,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC043,APP043,CAN044,Interviewer-43,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC044,APP044,CAN045,Interviewer-44,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC045,APP045,CAN046,Interviewer-45,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC046,APP046,CAN047,Interviewer-46,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC047,APP047,CAN048,Interviewer-47,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC048,APP048,CAN049,Interviewer-48,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC049,APP049,CAN050,Interviewer-49,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC050,APP050,CAN051,Interviewer-50,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC051,APP051,CAN052,Interviewer-51,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC052,APP052,CAN053,Interviewer-52,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC053,APP053,CAN054,Interviewer-53,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC054,APP054,CAN055,Interviewer-54,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC055,APP055,CAN056,Interviewer-55,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC056,APP056,CAN057,Interviewer-56,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC057,APP057,CAN058,Interviewer-57,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC058,APP058,CAN059,Interviewer-58,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC059,APP059,CAN060,Interviewer-59,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC060,APP060,CAN061,Interviewer-60,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC061,APP061,CAN062,Interviewer-61,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC062,APP062,CAN063,Interviewer-62,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC063,APP063,CAN064,Interviewer-63,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC064,APP064,CAN065,Interviewer-64,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC065,APP065,CAN066,Interviewer-65,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC066,APP066,CAN067,Interviewer-66,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC067,APP067,CAN068,Interviewer-67,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC068,APP068,CAN069,Interviewer-68,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC069,APP069,CAN070,Interviewer-69,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC070,APP070,CAN071,Interviewer-70,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC071,APP071,CAN072,Interviewer-71,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC072,APP072,CAN073,Interviewer-72,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC073,APP073,CAN074,Interviewer-73,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC074,APP074,CAN075,Interviewer-74,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC075,APP075,CAN076,Interviewer-75,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC076,APP076,CAN077,Interviewer-76,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC077,APP077,CAN078,Interviewer-77,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC078,APP078,CAN079,Interviewer-78,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC079,APP079,CAN080,Interviewer-79,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC080,APP080,CAN081,Interviewer-80,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC081,APP081,CAN082,Interviewer-81,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC082,APP082,CAN083,Interviewer-82,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC083,APP083,CAN084,Interviewer-83,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC084,APP084,CAN085,Interviewer-84,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC085,APP085,CAN086,Interviewer-85,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC086,APP086,CAN087,Interviewer-86,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC087,APP087,CAN088,Interviewer-87,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC088,APP088,CAN089,Interviewer-88,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC089,APP089,CAN090,Interviewer-89,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
SC090,APP090,CAN091,Interviewer-90,peer_reference,neutral,3,2026-08-15T14:00:00Z,Peer benchmark reference
