id,candidate_id,job_id,status,current_stage,applied_at,last_activity_at
APP001,CAN001,JOB001,active,informational_interview_pending,2026-08-01T09:00:00Z,2026-09-24T18:00:00Z
APP002,CAN001,JOB002,active,cv_review,2026-08-15T09:00:00Z,2026-08-30T14:00:00Z
APP003,CAN001,JOB003,tracking-only,not_yet_applied,,2026-09-01T09:00:00Z
APP004,CAN001,JOB004,active,informational_interview_pending,2026-07-20T09:00:00Z,2026-09-15T11:00:00Z
APP005,CAN001,JOB005,active,phone_screen_scheduled,2026-08-05T09:00:00Z,2026-09-22T10:30:00Z
APP006,CAN001,JOB006,tracking-only,not_yet_applied,,2026-09-01T09:00:00Z
APP007,CAN001,JOB007,tracking-only,not_yet_applied,,2026-09-05T09:00:00Z
APP008,CAN009,JOB008,tracking-only,not_yet_applied,,2026-09-01T09:00:00Z
APP009,CAN010,JOB009,tracking-only,not_yet_applied,,2026-09-01T09:00:00Z
APP010,CAN011,JOB010,tracking-only,not_yet_applied,,2026-09-01T09:00:00Z
APP011,CAN012,JOB011,tracking-only,not_yet_applied,,2026-09-01T09:00:00Z
APP012,CAN013,JOB012,tracking-only,not_yet_applied,,2026-09-01T09:00:00Z
APP013,CAN014,JOB013,tracking-only,not_yet_applied,,2026-09-01T09:00:00Z
APP014,CAN015,JOB014,tracking-only,not_yet_applied,,2026-09-01T09:00:00Z
APP015,CAN016,JOB015,tracking-only,not_yet_applied,,2026-09-01T09:00:00Z
APP016,CAN017,JOB016,tracking-only,not_yet_applied,,2026-09-01T09:00:00Z
APP017,CAN018,JOB017,tracking-only,not_yet_applied,,2026-09-01T09:00:00Z
APP018,CAN019,JOB018,tracking-only,not_yet_applied,,2026-09-01T09:00:00Z
APP019,CAN020,JOB019,tracking-only,not_yet_applied,,2026-09-01T09:00:00Z
APP020,CAN021,JOB020,tracking-only,not_yet_applied,,2026-09-01T09:00:00Z
APP021,CAN022,JOB021,tracking-only,not_yet_applied,,2026-09-01T09:00:00Z
APP022,CAN023,JOB022,tracking-only,not_yet_applied,,2026-09-01T09:00:00Z
APP023,CAN024,JOB023,tracking-only,not_yet_applied,,2026-09-01T09:00:00Z
APP024,CAN025,JOB024,tracking-only,not_yet_applied,,2026-09-01T09:00:00Z
APP025,CAN026,JOB025,tracking-only,not_yet_applied,,2026-09-01T09:00:00Z
APP026,CAN027,JOB026,tracking-only,not_yet_applied,,2026-09-01T09:00:00Z
