carrier,tracking_number,status,status_detail,location_city,location_state,status_time
usps,9400111202555512345700,DELIVERED,"Delivered to Brooklyn, NY",Brooklyn,NY,2026-08-17T14:30:00-04:00
usps,9400111202555512345701,DELIVERED,"Delivered to Astoria, NY",Astoria,NY,2026-08-24T14:30:00-04:00
usps,9400111202555512345702,DELIVERED,"Delivered to New York, NY",New York,NY,2026-09-09T14:30:00-04:00
usps,9400111202555512345703,DELIVERED,"Delivered to Bronx, NY",Bronx,NY,2026-09-20T14:30:00-04:00
usps,9400111202555512345704,DELIVERED_DAMAGED,Package status: delivered_damaged,Brooklyn,NY,2026-09-04T15:00:00-04:00
usps,9400111202555512345705,DELIVERED,"Delivered to Brooklyn, NY",Brooklyn,NY,2026-09-08T12:00:00-04:00
ups,9400111202555512345706,IN_TRANSIT,Package status: in_transit,Queens,NY,2026-08-06T13:30:00-04:00
ups,9400111202555512345707,IN_TRANSIT,Package status: in_transit,Queens,NY,2026-09-28T17:30:00-04:00
usps,9400111202555512345708,DELIVERED,"Delivered to Queens, NY",Queens,NY,2026-09-07T12:30:00-04:00
usps,9400111202555512345709,DELIVERED,"Delivered to Bronx, NY",Bronx,NY,2026-09-08T11:30:00-04:00
usps,9400111202555512345710,IN_TRANSIT,Package status: in_transit,Brooklyn,NY,2026-08-25T18:30:00-04:00
usps,9400111202555512345711,DELIVERED,"Delivered to New York, NY",New York,NY,2026-09-22T11:30:00-04:00
usps,9400111202555512345712,IN_TRANSIT,Package status: in_transit,Bronx,NY,2026-07-12T14:30:00-04:00
usps,9400111202555512345713,DELIVERED,"Delivered to Brooklyn, NY",Brooklyn,NY,2026-09-24T16:30:00-04:00
usps,9400111202555512345714,SHIPPED,Package status: shipped,Queens,NY,2026-09-03T11:30:00-04:00
usps,9400111202555512345715,DELIVERED,"Delivered to Brooklyn, NY",Brooklyn,NY,2026-07-11T16:30:00-04:00
usps,9400111202555512345716,IN_TRANSIT,Package status: in_transit,Bronx,NY,2026-08-27T13:30:00-04:00
usps,9400111202555512345717,DELIVERED,"Delivered to Queens, NY",Queens,NY,2026-09-05T10:30:00-04:00
usps,9400111202555512345718,DELIVERED,"Delivered to Queens, NY",Queens,NY,2026-08-07T13:30:00-04:00
usps,9400111202555512345719,DELIVERED,"Delivered to New York, NY",New York,NY,2026-09-30T10:30:00-04:00
usps,9400111202555512345720,DELIVERED,"Delivered to New York, NY",New York,NY,2026-07-06T11:30:00-04:00
ups,9400111202555512345721,DELIVERED,"Delivered to Brooklyn, NY",Brooklyn,NY,2026-09-23T12:30:00-04:00
ups,9400111202555512345722,IN_TRANSIT,Package status: in_transit,Bronx,NY,2026-08-18T17:30:00-04:00
usps,9400111202555512345723,DELIVERED,"Delivered to Queens, NY",Queens,NY,2026-08-08T16:30:00-04:00
usps,9400111202555512345724,DELIVERED,"Delivered to New York, NY",New York,NY,2026-07-16T15:30:00-04:00
usps,9400111202555512345725,DELIVERED,"Delivered to Brooklyn, NY",Brooklyn,NY,2026-07-22T13:30:00-04:00
usps,9400111202555512345726,DELIVERED,"Delivered to New York, NY",New York,NY,2026-08-17T14:30:00-04:00
usps,9400111202555512345727,DELIVERED,"Delivered to Queens, NY",Queens,NY,2026-07-13T14:30:00-04:00
usps,9400111202555512345728,DELIVERED,"Delivered to Bronx, NY",Bronx,NY,2026-09-06T09:30:00-04:00
usps,9400111202555512345729,IN_TRANSIT,Package status: in_transit,Queens,NY,2026-08-08T10:30:00-04:00
usps,9400111202555512345730,SHIPPED,Package status: shipped,New York,NY,2026-09-20T18:30:00-04:00
usps,9400111202555512345731,DELIVERED,"Delivered to Queens, NY",Queens,NY,2026-07-09T16:30:00-04:00
usps,9400111202555512345732,SHIPPED,Package status: shipped,Brooklyn,NY,2026-07-15T12:30:00-04:00
usps,9400111202555512345733,DELIVERED,"Delivered to Bronx, NY",Bronx,NY,2026-07-23T18:30:00-04:00
usps,9400111202555512345734,DELIVERED,"Delivered to New York, NY",New York,NY,2026-07-23T17:30:00-04:00
usps,9400111202555512345735,DELIVERED,"Delivered to Bronx, NY",Bronx,NY,2026-09-15T14:30:00-04:00
usps,9400111202555512345736,IN_TRANSIT,Package status: in_transit,Brooklyn,NY,2026-09-09T18:30:00-04:00
ups,9400111202555512345737,DELIVERED,"Delivered to Bronx, NY",Bronx,NY,2026-07-13T12:30:00-04:00
ups,9400111202555512345738,IN_TRANSIT,Package status: in_transit,New York,NY,2026-07-18T16:30:00-04:00
usps,9400111202555512345739,DELIVERED,"Delivered to Brooklyn, NY",Brooklyn,NY,2026-08-16T15:30:00-04:00
usps,9400111202555512345740,DELIVERED,"Delivered to Queens, NY",Queens,NY,2026-09-05T14:30:00-04:00
usps,9400111202555512345741,DELIVERED,"Delivered to New York, NY",New York,NY,2026-09-29T17:30:00-04:00
usps,9400111202555512345742,DELIVERED,"Delivered to Brooklyn, NY",Brooklyn,NY,2026-07-28T13:30:00-04:00
usps,9400111202555512345743,IN_TRANSIT,Package status: in_transit,Bronx,NY,2026-08-23T10:30:00-04:00
usps,9400111202555512345744,SHIPPED,Package status: shipped,Brooklyn,NY,2026-07-20T12:30:00-04:00
ups,9400111202555512345745,SHIPPED,Package status: shipped,Bronx,NY,2026-08-27T13:30:00-04:00
usps,9400111202555512345746,IN_TRANSIT,Package status: in_transit,Queens,NY,2026-09-15T17:30:00-04:00
ups,9400111202555512345747,IN_TRANSIT,Package status: in_transit,Queens,NY,2026-07-13T18:30:00-04:00
usps,9400111202555512345748,SHIPPED,Package status: shipped,New York,NY,2026-09-08T12:30:00-04:00
ups,9400111202555512345749,IN_TRANSIT,Package status: in_transit,New York,NY,2026-08-07T17:30:00-04:00
usps,9400111202555512345750,SHIPPED,Package status: shipped,Bronx,NY,2026-08-20T16:30:00-04:00
ups,9400111202555512345751,IN_TRANSIT,Package status: in_transit,Bronx,NY,2026-08-26T12:30:00-04:00
usps,9400111202555512345752,DELIVERED,"Delivered to Brooklyn, NY",Brooklyn,NY,2026-09-17T17:30:00-04:00
usps,9400111202555512345753,DELIVERED,"Delivered to Brooklyn, NY",Brooklyn,NY,2026-09-25T09:30:00-04:00
usps,9400111202555512345754,IN_TRANSIT,Package status: in_transit,Bronx,NY,2026-09-24T17:30:00-04:00
usps,9400111202555512345755,DELIVERED,"Delivered to Brooklyn, NY",Brooklyn,NY,2026-07-30T14:30:00-04:00
usps,9400111202555512345756,IN_TRANSIT,Package status: in_transit,Brooklyn,NY,2026-08-01T09:30:00-04:00
ups,9400111202555512345757,IN_TRANSIT,Package status: in_transit,Bronx,NY,2026-09-01T15:30:00-04:00
usps,9400111202555512345758,DELIVERED,"Delivered to Brooklyn, NY",Brooklyn,NY,2026-07-05T16:30:00-04:00
usps,9400111202555512345759,SHIPPED,Package status: shipped,Brooklyn,NY,2026-09-27T17:30:00-04:00
usps,9400111202555512345760,SHIPPED,Package status: shipped,Brooklyn,NY,2026-07-18T15:30:00-04:00
usps,9400111202555512345761,DELIVERED,"Delivered to Queens, NY",Queens,NY,2026-08-01T17:30:00-04:00
usps,9400111202555512345762,IN_TRANSIT,Package status: in_transit,Queens,NY,2026-08-29T17:30:00-04:00
usps,9400111202555512345763,DELIVERED,"Delivered to New York, NY",New York,NY,2026-07-03T09:30:00-04:00
usps,9400111202555512345764,DELIVERED,"Delivered to New York, NY",New York,NY,2026-08-06T13:30:00-04:00
ups,9400111202555512345765,DELIVERED,"Delivered to Bronx, NY",Bronx,NY,2026-07-02T13:30:00-04:00
usps,9400111202555512345766,SHIPPED,Package status: shipped,Queens,NY,2026-08-29T16:30:00-04:00
usps,9400111202555512345767,IN_TRANSIT,Package status: in_transit,Brooklyn,NY,2026-08-19T17:30:00-04:00
usps,9400111202555512345768,DELIVERED,"Delivered to Bronx, NY",Bronx,NY,2026-09-17T16:30:00-04:00
usps,9400111202555512345769,DELIVERED,"Delivered to New York, NY",New York,NY,2026-09-15T13:30:00-04:00
ups,9400111202555512345770,DELIVERED,"Delivered to Queens, NY",Queens,NY,2026-09-21T13:30:00-04:00
usps,9400111202555512345771,DELIVERED,"Delivered to New York, NY",New York,NY,2026-08-28T13:30:00-04:00
usps,9400111202555512345772,SHIPPED,Package status: shipped,Bronx,NY,2026-08-26T14:30:00-04:00
usps,9400111202555512345773,DELIVERED,"Delivered to Queens, NY",Queens,NY,2026-09-15T10:30:00-04:00
usps,9400111202555512345774,SHIPPED,Package status: shipped,New York,NY,2026-09-24T10:30:00-04:00
usps,9400111202555512345775,SHIPPED,Package status: shipped,New York,NY,2026-09-09T11:30:00-04:00
usps,9400111202555512345776,SHIPPED,Package status: shipped,Bronx,NY,2026-08-11T12:30:00-04:00
ups,9400111202555512345777,SHIPPED,Package status: shipped,New York,NY,2026-07-29T15:30:00-04:00
usps,9400111202555512345778,DELIVERED,"Delivered to New York, NY",New York,NY,2026-09-30T18:30:00-04:00
usps,9400111202555512345779,DELIVERED,"Delivered to New York, NY",New York,NY,2026-07-15T15:30:00-04:00
usps,9400111202555512345780,IN_TRANSIT,Package status: in_transit,Bronx,NY,2026-09-30T14:30:00-04:00
usps,9400111202555512345781,DELIVERED,"Delivered to New York, NY",New York,NY,2026-08-23T17:30:00-04:00
usps,9400111202555512345782,DELIVERED,"Delivered to New York, NY",New York,NY,2026-10-01T09:30:00-04:00
usps,9400111202555512345783,DELIVERED,"Delivered to Brooklyn, NY",Brooklyn,NY,2026-08-07T14:30:00-04:00
usps,9400111202555512345784,DELIVERED,"Delivered to Queens, NY",Queens,NY,2026-08-14T10:30:00-04:00
usps,9400111202555512345785,DELIVERED,"Delivered to Brooklyn, NY",Brooklyn,NY,2026-09-08T09:30:00-04:00
usps,9400111202555512345786,DELIVERED,"Delivered to Brooklyn, NY",Brooklyn,NY,2026-08-10T17:30:00-04:00
ups,9400111202555512345787,IN_TRANSIT,Package status: in_transit,Brooklyn,NY,2026-07-12T16:30:00-04:00
usps,9400111202555512345788,SHIPPED,Package status: shipped,Bronx,NY,2026-08-19T12:30:00-04:00
usps,9400111202555512345789,IN_TRANSIT,Package status: in_transit,Queens,NY,2026-09-06T14:30:00-04:00
usps,9400111202555512345790,DELIVERED,"Delivered to Bronx, NY",Bronx,NY,2026-08-26T18:30:00-04:00
